teaching_order	axis	portable_value_de	prose_local_expansion_de	astro_local_expansion_de	productive_card_types	prose_events	astro_anchor_card_ids	astro_exact_groups	example_prose_cards	scope
1	OK	EINSETZEN	Posten in den aktiven Gang setzen	Diagrammposten oder Wert setzen	20	67	MC026|MC040	3	MC002|MC006|MC007|MC015	COMMON_THREE_REGISTER_CORE
2	OL	WEITER	laufenden Ansatz oder Weg fortsetzen	im selben Ring oder Satz fortsetzen	23	46	MC153|MC157|MC019	8	MC016|MC019|MC021|MC024	COMMON_THREE_REGISTER_CORE
3	OT	FOLGE	zum folgenden Posten wechseln	zum folgenden Diagrammplatz wechseln	16	26	MC171	1	MC013|MC018|MC053|MC057	COMMON_THREE_REGISTER_CORE
4	AR	VON	von der aktiven Quelle oder Charge	vom Bezugssektor oder Ausgangswert	10	14	MC055	5	MC009|MC011|MC029|MC042	COMMON_THREE_REGISTER_CORE
5	AL	ZIEL	an die Zielstelle	zum Zielsektor oder Zielfeld	23	40	MC154|MC040	8	MC001|MC010|MC022|MC031	COMMON_THREE_REGISTER_CORE
6	AIIN	SOLLWERT	örtliches Sollmaß	Parameter- oder Tabellenwert	10	39	MC039	11	MC018|MC036|MC039|MC060	COMMON_THREE_REGISTER_CORE
7	Y	DIES	aktuell gemeinter Arbeitsposten	aktueller Diagrammposten	44	104	MC123	25	MC002|MC007|MC008|MC009	COMMON_THREE_REGISTER_CORE
8	DY	FERTIG	lizenzierte Zelle schließen	Eintrag als fertig markieren	20	53	MC019	1	MC003|MC004|MC019|MC028	COMMON_THREE_REGISTER_CORE
9	OR	ANSATZ	laufende Zubereitung oder Charge	Bedingungs- oder Tabellensatz	8	16	MC080|MC157	3	MC013|MC072|MC075|MC080	COMMON_THREE_REGISTER_CORE
10	CHED~CHD	ÜBERFÜHREN	zwischen Arbeitsplätzen übertragen	zwischen Diagrammplätzen übertragen	21	47	MC074	1	MC001|MC005|MC011|MC025	COMMON_THREE_REGISTER_CORE
