teaching_order	axis	portable_prose_value_de	prose_reading_de	productive_card_types	prose_events	example_cards	astro_rule	scope
1	L	AB	aus dem aktiven Posten herausführen	15	23	MC004|MC008|MC011|MC029	keine portable Astro-Bedeutung; gleiche Zeichenfolge dort lokal lesen	HERBAL_BIO_PROSE_ONLY
2	P	ZU	in einen lokalen Empfänger zuführen	2	2	MC070|MC126	keine portable Astro-Bedeutung; gleiche Zeichenfolge dort lokal lesen	HERBAL_BIO_PROSE_ONLY
3	AIN	PORTION	abgegrenzte Teilmenge	7	16	MC017|MC047|MC072|MC097	keine portable Astro-Bedeutung; gleiche Zeichenfolge dort lokal lesen	HERBAL_BIO_PROSE_ONLY
4	IIN	STUFE	Arbeits- oder Bearbeitungsstufe	3	4	MC033|MC048|MC172	keine portable Astro-Bedeutung; gleiche Zeichenfolge dort lokal lesen	HERBAL_BIO_PROSE_ONLY
5	E	KURZ	kurz oder unmittelbar	18	41	MC007|MC018|MC050|MC058	keine portable Astro-Bedeutung; gleiche Zeichenfolge dort lokal lesen	HERBAL_BIO_PROSE_ONLY
6	EE	LANG	länger halten oder fortsetzen	13	33	MC002|MC003|MC020|MC032	keine portable Astro-Bedeutung; gleiche Zeichenfolge dort lokal lesen	HERBAL_BIO_PROSE_ONLY
7	EEE	VOLL	bis zur vollen Stufe	2	2	MC094|MC140	keine portable Astro-Bedeutung; gleiche Zeichenfolge dort lokal lesen	HERBAL_BIO_PROSE_ONLY
8	HO	ZUTAT	weiterer Materialposten	8	11	MC010|MC034|MC049|MC062	keine portable Astro-Bedeutung; gleiche Zeichenfolge dort lokal lesen	HERBAL_BIO_PROSE_ONLY
9	CHEO	AUSZUG	gewonnener Auszug	4	4	MC006|MC075|MC085|MC136	keine portable Astro-Bedeutung; gleiche Zeichenfolge dort lokal lesen	HERBAL_BIO_PROSE_ONLY
10	AIR	LAUFFLÜSSIGKEIT	Flüssigkeit im lokalen Lauf	5	5	MC014|MC023|MC081|MC091	keine portable Astro-Bedeutung; gleiche Zeichenfolge dort lokal lesen	HERBAL_BIO_PROSE_ONLY
11	CTH	BEREIT	Posten als vorbereitet setzen	9	16	MC021|MC043|MC073|MC112	keine portable Astro-Bedeutung; gleiche Zeichenfolge dort lokal lesen	HERBAL_BIO_PROSE_ONLY
12	SHED	ABSETZEN	stehen und sich absetzen lassen	5	17	MC003|MC113|MC128|MC149	keine portable Astro-Bedeutung; gleiche Zeichenfolge dort lokal lesen	HERBAL_BIO_PROSE_ONLY
13	CHK	WÄRMEN	erwärmen oder warm halten	4	7	MC032|MC110|MC147|MC166	keine portable Astro-Bedeutung; gleiche Zeichenfolge dort lokal lesen	HERBAL_BIO_PROSE_ONLY
14	CKH	DURCHLASS	durch eine lokale Passage führen	6	9	MC022|MC035|MC058|MC132	keine portable Astro-Bedeutung; gleiche Zeichenfolge dort lokal lesen	HERBAL_BIO_PROSE_ONLY
15	CKHE	SEIHEN	durch einen trennenden Durchlass führen	2	4	MC133|MC143	keine portable Astro-Bedeutung; gleiche Zeichenfolge dort lokal lesen	HERBAL_BIO_PROSE_ONLY
16	SOLK	SAMMELN	an einer Auffangstelle halten	4	6	MC020|MC036|MC045|MC050	keine portable Astro-Bedeutung; gleiche Zeichenfolge dort lokal lesen	HERBAL_BIO_PROSE_ONLY
17	LSH	WASCHEN	Wasch- oder Spülgang	2	3	MC038|MC130	keine portable Astro-Bedeutung; gleiche Zeichenfolge dort lokal lesen	HERBAL_BIO_PROSE_ONLY
18	TY	TEIL	Materialteil oder Rest	5	6	MC062|MC069|MC086|MC094	keine portable Astro-Bedeutung; gleiche Zeichenfolge dort lokal lesen	HERBAL_BIO_PROSE_ONLY
