master_card_id	master_form	registered_surfaces	portable_value_de	scope	herbal_expansion_de	bio_expansion_de	astro_expansion_de	prose_occurrences
MC012	dl	dl	Zusatz	PROSE_LOCAL_WHOLE_CARD	NOT_USED	Zusatz	kein portabler Ganzkartenwert	2
MC027	oykchor	oykchor	Zubereitungsgefäß	PROSE_LOCAL_WHOLE_CARD	Zubereitungsgefäß	NOT_USED	kein portabler Ganzkartenwert	1
MC037	tchody	tchody	kalt stellen; Schluss	PROSE_LOCAL_WHOLE_CARD	kalt stellen; Schluss	NOT_USED	kein portabler Ganzkartenwert	1
MC052	qekey	qekey	kurz bearbeiten	PROSE_LOCAL_WHOLE_CARD	NOT_USED	kurz bearbeiten	kein portabler Ganzkartenwert	1
MC059	dain	dain	Einlage	PROSE_LOCAL_WHOLE_CARD	NOT_USED	Einlage	kein portabler Ganzkartenwert	2
MC061	sshkchdy	sshkchdy	Haltetransfer; Schluss	PROSE_LOCAL_WHOLE_CARD	NOT_USED	Haltetransfer; Schluss	kein portabler Ganzkartenwert	1
MC071	dchey	dchey	Wurzel	PROSE_LOCAL_WHOLE_CARD	Wurzel	NOT_USED	kein portabler Ganzkartenwert	1
MC084	rshedy	rshedy	Vollwaschung; Schluss	PROSE_LOCAL_WHOLE_CARD	NOT_USED	Vollwaschung; Schluss	kein portabler Ganzkartenwert	1
MC099	cheeckhody	cheeckhody	auftragen; Schluss	PROSE_LOCAL_WHOLE_CARD	auftragen; Schluss	NOT_USED	kein portabler Ganzkartenwert	1
MC100	ody	ody	abkühlen; Schluss	PROSE_LOCAL_WHOLE_CARD	abkühlen; Schluss	NOT_USED	kein portabler Ganzkartenwert	1
MC109	ytey	ytey	Kurzteil	PROSE_LOCAL_WHOLE_CARD	NOT_USED	Kurzteil	kein portabler Ganzkartenwert	1
MC114	sh	sh	Stängel	PROSE_LOCAL_WHOLE_CARD	Stängel	NOT_USED	kein portabler Ganzkartenwert	1
MC118	ly	ly	Auffanggefäß	PROSE_LOCAL_WHOLE_CARD	NOT_USED	Auffanggefäß	kein portabler Ganzkartenwert	1
MC119	cheey	cheey|shey	Freigabewert	COMMON_THREE_REGISTER_RESULT_CARD	Klarlauf oder geklärter Pflanzenauszug	klarer Stationsablauf	abgelesener oder freigegebener Diagrammwert	4
MC124	lkedy	lkedy	Kurzabzug; Schluss	PROSE_LOCAL_WHOLE_CARD	NOT_USED	Kurzabzug; Schluss	kein portabler Ganzkartenwert	1
MC129	cfhy	cfhy	auswringen	PROSE_LOCAL_WHOLE_CARD	auswringen	NOT_USED	kein portabler Ganzkartenwert	1
MC138	dshedy	dshedy	Frischwasser zugeben; Schluss	PROSE_LOCAL_WHOLE_CARD	NOT_USED	Frischwasser zugeben; Schluss	kein portabler Ganzkartenwert	1
MC142	dchol	dchol|schol	vom vorigen	PROSE_LOCAL_WHOLE_CARD	vom vorigen	NOT_USED	kein portabler Ganzkartenwert	2
MC152	ches	ches	teilen	PROSE_LOCAL_WHOLE_CARD	NOT_USED	teilen	kein portabler Ganzkartenwert	1
MC156	cphy	cphy	nachseihen	PROSE_LOCAL_WHOLE_CARD	nachseihen	NOT_USED	kein portabler Ganzkartenwert	1
MC159	os	os	Aufnahmegefäß	PROSE_LOCAL_WHOLE_CARD	Aufnahmegefäß	NOT_USED	kein portabler Ganzkartenwert	1
MC164	qokylddy	qokylddy	befestigen; Schluss	PROSE_LOCAL_WHOLE_CARD	NOT_USED	befestigen; Schluss	kein portabler Ganzkartenwert	1
