record	locus	position	source	word	row_status
F83_P1	f83r.1	1	f83r.1:1	tchedy	recorded
F83_P1	f83r.1	2	f83r.1:2	lpchedy	recorded
F83_P1	f83r.1	3	f83r.1:3	opedy	recorded
F83_P1	f83r.1	4	f83r.1:4	chepol	recorded
F83_P1	f83r.1	5	f83r.1:5	pchedar	recorded
F83_P1	f83r.1	6	f83r.1:6	shedy	recorded
F83_P1	f83r.1	7	f83r.1:7	qopchedy	recorded
F83_P1	f83r.2	1	f83r.2:1	sol	recorded
F83_P1	f83r.2	2	f83r.2:2	cheey	recorded
F83_P1	f83r.2	3	f83r.2:3	qokaiin	recorded
F83_P1	f83r.2	4	f83r.2:4	shol	recorded
F83_P1	f83r.2	5	f83r.2:5	lchs	recorded
F83_P1	f83r.2	6	f83r.2:6	shey	recorded
F83_P1	f83r.2	7	f83r.2:7	qoteedy	recorded
F83_P1	f83r.2	8	f83r.2:8	rches	recorded
F83_P1	f83r.2	9	f83r.2:9	ar	recorded
F83_P1	f83r.2	10	f83r.2:10	chedy	recorded
F83_P1	f83r.2	11	f83r.2:11	dor	recorded
F83_P1	f83r.3	1	f83r.3:1	olkeedy	recorded
F83_P1	f83r.3	2	f83r.3:2	qotal	recorded
F83_P1	f83r.3	3	f83r.3:3	chkeedy	recorded
F83_P1	f83r.3	4	f83r.3:4	chey	recorded
F83_P1	f83r.3	5	f83r.3:5	daiin	recorded
F83_P1	f83r.3	6	f83r.3:6	chey	recorded
F83_P1	f83r.3	7	f83r.3:7	lchedy	recorded
F83_P1	f83r.3	8	f83r.3:8	qokaiin	recorded
F83_P1	f83r.3	9	f83r.3:9	qotal	recorded
F83_P1	f83r.3	10	f83r.3:10	dar	recorded
F83_P1	f83r.4	1	f83r.4:1	qokshedy	recorded
F83_P1	f83r.4	2	f83r.4:2	chedy	recorded
F83_P1	f83r.4	3	f83r.4:3	qokedy	recorded
F83_P1	f83r.4	4	f83r.4:4	chkedy	recorded
F83_P1	f83r.4	5	f83r.4:5	daiin	recorded
F83_P1	f83r.4	6	f83r.4:6	shetar	recorded
F83_P1	f83r.4	7	f83r.4:7	shedy	recorded
F83_P1	f83r.4	8	f83r.4:8	qekaiin	recorded
F83_P1	f83r.4	9	f83r.4:9	chedy	recorded
F83_P1	f83r.5	1	f83r.5:1	deey	recorded
F83_P1	f83r.5	2	f83r.5:2	qotaiin	recorded
F83_P1	f83r.5	3	f83r.5:3	checkhy	recorded
F83_P1	f83r.5	4	f83r.5:4	qoty	recorded
F83_P1	f83r.5	5	f83r.5:5	cheg	recorded
F83_P1	f83r.5	6	f83r.5:6	shedy	recorded
F83_P1	f83r.5	7	f83r.5:7	qokeey	recorded
F83_P1	f83r.5	8	f83r.5:8	rchedy	recorded
F83_P1	f83r.5	9	f83r.5:9	qoteedy	recorded
F83_P1	f83r.5	10	f83r.5:10	lo	recorded
F83_P1	f83r.6	1	f83r.6:1	schedy	recorded
F83_P1	f83r.6	2	f83r.6:2	chedchy	recorded
F83_P1	f83r.6	3	f83r.6:3	qokal	recorded
F83_P1	f83r.6	4	f83r.6:4	olchedy	recorded
F83_P1	f83r.6	5	f83r.6:5	qokaiin	recorded
F83_P1	f83r.6	6	f83r.6:6	chedy	recorded
F83_P1	f83r.6	7	f83r.6:7	qokeedy	recorded
F83_P1	f83r.6	8	f83r.6:8	lchedy	recorded
F83_P1	f83r.6	9	f83r.6:9	qoky	recorded
F83_P1	f83r.7	1	f83r.7:1	solshed	recorded
F83_P1	f83r.7	2	f83r.7:2	lsheedy	recorded
F83_P1	f83r.7	3	f83r.7:3	qeeedy	recorded
F83_P1	f83r.7	4	f83r.7:4	qoky	recorded
F83_P1	f83r.7	5	f83r.7:5	o	recorded
F83_P1	f83r.7	6	f83r.7:6	qol	recorded
F83_P1	f83r.7	7	f83r.7:7	rsheedy	recorded
F83_P1	f83r.7	8	f83r.7:8	qokedy	recorded
F83_P1	f83r.7	9	f83r.7:9	qoteedy	recorded
F83_P1	f83r.7	10	f83r.7:10	qoteedy	recorded
F83_P1	f83r.8	1	f83r.8:1	pchedal	recorded
F83_P1	f83r.8	2	f83r.8:2	otedy	recorded
F83_P1	f83r.8	3	f83r.8:3	shecthedchy	recorded
F83_P1	f83r.8	4	f83r.8:4	qoky	recorded
F83_P1	f83r.8	5	f83r.8:5	chedy	recorded
F83_P1	f83r.8	6	f83r.8:6	chary	recorded
F83_P2	f83r.9	1	f83r.9:1	pchor	recorded
F83_P2	f83r.9	2	f83r.9:2	checphedy	recorded
F83_P2	f83r.9	3	f83r.9:3	qokedy	recorded
F83_P2	f83r.9	4	f83r.9:4	lsheedy	recorded
F83_P2	f83r.9	5	f83r.9:5	qokchdy	recorded
F83_P2	f83r.9	6	f83r.9:6	r	recorded
F83_P2	f83r.9	7	f83r.9:7	shedkedy	recorded
F83_P2	f83r.9	8	f83r.9:8	qopshdy	recorded
F83_P2	f83r.9	9	f83r.9:9	qopy	recorded
F83_P2	f83r.10	1	f83r.10:1	olkeey	recorded
F83_P2	f83r.10	2	f83r.10:2	rchs	recorded
F83_P2	f83r.10	3	f83r.10:3	cheeb	recorded
F83_P2	f83r.10	4	f83r.10:4	ols	recorded
F83_P2	f83r.10	5	f83r.10:5	aiin	recorded
F83_P2	f83r.10	6	f83r.10:6	skal	recorded
F83_P2	f83r.10	7	f83r.10:7	dain	recorded
F83_P2	f83r.10	8	f83r.10:8	cthal	recorded
F83_P2	f83r.10	9	f83r.10:9	s	recorded
F83_P2	f83r.10	10	f83r.10:10	aiin	recorded
F83_P2	f83r.10	11	f83r.10:11	chky	recorded
F83_P2	f83r.10	12	f83r.10:12	lal	recorded
F83_P2	f83r.10	13	f83r.10:13	sam	recorded
F83_P2	f83r.11	1	f83r.11:1	sor	recorded
F83_P2	f83r.11	2	f83r.11:2	shedy	recorded
F83_P2	f83r.11	3	f83r.11:3	qokaiin	recorded
F83_P2	f83r.11	4	f83r.11:4	chkain	recorded
F83_P2	f83r.11	5	f83r.11:5	shcthey	recorded
F83_P2	f83r.11	6	f83r.11:6	qokedy	recorded
F83_P2	f83r.11	7	f83r.11:7	okair	recorded
F83_P2	f83r.11	8	f83r.11:8	sheedy	recorded
F83_P2	f83r.11	9	f83r.11:9	lchedy	recorded
F83_P2	f83r.11	10	f83r.11:10	lo	recorded
F83_P2	f83r.12	1	f83r.12:1	qockhol	recorded
F83_P2	f83r.12	2	f83r.12:2	sheckhy	recorded
F83_P2	f83r.12	3	f83r.12:3	otal	recorded
F83_P2	f83r.12	4	f83r.12:4	qokeal	recorded
F83_P2	f83r.12	5	f83r.12:5	sheckhdy	recorded
F83_P2	f83r.12	6	f83r.12:6	al	recorded
F83_P2	f83r.12	7	f83r.12:7	okedy	recorded
F83_P2	f83r.12	8	f83r.12:8	qokedy	recorded
F83_P2	f83r.12	9	f83r.12:9	qokal	recorded
F83_P2	f83r.13	1	f83r.13:1	salcheol	recorded
F83_P2	f83r.13	2	f83r.13:2	tar	recorded
F83_P2	f83r.13	3	f83r.13:3	shedy	recorded
F83_P2	f83r.13	4	f83r.13:4	s	recorded
F83_P2	f83r.13	5	f83r.13:5	altedy	recorded
F83_P2	f83r.13	6	f83r.13:6	sair	recorded
F83_P2	f83r.13	7	f83r.13:7	qokedy	recorded
F83_P2	f83r.13	8	f83r.13:8	qedy	recorded
F83_P2	f83r.13	9	f83r.13:9	lchcphedy	recorded
F83_P2	f83r.13	10	f83r.13:10	ldar	recorded
F83_P2	f83r.14	1	f83r.14:1	qokchedy	recorded
F83_P2	f83r.14	2	f83r.14:2	qokeedy	recorded
F83_P2	f83r.14	3	f83r.14:3	shedy	recorded
F83_P2	f83r.14	4	f83r.14:4	qokshedy	recorded
