version	record	groups	hypothetical	open	shorts	licensed	actions	complete_actions	row_status
K	F83_P1	72	15	57	1	0	6	6	recorded
K	F83_P2	84	10	74	0	0	2	2	recorded
K	F83_P3	63	14	49	2	2	4	3	recorded
K	F83_P4	33	7	26	0	0	5	1	recorded
K	F83_P5	62	11	51	2	1	2	2	recorded
K	F83_Q1	11	2	9	1	0	1	1	recorded
K	F83_Q2	16	1	15	1	0	0	0	recorded
W	F83_P1	72	15	57	1	0	6	6	recorded
W	F83_P2	84	10	74	0	0	2	2	recorded
W	F83_P3	63	14	49	2	0	4	3	recorded
W	F83_P4	33	7	26	0	0	5	1	recorded
W	F83_P5	62	11	51	2	0	2	2	recorded
W	F83_Q1	11	2	9	1	0	1	1	recorded
W	F83_Q2	16	1	15	1	0	0	0	recorded
