action_source	patient_source	earlier_explicit_heat	K_history	W_history	additional_K_history	row_status
f83r.2:10	f83r.2:1	NONE	UNKNOWN	UNKNOWN	NONE	recorded
f83r.4:2	f83r.3:7	NONE	UNKNOWN	UNKNOWN	NONE	recorded
f83r.4:9	f83r.4:7	NONE	UNKNOWN	UNKNOWN	NONE	recorded
f83r.6:6	f83r.5:6	NONE	UNKNOWN	UNKNOWN	NONE	recorded
f83r.6:7	f83r.5:6	f83r.6:6	HEATED	HEATED	NONE	recorded
f83r.8:5	f83r.6:8	NONE	UNKNOWN	UNKNOWN	NONE	recorded
f83r.14:2	f83r.13:3	NONE	UNKNOWN	UNKNOWN	NONE	recorded
f83r.16:5	f83r.15:9	NONE	UNKNOWN	UNKNOWN	NONE	recorded
f83r.21:5	f83r.21:4	NONE	HEATED	UNKNOWN	HEATED	recorded
f83r.22:3	f83r.21:4	f83r.21:5	HEATED	HEATED	NONE	recorded
f83r.22:5	f83r.21:4	f83r.21:5	HEATED	HEATED	NONE	recorded
f83r.23:9	f83r.23:4	NONE	UNKNOWN	UNKNOWN	NONE	recorded
f83r.25:1	NONE	NONE	UNKNOWN	UNKNOWN	NONE	recorded
f83r.25:5	NONE	NONE	UNKNOWN	UNKNOWN	NONE	recorded
f83r.27:2	f83r.26:5	NONE	UNKNOWN	UNKNOWN	NONE	recorded
f83r.27:3	f83r.26:5	f83r.27:2	HEATED	HEATED	NONE	recorded
f83r.30:3	f83r.28:5	NONE	UNKNOWN	UNKNOWN	NONE	recorded
f83r.42:5	f83r.42:1	NONE	FILTERED	UNKNOWN	FILTERED	recorded
f83r.43:3	f83r.42:1	f83r.42:5	FILTERED,HEATED	HEATED	FILTERED	recorded
f83r.49:3	f83r.49:1	NONE	UNKNOWN	UNKNOWN	NONE	recorded
