record	locus	position	source	word	version	patient_source	patient_description	qualification	destination_source	status	render	row_status
F83_P1	f83r.2	10	f83r.2:10	chedy	W	f83r.2:1	Ansatz [Qualifikation offen]	UNKNOWN	NONE	COMPLETE	erwärme Ansatz [Qualifikation offen]	recorded
F83_P1	f83r.4	2	f83r.4:2	chedy	W	f83r.3:7	Zusatzstoff	UNKNOWN	NONE	COMPLETE	erwärme Zusatzstoff	recorded
F83_P1	f83r.4	9	f83r.4:9	chedy	W	f83r.4:7	Flüssigkeit	UNKNOWN	NONE	COMPLETE	erwärme Flüssigkeit	recorded
F83_P1	f83r.6	6	f83r.6:6	chedy	W	f83r.5:6	Flüssigkeit	UNKNOWN	NONE	COMPLETE	erwärme Flüssigkeit	recorded
F83_P1	f83r.6	7	f83r.6:7	qokeedy	W	f83r.5:6	Flüssigkeit	UNKNOWN	f83r.6:5	COMPLETE	fülle ein Flüssigkeit in Gefäß@f83r.6:5	recorded
F83_P1	f83r.8	5	f83r.8:5	chedy	W	f83r.6:8	Zusatzstoff	UNKNOWN	NONE	COMPLETE	erwärme Zusatzstoff	recorded
F83_P2	f83r.14	2	f83r.14:2	qokeedy	W	f83r.13:3	Flüssigkeit	UNKNOWN	f83r.11:3	COMPLETE	fülle ein Flüssigkeit in Gefäß@f83r.11:3	recorded
F83_P2	f83r.16	5	f83r.16:5	chedy	W	f83r.15:9	Zusatzstoff	UNKNOWN	NONE	COMPLETE	erwärme Zusatzstoff	recorded
F83_P3	f83r.21	5	f83r.21:5	chedy	W	f83r.21:4	Ansatz [Qualifikation offen]	UNKNOWN	NONE	COMPLETE	erwärme Ansatz [Qualifikation offen]	recorded
F83_P3	f83r.22	3	f83r.22:3	qokeedy	W	f83r.21:4	Ansatz [Qualifikation offen]	UNKNOWN	NONE	MISSING_DESTINATION	fülle ein Ansatz [Qualifikation offen] in Gefäß@?	recorded
F83_P3	f83r.22	5	f83r.22:5	chedy	W	f83r.21:4	Ansatz [Qualifikation offen]	UNKNOWN	NONE	COMPLETE	erwärme Ansatz [Qualifikation offen]	recorded
F83_P3	f83r.23	9	f83r.23:9	chedy	W	f83r.23:4	Flüssigkeit	UNKNOWN	NONE	COMPLETE	erwärme Flüssigkeit	recorded
F83_P4	f83r.25	1	f83r.25:1	qokeedy	W	NONE	NONE	NA	NONE	MISSING_MATERIAL_AND_DESTINATION	fülle ein ?Material in Gefäß@?	recorded
F83_P4	f83r.25	5	f83r.25:5	chedy	W	NONE	NONE	NA	NONE	MISSING_MATERIAL	erwärme ?Material	recorded
F83_P4	f83r.27	2	f83r.27:2	chedy	W	f83r.26:5	Flüssigkeit	UNKNOWN	NONE	COMPLETE	erwärme Flüssigkeit	recorded
F83_P4	f83r.27	3	f83r.27:3	qokeedy	W	f83r.26:5	Flüssigkeit	UNKNOWN	NONE	MISSING_DESTINATION	fülle ein Flüssigkeit in Gefäß@?	recorded
F83_P4	f83r.30	3	f83r.30:3	qokeedy	W	f83r.28:5	Flüssigkeit	UNKNOWN	NONE	MISSING_DESTINATION	fülle ein Flüssigkeit in Gefäß@?	recorded
F83_P5	f83r.42	5	f83r.42:5	chedy	W	f83r.42:1	Ansatz [Qualifikation offen]	UNKNOWN	NONE	COMPLETE	erwärme Ansatz [Qualifikation offen]	recorded
F83_P5	f83r.43	3	f83r.43:3	chedy	W	f83r.42:1	Ansatz [Qualifikation offen]	UNKNOWN	NONE	COMPLETE	erwärme Ansatz [Qualifikation offen]	recorded
F83_Q1	f83r.49	3	f83r.49:3	chedy	W	f83r.49:1	Ansatz [Qualifikation offen]	UNKNOWN	NONE	COMPLETE	erwärme Ansatz [Qualifikation offen]	recorded
