record	locus	position	source	word	version	role	qualification	render	row_status
F83_P1	f83r.1	1	f83r.1:1	tchedy	W	OPEN	NA	[tchedy — offen]	recorded
F83_P1	f83r.1	2	f83r.1:2	lpchedy	W	OPEN	NA	[lpchedy — offen]	recorded
F83_P1	f83r.1	3	f83r.1:3	opedy	W	OPEN	NA	[opedy — offen]	recorded
F83_P1	f83r.1	4	f83r.1:4	chepol	W	OPEN	NA	[chepol — offen]	recorded
F83_P1	f83r.1	5	f83r.1:5	pchedar	W	OPEN	NA	[pchedar — offen]	recorded
F83_P1	f83r.1	6	f83r.1:6	shedy	W	MATERIAL	UNKNOWN	Flüssigkeit	recorded
F83_P1	f83r.1	7	f83r.1:7	qopchedy	W	OPEN	NA	[qopchedy — offen]	recorded
F83_P1	f83r.2	1	f83r.2:1	sol	W	MATERIAL	UNKNOWN	Ansatz [Qualifikation offen]	recorded
F83_P1	f83r.2	2	f83r.2:2	cheey	W	OPEN	NA	[cheey — offen]	recorded
F83_P1	f83r.2	3	f83r.2:3	qokaiin	W	DESTINATION	NA	Gefäß	recorded
F83_P1	f83r.2	4	f83r.2:4	shol	W	OPEN	NA	[shol — offen]	recorded
F83_P1	f83r.2	5	f83r.2:5	lchs	W	OPEN	NA	[lchs — offen]	recorded
F83_P1	f83r.2	6	f83r.2:6	shey	W	OPEN	NA	[shey — offen]	recorded
F83_P1	f83r.2	7	f83r.2:7	qoteedy	W	OPEN	NA	[qoteedy — offen]	recorded
F83_P1	f83r.2	8	f83r.2:8	rches	W	OPEN	NA	[rches — offen]	recorded
F83_P1	f83r.2	9	f83r.2:9	ar	W	OPEN	NA	[ar — offen]	recorded
F83_P1	f83r.2	10	f83r.2:10	chedy	W	ACTION	NA	erwärme Ansatz [Qualifikation offen]	recorded
F83_P1	f83r.2	11	f83r.2:11	dor	W	OPEN	NA	[dor — offen]	recorded
F83_P1	f83r.3	1	f83r.3:1	olkeedy	W	OPEN	NA	[olkeedy — offen]	recorded
F83_P1	f83r.3	2	f83r.3:2	qotal	W	OPEN	NA	[qotal — offen]	recorded
F83_P1	f83r.3	3	f83r.3:3	chkeedy	W	OPEN	NA	[chkeedy — offen]	recorded
F83_P1	f83r.3	4	f83r.3:4	chey	W	OPEN	NA	[chey — offen]	recorded
F83_P1	f83r.3	5	f83r.3:5	daiin	W	OPEN	NA	[daiin — offen]	recorded
F83_P1	f83r.3	6	f83r.3:6	chey	W	OPEN	NA	[chey — offen]	recorded
F83_P1	f83r.3	7	f83r.3:7	lchedy	W	MATERIAL	UNKNOWN	Zusatzstoff	recorded
F83_P1	f83r.3	8	f83r.3:8	qokaiin	W	DESTINATION	NA	Gefäß	recorded
F83_P1	f83r.3	9	f83r.3:9	qotal	W	OPEN	NA	[qotal — offen]	recorded
F83_P1	f83r.3	10	f83r.3:10	dar	W	OPEN	NA	[dar — offen]	recorded
F83_P1	f83r.4	1	f83r.4:1	qokshedy	W	OPEN	NA	[qokshedy — offen]	recorded
F83_P1	f83r.4	2	f83r.4:2	chedy	W	ACTION	NA	erwärme Zusatzstoff	recorded
F83_P1	f83r.4	3	f83r.4:3	qokedy	W	OPEN	NA	[qokedy — offen]	recorded
F83_P1	f83r.4	4	f83r.4:4	chkedy	W	OPEN	NA	[chkedy — offen]	recorded
F83_P1	f83r.4	5	f83r.4:5	daiin	W	OPEN	NA	[daiin — offen]	recorded
