page	two_distinct_compact_root_bodies	root_observation	vertical_pair_geometry	upper_fuller_lower_thinner	aboveground_observation	strict_xiphion_picture_conjunction	strict_orchis_picture_conjunction
f2r	NO	Several curling lobes from a common crown; no two compact bodies	NO	NO	Deeply divided large leaves; three branched terminal heads	NO	NO
f4r	NO	Many radiating narrow roots around one small central crown	NO	NO	Many small narrow leaves along branching stems; pale terminal capsules	NO	NO
f6v	NO	Many thin branching roots; lowest tips meet page edge	NO	NO	Palmately divided leaves; multiple round spiny blue-green heads	NO	NO
f9v	NO	One descending axis with numerous lateral roots	NO	NO	Lower narrow leaves and upper divided leaves; large separated blue petal heads	NO	NO
f10r	YES	Two red oval end bodies at opposite ends of one long horizontal root	NO	UNCLEAR	Broad irregular leaves and one large side-facing blue head on a curved stalk	NO	NO
f11r	NO	Three upper root/stem cylinders and several long lower arms at a shared junction	NO	NO	Dense rounded leaf mass on three stems; many small blue ends	NO	NO
f13r	UNCLEAR	Large red lobed/intertwined basal mass with side roots; two bodies cannot be separated securely	UNCLEAR	UNCLEAR	Broad irregular leaves and a clustered narrow upper inflorescence	NO	NO
f17r	UNCLEAR	Exactly two narrow red enclosed outlines arranged vertically among numerous fine roots; their identity as swollen root bodies is uncertain	YES	NO	Long simple pointed leaves along the stem; three dark-blue terminal heads; no clear basal leaf spread	NO	PARTIAL_UNRESOLVED
f18r	NO	Common crown with several narrow radiating root arms	NO	NO	Broad simple lower leaves; divided upper leaves; one large blue head and small side buds	NO	NO
f20v	UNCLEAR	Visible ridged root-like upper mass extends beyond lower page edge; complete body count unavailable	UNCLEAR	UNCLEAR	Several branching stems with long narrow leaves and many blue terminal heads	UNCLEAR	UNCLEAR
f21r	NO	Thin branching roots with no depicted compact paired swellings	NO	NO	Dense branching sprays with tiny oval leaves and repeated bead-like clusters	NO	NO
f24v	NO	Numerous elongated swellings along several roots, more than two compact members	NO	NO	Broad round-to-pointed leaves along stem; several blue terminal flowers	NO	NO
f31r	NO	One long curved root axis with many branching rootlets	NO	NO	Broad green leaves and multiple rounded pale terminal heads	NO	NO
f32v	NO	One long curved thick root with a broad pale region and lateral rootlets	NO	NO	Palmate/star-shaped leaves; three large blue terminal flowers	NO	NO
f55v	UNCLEAR	Large upper crown and smaller lateral rounded hump connected by branching roots; not a clear pair of compact stacked bulbs	NO	UNCLEAR	Large broad leaf fan; branched stalk ends in many tiny blue forms	NO	NO
f56r	NO	Long interlaced/scaly root outline; no two compact differentiated bodies	NO	NO	Mixed large terminal shapes and curled stem with narrow blue forms	NO	NO
