event_id	page	record	locus	cadence_id	cadence_ordinal	component_parse	remove_wrapper	apply_wrapper	final_surface	rule_source	surface_roundtrip	local_locus_memory
E020	f10r	H2	f10r.6	FC01	1	Y	ch	d	dy	FORMULA_CADENCE_RULE	YES	NO
E022	f10r	H2	f10r.6	FC01	2	AIIN	d	t	taiin	FORMULA_CADENCE_RULE	YES	NO
E023	f10r	H2	f10r.6	FC01	3	Y	che	sh	shy	FORMULA_CADENCE_RULE	YES	NO
E024	f10r	H2	f10r.8	FC02	1	OT+CH+OR	Ø	q	qotchor	FORMULA_CADENCE_RULE	YES	NO
E028	f10r	H2	f10r.8	FC02	2	OL+OR	Ø	ch	cholor	FORMULA_CADENCE_RULE	YES	NO
E033	f10r	H2	f10r.9	FC03	1	OR	c	s	shor	FORMULA_CADENCE_RULE	YES	NO
E037	f10r	H2	f10r.9	FC03	2	Y	ch	d	dy	FORMULA_CADENCE_RULE	YES	NO
E102	f81v	B1	f81v.2	FC04	1	OK+AIIN	q	Ø	okaiin	FORMULA_CADENCE_RULE	YES	NO
E104	f81v	B1	f81v.2	FC04	2	OK+AL	q	Ø	okal	FORMULA_CADENCE_RULE	YES	NO
E105	f81v	B1	f81v.2	FC04	3	AR	ch	s	sar	FORMULA_CADENCE_RULE	YES	NO
E109	f81v	B1	f81v.2	FC04	4	AL	d	Ø	al	FORMULA_CADENCE_RULE	YES	NO
E153	f81v	B1	f81v.24	FC05	1	OK+EE+Y	q	Ø	okeey	FORMULA_CADENCE_RULE	YES	NO
E154	f81v	B1	f81v.24	FC05	2	OL	Ø	q	qol	FORMULA_CADENCE_RULE	YES	NO
E155	f81v	B1	f81v.24	FC05	3	SHED+DY	sh	che	cheedy	FORMULA_CADENCE_RULE	YES	NO
E156	f81v	B1	f81v.24	FC05	4	AL	d	s	sal	FORMULA_CADENCE_RULE	YES	NO
E163	f81v	B1	f81v.27	FC06	1	SHED+DY	sh	t	tedy	FORMULA_CADENCE_RULE	YES	NO
E166	f81v	B1	f81v.27	FC06	2	AL	d	ch	chal	FORMULA_CADENCE_RULE	YES	NO
E214	f82r	B2	f82r.26	FC07	1	AL	d	che	cheal	FORMULA_CADENCE_RULE	YES	NO
E217	f82r	B2	f82r.26	FC07	2	AIIN	d	Ø	aiin	FORMULA_CADENCE_RULE	YES	NO
E254	f83r	B3	f83r.11	FC08	1	OR	ch	s	sor	FORMULA_CADENCE_RULE	YES	NO
E257	f83r	B3	f83r.11	FC08	2	K+AIN	Ø	ch	chkain	FORMULA_CADENCE_RULE	YES	NO
E258	f83r	B3	f83r.11	FC08	3	CTH+E+Y	q	sh	shcthey	FORMULA_CADENCE_RULE	YES	NO
E264	f83r	B3	f83r.14	FC09	1	OK+CHD+DY	Ø	q	qokchedy	FORMULA_CADENCE_RULE	YES	NO
E271	f83r	B3	f83r.14	FC09	2	CTH+Y	che	sh	shcthy	FORMULA_CADENCE_RULE	YES	NO
E273	f83r	B3	f83r.14	FC09	3	Y	che	s	sy	FORMULA_CADENCE_RULE	YES	NO
E278	f83r	B3	f83r.15	FC10	1	AL	d	t	tal	FORMULA_CADENCE_RULE	YES	NO
E279	f83r	B3	f83r.15	FC10	2	CTH+Y	che	sh	shcthy	FORMULA_CADENCE_RULE	YES	NO
E281	f83r	B3	f83r.15	FC10	3	OT+CHD+DY	Ø	q	qotchedy	FORMULA_CADENCE_RULE	YES	NO
E309	f83r	B3	f83r.24	FC11	1	O+IIN	Ø	s	soiiin	FORMULA_CADENCE_RULE	YES	NO
E311	f83r	B3	f83r.24	FC11	2	T+Y	ch	che	chety	FORMULA_CADENCE_RULE	YES	NO
E366	f83r	B5	f83r.48	FC07	1	OL	Ø	che	cheol	FORMULA_CADENCE_RULE	YES	NO
E369	f83r	B5	f83r.48	FC07	2	AIIN	d	Ø	aiin	FORMULA_CADENCE_RULE	YES	NO
