cadence_id	semantic_slot_signature	wrapper_stamp_sequence	workshop_mnemonic	attested_loci	events	locus_list	component_parse_signatures	selection_rule	local_locus_memory
FC01	CURRENT_ITEM|MEASURE|CURRENT_ITEM	d|t|sh	POSTEN_MASS_POSTEN	1	3	f10r.6	Y>AIIN>Y	SELECT_BY_VISIBLE_COMPONENT_SEQUENCE	NO
FC02	NEXT_PREPARATION|CONTINUE_PREPARATION	q|ch	NAECHSTE_UND_FORTGESETZTE_ZUBEREITUNG	1	2	f10r.8	OT+CH+OR>OL+OR	SELECT_BY_VISIBLE_COMPONENT_SEQUENCE	NO
FC03	PREPARATION|CURRENT_ITEM	s|d	ZUBEREITUNG_MIT_POSTEN	1	2	f10r.9	OR>Y	SELECT_BY_VISIBLE_COMPONENT_SEQUENCE	NO
FC04	MEASURE_ACTION|TARGET_ACTION|SOURCE|TARGET	Ø|Ø|s|Ø	MASS_ZIEL_QUELLE_ZIEL	1	4	f81v.2	OK+AIIN>OK+AL>AR>AL	SELECT_BY_VISIBLE_COMPONENT_SEQUENCE	NO
FC05	LONG_HOLD|CONTINUE|SETTLE|TARGET	Ø|q|che|s	HALTEN_FORTSETZEN_ABSETZEN_ZIEL	1	4	f81v.24	OK+EE+Y>OL>SHED+DY>AL	SELECT_BY_VISIBLE_COMPONENT_SEQUENCE	NO
FC06	SETTLE|TARGET	t|ch	ABSETZEN_ZIEL	1	2	f81v.27	SHED+DY>AL	SELECT_BY_VISIBLE_COMPONENT_SEQUENCE	NO
FC07	ADDRESS|MEASURE	che|Ø	ADRESSE_MASS	2	4	f82r.26|f83r.48	AL>AIIN || OL>AIIN	SELECT_BY_VISIBLE_COMPONENT_SEQUENCE	NO
FC08	PREPARATION|PORTION|READY	s|ch|sh	ZUBEREITUNG_PORTION_BEREIT	1	3	f83r.11	OR>K+AIN>CTH+E+Y	SELECT_BY_VISIBLE_COMPONENT_SEQUENCE	NO
FC09	EXECUTE|READY|CURRENT_ITEM	q|sh|s	AUSFUEHREN_BEREIT_POSTEN	1	3	f83r.14	OK+CHD+DY>CTH+Y>Y	SELECT_BY_VISIBLE_COMPONENT_SEQUENCE	NO
FC10	TARGET|READY|NEXT_CLOSE	t|sh|q	ZIEL_BEREIT_NAECHSTER_SCHLUSS	1	3	f83r.15	AL>CTH+Y>OT+CHD+DY	SELECT_BY_VISIBLE_COMPONENT_SEQUENCE	NO
FC11	STAGE|CURRENT_ITEM	s|che	STUFE_POSTEN	1	2	f83r.24	O+IIN>T+Y	SELECT_BY_VISIBLE_COMPONENT_SEQUENCE	NO
