statement_id	record_unit_id	page	loci	surface_sequence	corrected_atom_chain	attachment_skeleton_de	previous_reading_de	speakable_reading_de	editorial_mode	fusion_unit_count	equal_distance_attachments	crosses_physical_line
H1-S001	H1	f10r	f10r.2	dchey cthoor char chty os chair otytchol oky daiin etyd	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	Vorgabe Wurzel als aktueller Posten: Halte den Ansatz bereit; dazu aus dem Ansatz / Trenne einen Teil ab; dazu Mischgefäß / Vorgabe Wasserzulauf: Führe den nächsten Teil fort / Setze den aktuellen Posten; dazu Sollmaß; kleiner Restteil	Nimm die Wurzel als aktuellen Posten, halte den Ansatz bereit, nimm vom Ausgang, trenne einen Teil, gib ihn in den Träger, öffne den Wasserlauf, führe den nächsten Teil weiter und stelle auf den Vorgabewert ein.	Nimm die abgebildete Wurzel. Bereite daraus einen Ansatz, trenne einen Teil ab, gib ihn in das Gefäß und Wasser hinzu; führe den nächsten Teil weiter und stelle ihn auf Sollmaß.	HAND_EDITED_HERBAL	4	1	NO
H1-S002	H1	f10r	f10r.5	qokchy qotchol chol cthy	OK+Y | OT+OL | OL | CTH+Y	Setze den aktuellen Posten / Danach führe fort / Führe fort / Halte den Posten bereit	Setze den Posten an, führe ihn danach weiter und halte ihn bereit.	Nimm den Posten in Arbeit, führe ihn weiter und halte ihn bereit.	HAND_EDITED_HERBAL	4	0	NO
H2-S001	H2	f10r	f10r.6	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Y+CHEO+OR | CTH+Y | OR | CTH+AIIN | CTH+OL+Y | Y | Y | AIIN | Y	Vorgabe Auszugsansatz: Halte den Posten bereit; dazu Ansatz / Stelle den Bereitwert ein / Führe den bereiten Posten fort; dazu dieser Posten; dieser Posten; Sollmaß; dieser Posten	Nimm den bereiten Auszugsansatz, bringe den Ansatz auf Bereitwert, führe den bereiten Posten weiter und stelle seinen Vorgabewert ein.	Nimm den Auszugsansatz, bringe ihn bis zum Bereitschaftsgrad und führe ihn nach Sollmaß weiter.	HAND_EDITED_HERBAL	3	1	NO
H2-S002	H2	f10r	f10r.8	qotchor chor otol chol cholor chol daiin dar	OT+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	Vorgabe Folgeansatz; Ansatz: Danach führe fort / Führe fort / Führe den Ansatz weiter / Führe fort; dazu Sollmaß; aus dem Ansatz	Nimm den Folgeansatz, führe Ansatz und Fortsetzungsansatz weiter, stelle den Vorgabewert ein und entnimm ihn vom Ausgang.	Beginne den nächsten Ansatz, arbeite mit dem vorigen Ansatz weiter, stelle auf Sollmaß und entnimm vom Ausgang.	HAND_EDITED_HERBAL	4	0	NO
H2-S003	H2	f10r	f10r.9	oykchor shor chor chy kaiiin dy chodaiin	Y+KCH+OR | OR | OR | Y | IIN | Y | HO+AIIN	Bearbeite den aktuellen Ansatz; dazu Ansatz; Ansatz; dieser Posten; Weichstufe; dieser Posten; Zutatenmaß	Bearbeite den aktuellen Ansatz, führe den Ansatz weiter, halte den laufenden Posten auf der gewählten Stufe und stelle den Eingangswert ein.	Bearbeite den laufenden Ansatz weiter, halte ihn auf der festgelegten Stufe und gib die vorgeschriebene Zutatenmenge zu.	HAND_EDITED_HERBAL	1	0	NO
H3-S001	H3	f11r	f11r.1	tshol schoal cfhy shfydaiin cphy shey tchody	HO+L | HO+AL | CFH+Y | SH+AIIN | CPH+Y | CHEEY | HO+CLOSE	Entnimm den Eingangsposten; dazu Zutat an die Arbeitsstelle geben / Wringe den aktuellen Posten aus / Halte bis zum Vorgabewert / Seihe den aktuellen Posten nach; dazu klarer Auszug; Eingangsposten beiseitestellen; Schluss	Entnimm den Eingangsposten, führe ihn zum Ziel, wringe ihn aus, halte bis zum Vorgabewert, seihe den aktuellen Posten nach, lies den freigegebenen Wert, stelle ihn beiseite und schließe.	Nimm den Pflanzenteil, bringe ihn zur Arbeitsstelle, wringe ihn aus, lasse ihn bis zum Sollwert stehen, seihe nach und stelle den Klarauszug beiseite.	HAND_EDITED_HERBAL	4	1	NO
H3-S002	H3	f11r	f11r.1	shoyty	HO+Y+TY	Nimm einen Teil des Eingangspostens	Lege einen Zutatenteil zurück.	Lege einen Teil der Zutat zurück.	HAND_EDITED_HERBAL	1	0	NO
H3-S003	H3	f11r	f11r.4	dchol chy kchy dy daiin	DCHOL | Y | KCH+Y | Y | AIIN	Vorgabe vorigen Posten fortsetzen; dieser Posten: Bearbeite den aktuellen Posten; dazu dieser Posten; Sollmaß	Nimm den vorigen Posten wieder auf, bearbeite den aktuellen Posten und stelle den Vorgabewert ein.	Nimm den vorigen Posten wieder auf, bearbeite ihn und arbeite nach Sollmaß.	HAND_EDITED_HERBAL	1	0	NO
H3-S004	H3	f11r	f11r.7	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	Vorgabe anschließender Arbeitsposten: Setze die Fortsetzung / Halte den Posten bereit; dazu dieser Posten	Nimm die restliche Blütenreserve als Folgeposten, setze die Fortsetzung an und halte sie bereit.	Nimm den verbleibenden Pflanzenteil als nächsten Posten, setze die Fortsetzung an und halte sie bereit.	HAND_EDITED_HERBAL	2	0	NO
H4-S001	H4	f55v	f55v.5	qokaiin chaiin ykain ykan ody	OK+AIIN | AIIN | Y+AIN | Y+AIN | ODY	Stelle auf den Vorgabewert ein; dazu Sollmaß; Postenportion / Vorgabe dieser Anteil: Nimm zurück	Stelle den Vorgabewert ein, nimm einen Postenanteil und kühle diesen Anteil ab.	Arbeite nach Sollmaß, nimm zwei bezeichnete Anteile und kühle den letzten ab.	HAND_EDITED_HERBAL	2	1	NO
H4-S002	H4	f55v	f55v.5	daiin chedy talam	AIIN | CHD+Y | AL+AM	Vorgabe Sollmaß: Übertrage den aktuellen Posten / Verwahre am Ziel	Stelle den Vorgabewert ein, übertrage den Posten und verwahre ihn am Ziel.	Stelle auf Sollmaß, übertrage den Posten und verwahre ihn an der Zielstelle.	HAND_EDITED_HERBAL	2	0	NO
H4-S003	H4	f55v	f55v.11	ykaiin cheoar cheeky oldy	Y+AIIN | CHEO+AR | CHK+EE+Y | OL+CLOSE	Vorgabe Postenmaß; Auszug entnehmen: Wärme länger / Führe fort und schließe	Stelle den Postenwert ein, nimm den Auszug vom Ausgang, wärme länger, führe fort und schließe.	Nimm den abgemessenen Auszug aus der Quelle, wärme ihn länger und führe den Arbeitsgang zu Ende.	HAND_EDITED_HERBAL	2	0	NO
H4-S004	H4	f55v	f55v.11	aiin okal oltchy or y orain	AIIN | OK+AL | OL+CTH+Y | OR | Y | OR+AIN	Vorgabe Sollmaß: Setze am Ziel / Führe den bereiten Posten fort; dazu Ansatz; dieser Posten; Ansatzportion	Stelle den Vorgabewert ein, setze dort an, führe den bereiten Ansatz weiter und nimm davon einen Anteil.	Arbeite nach Sollmaß, setze den Ansatz an der Zielstelle an und nimm davon eine Portion.	HAND_EDITED_HERBAL	2	0	NO
H5-S001	H5	f56r	f56r.5|f56r.7	chochor cho chodaly daiin sho kchol otchor choky dal	HO+OR | HO | HO+AL+Y | AIIN | HO | KCH+OL | OT+OR | OK+Y | AL	Vorgabe Zutatenansatz; Zutat; diese Zutat zur Stelle bringen; Sollmaß; Zutat: Bearbeite weiter / Vorgabe Folgeansatz: Setze den aktuellen Posten; dazu dorthin	Setze einen Eingangsansatz an, bringe den Eingangsposten zum Ziel, nimm den Vorgabewert, bearbeite weiter, beginne den Folgeansatz und setze den aktuellen Posten am Ziel.	Nimm eine Zutat der abgebildeten Pflanze, bringe sie nach Sollmaß zur Arbeitsstelle und beginne damit den nächsten Ansatz.	HAND_EDITED_HERBAL	2	0	YES
H5-S002	H5	f56r	f56r.8	schol choy choky cheeckhody	DCHOL | HO+Y | OK+Y | EE+CKH+HO+CLOSE	Vorgabe vorigen Posten fortsetzen; diese Zutat: Setze den aktuellen Posten / Führe den Eingangsposten länger und schließe	Nimm den vorigen Posten wieder auf, setze den aktuellen Eingangsposten an, führe ihn länger über die Zielstelle und schließe.	Nimm den vorigen Posten wieder auf, setze diese Zutat an und lasse sie länger an der Zielstelle einwirken.	HAND_EDITED_HERBAL	2	0	NO
H5-S003	H5	f56r	f56r.12	sh cho kchey qokokchy	SH | HO | KCH+E+Y | OK+OK+Y	Halte den aktuellen Posten; dazu Zutat / Bearbeite kurz / Setze den aktuellen Posten erneut	Halte den Eingangsposten, bearbeite ihn kurz und setze ihn erneut an.	Halte die Zutat, bearbeite sie kurz und setze sie noch einmal an.	HAND_EDITED_HERBAL	3	1	NO
H5-S004	H5	f56r	f56r.13	okchy chokcheo kchal	OK+Y | OK+CHEO | KCH+AL	Setze den aktuellen Posten / Setze den Auszug / Bearbeite am Ziel	Setze den Posten an, gib den Auszug zu und bearbeite ihn an der Zielstelle.	Nimm den Posten in Arbeit, gib den Auszug zu und bearbeite alles an der Zielstelle.	HAND_EDITED_HERBAL	3	0	NO
H5-S005	H5	f56r	f56r.18	sho chokchy kchoar sotodan	HO | OK+Y | CHEO+AR | OT+DAN	Vorgabe Zutat: Setze den aktuellen Posten; dazu Auszug daraus / Wende danach an	Setze den Ansatz als Eingangsposten an, nimm den Auszug daraus und wende ihn danach an.	Setze die nächste Zutat an, nimm den Auszug daraus und wende ihn danach an.	HAND_EDITED_HERBAL	2	1	NO
H5-S006	H5	f56r	f56r.19	otchey keol daiin	OT+Y | E+OL | AIIN	Vorgabe nächster Teilposten: Führe kurz fort; dazu Sollmaß	Nimm den Folgeposten, führe ihn kurz weiter und stelle den Vorgabewert ein.	Nimm den folgenden Posten, führe ihn kurz weiter und stelle ihn auf Sollmaß.	HAND_EDITED_HERBAL	1	0	NO
B1-S001	B1	f81v	f81v.2	qokedy	OK+E+CLOSE	Setze kurz und schließe	Setze kurz an und schließe.	Bearbeite kurz und schließe.	CONSISTENT_WORKSHOP_REPHRASE	1	0	NO
