record_unit_id	page	title_de	statement_count	event_count	hand_edited_statements	rephrased_statements	continuous_translation_de
H1	f10r	Wurzelansatz	2	14	2	2	Nimm die abgebildete Wurzel. Bereite daraus einen Ansatz, trenne einen Teil ab, gib ihn in das Gefäß und Wasser hinzu; führe den nächsten Teil weiter und stelle ihn auf Sollmaß. Nimm den Posten in Arbeit, führe ihn weiter und halte ihn bereit.
H2	f10r	Fortgesetzter Pflanzenansatz	3	24	3	3	Nimm den Auszugsansatz, bringe ihn bis zum Bereitschaftsgrad und führe ihn nach Sollmaß weiter. Beginne den nächsten Ansatz, arbeite mit dem vorigen Ansatz weiter, stelle auf Sollmaß und entnimm vom Ausgang. Bearbeite den laufenden Ansatz weiter, halte ihn auf der festgelegten Stufe und gib die vorgeschriebene Zutatenmenge zu.
H3	f11r	Auswringen und Nachseihen	4	17	4	4	Nimm den Pflanzenteil, bringe ihn zur Arbeitsstelle, wringe ihn aus, lasse ihn bis zum Sollwert stehen, seihe nach und stelle den Klarauszug beiseite. Lege einen Teil der Zutat zurück. Nimm den vorigen Posten wieder auf, bearbeite ihn und arbeite nach Sollmaß. Nimm den verbleibenden Pflanzenteil als nächsten Posten, setze die Fortsetzung an und halte sie bereit.
H4	f55v	Verwahrter Auszug	4	18	4	4	Arbeite nach Sollmaß, nimm zwei bezeichnete Anteile und kühle den letzten ab. Stelle auf Sollmaß, übertrage den Posten und verwahre ihn an der Zielstelle. Nimm den abgemessenen Auszug aus der Quelle, wärme ihn länger und führe den Arbeitsgang zu Ende. Arbeite nach Sollmaß, setze den Ansatz an der Zielstelle an und nimm davon eine Portion.
H5	f56r	Frische Pflanzenfolge	6	27	6	6	Nimm eine Zutat der abgebildeten Pflanze, bringe sie nach Sollmaß zur Arbeitsstelle und beginne damit den nächsten Ansatz. Nimm den vorigen Posten wieder auf, setze diese Zutat an und lasse sie länger an der Zielstelle einwirken. Halte die Zutat, bearbeite sie kurz und setze sie noch einmal an. Nimm den Posten in Arbeit, gib den Auszug zu und bearbeite alles an der Zielstelle. Setze die nächste Zutat an, nimm den Auszug daraus und wende ihn danach an. Nimm den folgenden Posten, führe ihn kurz weiter und stelle ihn auf Sollmaß.
B1	f81v	Gemeinsamer Beckenweg	21	66	0	7	Bearbeite kurz und schließe. Arbeite nach Sollmaß, öffne den Wasserlauf am Ziel, nimm vom Ausgang, führe weiter, gib einen Anteil, einen weiteren Anteil und den Zusatz zum Ziel, halte dort länger, übertrage und schließe. Führe weiter, halte den Posten im Arbeitsgang, übertrage und schließe. Übertrage, führe weiter, lass absetzen und schließe. Führe den Posten weiter und schließe. Gib einen gezählten Anteil und den Zusatz zu, leite den Posten durch und führe ihn zum Ziel. Nimm den Posten in Arbeit, übertrage und schließe. Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe. Bearbeite kurz und schließe. Bearbeite kurz und schließe. Leite durch und nimm den Posten in Arbeit. Beginne mit dem durchgeleiteten Waschposten den Waschgang, bearbeite kurz, wasche und schließe. Wasche und schließe. Übertrage, führe weiter, leite am Auslass ab und führe danach von dort weiter. Nimm einen kurzen Teil des aktuellen Postens, setze ihn an, übertrage und schließe. Setze dort länger an, führe weiter, lass absetzen und schließe. Führe dorthin, führe kurz weiter, übertrage und schließe. Führe den aktuellen Posten ab, halte kurz, führe fort, stelle die Stufe ein, sammle länger und schließe. Lass absetzen und schließe. Wärme kurz, seih und schließe. Führe den Posten dorthin.
B2	f82r	Stations- und Durchlaufweg	22	62	0	11	Übertrage und schließe. Führe weiter und schließe. Gib einen Anteil zu, setze den Posten länger an und schließe. Setze dort an, leite durch den Ausgang, führe ab, bearbeite länger, seih ab und schließe. Nimm den aktuellen Posten in Arbeit am Ziel, sammle bis zum Vorgabewert, leite durch, setze zweimal auf Vorgabewert, führe bereit fort, wärme länger, führe ab und schließe. Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und nimm den Posten in Arbeit. Lass kurz absetzen und schließe. Stelle den Folgewert ein, setze daraus an, lass absetzen und schließe. Lass weiter absetzen und schließe. Bearbeite länger, führe den Posten durch den Auslass und nimm den Klarauszug. Gib einen gezählten Anteil zu, nimm vom Ausgang einen weiteren Anteil, bearbeite länger und schließe. Ziehe den Posten ab, nimm den Klarauszug, halte ihn kurz bereit, setze ihn länger an, führe den Klarauszug ab, arbeite nach Sollmaß, führe den Posten vollständig aus und schließe. Führe ab und schließe. Führe von dort ab. Nimm den Klarauszug, bearbeite länger und schließe. Führe zum Ziel und vom Ausgang ab, trenne, stelle auf Sollmaß, nimm den langen Folgeposten, setze kurz, führe ein und schließe. Halte den Posten kurz am Ziel, schließe das Ziel und beende den Schritt. Bearbeite länger und schließe. Führe den Waschgang aus und schließe. Führe den längeren Folgegang aus und schließe. Bearbeite länger und schließe. Führe den Rest ab und schließe.
B3	f83r	Hauptfolge der Anwendungen	34	86	0	11	Sammle länger und schließe. Führe danach dorthin, wärme länger und schließe. Nimm den aktuellen Posten, arbeite nach Sollmaß, nimm ihn wieder auf, führe ab und schließe. Arbeite nach Sollmaß, führe danach dorthin und nimm daraus. Übertrage und schließe. Übertrage den aktuellen Posten, setze ihn am Ziel an, führe weiter und schließe. Arbeite nach Sollmaß, übertrage, bearbeite länger und schließe. Führe ab und schließe. Nimm den Posten in Arbeit. Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe. Übertrage den bereiten Posten, setze ihn an, übertrage den aktuellen Posten und nimm ihn vom Ausgang. Bereite den Ansatz, lass ihn absetzen und schließe. Arbeite nach Sollmaß, nimm einen Anteil, halte kurz bereit, bearbeite kurz und schließe. Lass Wasser ein, lass länger absetzen und schließe. Führe ab und schließe. Führe ab, setze den Posten um und schließe. Bearbeite länger und schließe. Lass absetzen und schließe. Lass absetzen und schließe. Führe dorthin, führe ab und schließe. Arbeite nach Sollmaß, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, übertrage und schließe. Übertrage den Folgeposten und schließe. Führe ab und schließe. Übertrage und schließe. Übertrage und schließe. Übertrage vom Ausgang, stelle den Absetzwert ein, übertrage den aktuellen Posten, gib einen Anteil zu, halte den Posten bereit, führe den Ansatz zum Ziel, sammle länger und schließe. Führe den längeren Folgegang aus und schließe. Setze länger, dann kurz an und schließe. Führe weiter, nimm den ganzen Teilposten, bearbeite kurz und schließe. Nimm den Posten in Arbeit, arbeite nach Sollmaß, nutze den Wasserlauf, übertrage den Folgeposten und schließe. Bearbeite länger und schließe. Übertrage einen Anteil und den aktuellen Posten, setze den kurzen Folgewert und den Folgewert, führe die kurze Folge aus und schließe. Ziehe ab und schließe. Setze die Stufe, halte bereit, trenne einen Teil, setze den Folgewert, führe zur unteren Zielstelle, setze kurz ab und schließe.
B4	f83r	Tuch-, Halte- und Nachwaschfolge	16	47	0	6	Bearbeite länger und schließe. Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe. Übertrage, führe danach dorthin, wähle den Folgeposten, bearbeite länger, führe weiter, lass absetzen und schließe. Befestige den aktuellen Posten und schließe. Lege das Tuch ein, übertrage, bearbeite länger und schließe. Seih und schließe. Seih und schließe. Arbeite nach Sollmaß, wärme länger, lass länger ruhen, bearbeite kurz und schließe. Lass absetzen und schließe. Führe weiter und schließe. Arbeite nach Sollmaß, wärme kurz, führe länger fort, gib einen Anteil zu, übertrage, führe weiter, führe kurz ab und schließe. Führe ab und schließe. Setze die Fortsetzung ein, lass absetzen und schließe. Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt. Gib einen Anteil zu, nimm den Klarauszug, leite den Anteil zur Zielstelle, sammle kurz, führe ab und schließe. Gib einen weiteren Anteil zum Ziel, gieße ihn vom Ausgang aus, lass absetzen und schließe.
B5	f83r	Kurzer Seitenweg	3	11	0	1	Führe die Folgeumsetzung aus und schließe. Übertrage und schließe. Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, arbeite nach Sollmaß und setze weiter um.
