source_position	microcycle	owner	joint_tuple_id	atomic_value_de	first_copy_surface	trainee_second_surface	expected_second_surface	collation_category	corrector_action	meaning_changed
1	C1	H4_LEAF_OWNER	2cc054357a929df85f64	Zutat	sho	cho	cho	REGISTERED_SURFACE_VARIANT	KEEP_VARIANT	NO
2	C1	H4_LEAF_OWNER	7a4bb8136330ee4e6e56	Ansatz	sor	chor	chor	REGISTERED_SURFACE_VARIANT	KEEP_VARIANT	NO
3	C1	H4_LEAF_OWNER	807591efc3d3f7ddbfab	Auszugnahme	cheoar	cheoar	cheoar	INVARIANT_MATCH	KEEP	NO
4	C1	H4_LEAF_OWNER	d904bf7b044dd3922781	Kurzwärme	cheky	cheky	cheky	INVARIANT_MATCH	KEEP	NO
5	C2	H4_LEAF_OWNER	5fca8fc3dee57e1d8c1f	Klarabzug	lcheey	lcheey	lcheey	INVARIANT_MATCH	KEEP	NO
6	C2	H4_LEAF_OWNER	deb377381ceaf55ea310	Nachseihen	cphy	MISSING	cphy	TRUE_OMISSION	RESTORE::cphy	NO
7	C2	H4_LEAF_OWNER	e0b630cb1b5df5e7105b	Bereit	shcthy	cthy	cthy	REGISTERED_SURFACE_VARIANT	KEEP_VARIANT	NO
8	C3	B3_MAIN_ARCH_LINKED_PAIR	b921a237be883a820352	Diesposten	sy	chey	chey	REGISTERED_SURFACE_VARIANT	KEEP_VARIANT	NO
9	C3	B3_MAIN_ARCH_LINKED_PAIR	2f1c5e56e8f0ff459065	Sollmaß	saiin	chaiin	chaiin	REGISTERED_SURFACE_VARIANT	KEEP_VARIANT	NO
10	C3	B3_MAIN_ARCH_LINKED_PAIR	2cc8bb3c2af19607888f	durchleiten	shckhy	chckhy	chckhy	REGISTERED_SURFACE_VARIANT	KEEP_VARIANT	NO
11	C3	B3_MAIN_ARCH_LINKED_PAIR	276a7c2d74d1143446f4	Einsetzen	choky	oky	oky	REGISTERED_SURFACE_VARIANT	KEEP_VARIANT	NO
12	C4	B3_MAIN_ARCH_LINKED_PAIR	0275fbf14e07935b0a45	Langkontakt	qokeey	okeey	okeey	REGISTERED_SURFACE_VARIANT	KEEP_VARIANT	NO
13	C4	B3_MAIN_ARCH_LINKED_PAIR	7db18b2f0fb7ed0fcfd3	Kurzkontakt	qokedy	qokedy	qokedy	INVARIANT_MATCH	KEEP	NO
14	C4	B3_MAIN_ARCH_LINKED_PAIR	e026af581c99322fbd46	Verwahren	talam	talam	talam	INVARIANT_MATCH	KEEP	NO
