joint_tuple_id	surface_family	occurrences	records	previous_default_de	selected_default_de	selected_segmentation	family	latin_workshop_mnemonic	event_ids	composition_or_nomenclator	workshop_reason
4d4559019a961b834aa1	char|dar|sar	5	B1|B2|B3|H1|H2	aus demselben Vorrat	daraus	AR_FROM	AR_SOURCE	DE / EX	E003|E031|E105|E199|E238	COMPOSITION	Reduce the old phrase 'aus demselben Vorrat' to one reusable source relation.
dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	10	B1|B2|B3|B4|B5|H5	Stelle	dorthin	AL_TO	AL_TARGET	AD	E082|E109|E156|E166|E214|E268|E272|E278|E359|E365	COMPOSITION	AL behaves more cleanly as a target relation than as a complete noun 'Stelle'.
308e8ea2d5d190c498e8	okal|qokal	6	B1|B2|B3|H4	an die Stelle setzen	dort ansetzen	OK_SET+AL_TO	OK_AL	PONE AD	E069|E104|E152|E172|E186|E241	COMPOSITION	Transparent operation plus target relation.
4a7a6326ac95a8809302	qokaly	1	B2	Posten zur Stelle setzen	dies dort ansetzen	OK_SET+AL_TO+Y_ITEM	OK_AL_Y	PONE HOC AD	E177	COMPOSITION	The current item is supplied by Y.
93f69c38fdedee1598e9	qokeedal	1	B1	länger an der Stelle halten	dort länger halten	OK_SET+EE_HOLD+AL_TO	OK_EE_AL	TENE AD	E117	COMPOSITION	A target plus sustained contact, not a sentence-sized treatment word.
90bcf0a9ec0ef56399e6	otal|qotal	3	B3|B4	Folgestelle	danach dorthin	OT_NEXT+AL_TO	OT_AL	DEINDE AD	E230|E237|E320	COMPOSITION	Productive order plus target relation.
abb23e5e6936b4147f76	shedal	2	B3|B5	Absetzstelle	dort absetzen	SHED_SETTLE+AL_TO	SHED_AL	DEPONE AD	E275|E364	COMPOSITION	The site is supplied by AL; no separate station noun is needed.
00d8ebe3c68294eeac39	chdal	1	B5	an der Stelle umsetzen	dort umsetzen	CHD_TRANSFER+AL_TO	CHD_AL	TRANSFER AD	E368	COMPOSITION	Short target-directed transfer.
7811a7daff25d476e28d	olsaly	1	B3	untere Stelle	unterhalb	OLS_BELOW+AL_TO+Y_ITEM	LOWER_SITE	INFRA	E313	COMPOSITION	Compress the former noun phrase 'untere Stelle'.
97ddca78c9ebcc956d04	ldalor	1	B6	bezeichnete Stelle	Endstelle	LD_END+AL_TO	END_SITE	AD FINEM	E381	COMPOSITION	A learned local hull plus the productive target relation.
433713294b25b0a12f66	lchedal	1	B1	Auslassstelle	Auslass	L_OUT+CHED_TRANSFER+AL_TO	OUTLET	EXITUS	E147	COMPOSITION	The old long gloss collapses to the named output station.
ba540da978ea132f6da5	pchedal	1	B3	Einfüllstelle	Einlass	P_IN+CHED_TRANSFER+AL_TO	INLET	INTroitus	E248	COMPOSITION	Mirror image of L+CHED+AL.
0f15effeca7ab10bb026	lchedar	1	B2	aus der Quelle hinausführen	von dort abführen	L_OUT+CHED_TRANSFER+AR_FROM	OUT_FROM	EDUCE DE	E215	COMPOSITION	Source and outward transfer remain separately visible.
65df3cd9e59060042d47	pchedy	1	B2	hineinführen; Schluss	einführen; Schluss	P_IN+CHED_TRANSFER+TERMINAL	IN_TRANSFER	INDUCE	E221	COMPOSITION	Short inward transfer plus the learned close.
