component_or_whole_sign	selected_value_de	latin_workshop_parallel	current_examples	role_in_mixed_system
AL	AN / ZU	AD	OKAL, OTAL, SHEDAL, PCHEDAL	productive target relation
AR	AUS / VON	DE / EX	CHAR, QOKAR, LCHEDAR, CHEOAR	productive source relation
CHED	UMSETZEN	TRANSFER	CHEDY, CHEDCHY, DCHEDY	productive transfer core
L+CHED	ABFÜHREN	EDUCE	LCHED, LCHEDY, LCHEDAR, LCHEDAL	productive outward transfer
P+CHED	EINFÜHREN	INDUCE	PCHEDY, PCHEDAL	productive inward transfer
CKH	DURCH / DURCHGANG	PER	CHCKHY, LCHECKHY	productive passage
CKHE	SEIHEN	COLA	SHCKHEDY, LCHECKHEDY	filtered passage
SOLK	SAMMELN	COLLIGE	SOLKEY, SOLKEEY, SOLKEEDY	productive collection plus grade
AIR	WASSER	AQUA	CHAIR, KAIR, OKAIR, SCHEDAIR	productive medium stem
OS	GEFÄSS	VAS	OS	learned whole sign
OYKCHOR	TOPF	OLLA	OYKCHOR	learned whole sign
LY	AUFFANGSCHALE	SCUTELLA	LY	learned whole sign
QOTEDAIIN	WANNE	TINA	QOTEDAIIN	learned whole sign
QOLCHEY	BECKEN	LABRUM	QOLCHEY	learned whole sign
CHEEDAR	SAMMELBECKEN	RECEPTACULUM	CHEEDAR	learned whole sign
DAIN	TUCH	PANNUS	DAIN	learned whole sign
SOLKAIIN	SEIHTUCH	COLATORIUM	SOLKAIIN	learned whole sign
TEOL	HAHN	CANNA	TEOL	learned fitting
LS	DÜSE	FISTULA	LS	learned fitting
SHEEY	ABLAUF	EMISSARIUM	SHEEY	learned fitting
RALY	SEITENARM	RAMUS	RALY	learned fitting
