edition	model	paragraph	position	form	meaning	role	raw_line	action_patient	action_patient_form	action_rule	action_debts	L_patient	L_debts	R_patient	R_debts	row_status
ZL3b	N	f6v|f6v.6-f6v.21	f6v.14:2	chol	trocken	STATE	qokor chol cthol tchalody					f6v.14:3		f6v.14:3		recorded
ZL3b	C	f6v|f6v.6-f6v.21	f6v.14:2	chol	trockne	ACTION	qokor chol cthol tchalody	f6v.14:3	cthol	LOCAL_RIGHT		f6v.14:3		f6v.14:3		recorded
ZL3b	T	f6v|f6v.6-f6v.21	f6v.14:2	chol	trocken	STATE	qokor chol cthol tchalody					f6v.14:3		f6v.14:3		recorded
ZL3b	CT	f6v|f6v.6-f6v.21	f6v.14:2	chol	trockne	ACTION	qokor chol cthol tchalody	f6v.14:3	cthol	LOCAL_RIGHT		f6v.14:3		f6v.14:3		recorded
ZL3b	N	f9v|f9v.5-f9v.12	f9v.7:2	chol	trocken	STATE	qo chol chol {ct}chy daiin otal dor daim					f9v.7:6	UNREAD_BETWEEN:f9v.7:4	f9v.7:6	UNREAD_BETWEEN:f9v.7:4	recorded
ZL3b	N	f9v|f9v.5-f9v.12	f9v.7:3	chol	trocken	STATE	qo chol chol {ct}chy daiin otal dor daim					f9v.7:6	UNREAD_BETWEEN:f9v.7:4	f9v.7:6	UNREAD_BETWEEN:f9v.7:4	recorded
ZL3b	N	f9v|f9v.5-f9v.12	f9v.10:1	oty	kühl	STATE	oty kchol chol chy kyty					f9v.10:2		f9v.10:2		recorded
ZL3b	N	f9v|f9v.5-f9v.12	f9v.10:3	chol	trocken	STATE	oty kchol chol chy kyty					f9v.10:2		f9v.10:2		recorded
ZL3b	C	f9v|f9v.5-f9v.12	f9v.7:2	chol	trockne	ACTION	qo chol chol {ct}chy daiin otal dor daim	f9v.6:4	chody	PARAGRAPH_CARRY	UNREAD_BETWEEN:f9v.6:5;UNREAD_BETWEEN:f9v.6:6;UNREAD_BETWEEN:f9v.6:7;UNREAD_BETWEEN:f9v.6:8;IMPLICIT_SUBJECT_CONTINUATION	f9v.6:4	UNREAD_BETWEEN:f9v.6:5;UNREAD_BETWEEN:f9v.6:6;UNREAD_BETWEEN:f9v.6:7;UNREAD_BETWEEN:f9v.6:8;IMPLICIT_SUBJECT_CONTINUATION	f9v.6:4	UNREAD_BETWEEN:f9v.6:5;UNREAD_BETWEEN:f9v.6:6;UNREAD_BETWEEN:f9v.6:7;UNREAD_BETWEEN:f9v.6:8;IMPLICIT_SUBJECT_CONTINUATION	recorded
ZL3b	C	f9v|f9v.5-f9v.12	f9v.7:3	chol	trockne	ACTION	qo chol chol {ct}chy daiin otal dor daim	f9v.7:6	otal	LOCAL_RIGHT	UNREAD_BETWEEN:f9v.7:4	f9v.7:6	UNREAD_BETWEEN:f9v.7:4	f9v.7:6	UNREAD_BETWEEN:f9v.7:4	recorded
