model	locus	form	positions	meaning	patients	status	row_status
N	f9v.7	chol	2;3	trocken	f9v.7:6;f9v.7:6	EVERY_WRITTEN_OCCURRENCE_RETAINED	recorded
C	f9v.7	chol	2;3	trockne	f9v.6:4;f9v.7:6	EVERY_WRITTEN_OCCURRENCE_RETAINED	recorded
T	f9v.7	chol	2;3	trocken	f9v.7:6;f9v.7:6	EVERY_WRITTEN_OCCURRENCE_RETAINED	recorded
CT	f9v.7	chol	2;3	trockne	f9v.6:4;f9v.7:6	EVERY_WRITTEN_OCCURRENCE_RETAINED	recorded
N	f17v.13	chol	2;3	trocken	f17v.13:4;f17v.13:4	EVERY_WRITTEN_OCCURRENCE_RETAINED	recorded
C	f17v.13	chol	2;3	trockne	f17v.12:6;f17v.13:4	EVERY_WRITTEN_OCCURRENCE_RETAINED	recorded
T	f17v.13	chol	2;3	trocken	f17v.13:4;f17v.13:4	EVERY_WRITTEN_OCCURRENCE_RETAINED	recorded
CT	f17v.13	chol	2;3	trockne	f17v.12:6;f17v.13:4	EVERY_WRITTEN_OCCURRENCE_RETAINED	recorded
N	f23r.5	chol	4;6	trocken	f23r.5:2;f23r.5:2	EVERY_WRITTEN_OCCURRENCE_RETAINED	recorded
C	f23r.5	chol	4;6	trockne	f23r.5:2;f23r.5:2	EVERY_WRITTEN_OCCURRENCE_RETAINED	recorded
T	f23r.5	chol	4;6	trocken	f23r.5:2;f23r.5:2	EVERY_WRITTEN_OCCURRENCE_RETAINED	recorded
CT	f23r.5	chol	4;6	trockne	f23r.5:2;f23r.5:2	EVERY_WRITTEN_OCCURRENCE_RETAINED	recorded
N	f24r.18	chol	2;4	trocken	UNBOUND;UNBOUND	EVERY_WRITTEN_OCCURRENCE_RETAINED	recorded
C	f24r.18	chol	2;4	trockne	f24r.17:3;f24r.17:3	EVERY_WRITTEN_OCCURRENCE_RETAINED	recorded
T	f24r.18	chol	2;4	trocken	UNBOUND;UNBOUND	EVERY_WRITTEN_OCCURRENCE_RETAINED	recorded
CT	f24r.18	chol	2;4	trockne	f24r.17:3;f24r.17:3	EVERY_WRITTEN_OCCURRENCE_RETAINED	recorded
N	f86v5.19	oty	6;7	kühl	UNBOUND;UNBOUND	EVERY_WRITTEN_OCCURRENCE_RETAINED	recorded
C	f86v5.19	oty	6;7	kühl	UNBOUND;UNBOUND	EVERY_WRITTEN_OCCURRENCE_RETAINED	recorded
T	f86v5.19	oty	6;7	kühle	f86v5.18:8;f86v5.18:8	EVERY_WRITTEN_OCCURRENCE_RETAINED	recorded
CT	f86v5.19	oty	6;7	kühle	f86v5.18:8;f86v5.18:8	EVERY_WRITTEN_OCCURRENCE_RETAINED	recorded
