operation	patient	form	meaning	assumed_type	later_exact_mentions	consequence	same_instance_issue	identity	debts	row_status
f6v.14:2	f6v.14:3	cthol	Krautpulver	OTHER_OR_UNSPECIFIED		NO_ADDITIONAL_TYPE_CLAIM		SAME_AND_NEW_REMAIN_OPEN		recorded
f9v.7:2	f9v.6:4	chody	getrocknetes Material	OTHER_OR_UNSPECIFIED		NO_ADDITIONAL_TYPE_CLAIM		SAME_AND_NEW_REMAIN_OPEN	UNREAD_BETWEEN:f9v.6:5;UNREAD_BETWEEN:f9v.6:6;UNREAD_BETWEEN:f9v.6:7;UNREAD_BETWEEN:f9v.6:8;IMPLICIT_SUBJECT_CONTINUATION	recorded
f9v.7:3	f9v.7:6	otal	kühles Ausgangsmaterial	OTHER_OR_UNSPECIFIED		NO_ADDITIONAL_TYPE_CLAIM		SAME_AND_NEW_REMAIN_OPEN	UNREAD_BETWEEN:f9v.7:4	recorded
f9v.10:3	f9v.10:2	kchol	Trockenmaterial	OTHER_OR_UNSPECIFIED		NO_ADDITIONAL_TYPE_CLAIM		SAME_AND_NEW_REMAIN_OPEN		recorded
f17v.5:2	f17v.5:4	tchol	getrockneter Anteil	OTHER_OR_UNSPECIFIED		NO_ADDITIONAL_TYPE_CLAIM		SAME_AND_NEW_REMAIN_OPEN	UNREAD_BETWEEN:f17v.5:3	recorded
f17v.11:4	f17v.10:4	okol	Grundansatz	OTHER_OR_UNSPECIFIED		NO_ADDITIONAL_TYPE_CLAIM		SAME_AND_NEW_REMAIN_OPEN	UNREAD_BETWEEN:f17v.10:5;UNREAD_BETWEEN:f17v.10:6;UNREAD_BETWEEN:f17v.11:1;UNREAD_BETWEEN:f17v.11:2;UNREAD_BETWEEN:f17v.11:3;IMPLICIT_SUBJECT_CONTINUATION	recorded
f17v.13:2	f17v.12:6	chor	Blüten	OTHER_OR_UNSPECIFIED		NO_ADDITIONAL_TYPE_CLAIM		SAME_AND_NEW_REMAIN_OPEN	UNREAD_BETWEEN:f17v.13:1;IMPLICIT_SUBJECT_CONTINUATION	recorded
f17v.13:3	f17v.13:4	cthol	Krautpulver	OTHER_OR_UNSPECIFIED	f17v.16:4	NO_ADDITIONAL_TYPE_CLAIM		SAME_AND_NEW_REMAIN_OPEN		recorded
f17v.16:2	f17v.16:3	okeol	warme Flüssigkeit	EXPLICIT_LIQUID		DRYING_A_LIQUID_REQUIRES_LOSS_OF_LIQUID_FORM;NO_PRODUCT_NAME_IDENTIFIED		SAME_AND_NEW_REMAIN_OPEN		recorded
f17v.18:4	f17v.18:2	cheeor	geklärter Auszug	EXTRACT		EXTRACT_PHYSICAL_FORM_UNSPECIFIED		SAME_AND_NEW_REMAIN_OPEN		recorded
f17v.20:4	f17v.20:3	cheor	Auszug	EXTRACT		EXTRACT_PHYSICAL_FORM_UNSPECIFIED		SAME_AND_NEW_REMAIN_OPEN		recorded
f19v.9:5	f19v.9:3	chor	Blüten	OTHER_OR_UNSPECIFIED	f19v.10:2	NO_ADDITIONAL_TYPE_CLAIM		SAME_AND_NEW_REMAIN_OPEN	UNREAD_BETWEEN:f19v.9:4	recorded
f22v.9:3	f22v.9:2	shody	benetztes Material	OTHER_OR_UNSPECIFIED		NO_ADDITIONAL_TYPE_CLAIM		SAME_AND_NEW_REMAIN_OPEN		recorded
f23r.5:4	f23r.5:2	qokchol	erwärmtes Trockenmaterial	OTHER_OR_UNSPECIFIED		NO_ADDITIONAL_TYPE_CLAIM		SAME_AND_NEW_REMAIN_OPEN	UNREAD_BETWEEN:f23r.5:3	recorded
f23r.5:6	f23r.5:2	qokchol	erwärmtes Trockenmaterial	OTHER_OR_UNSPECIFIED		NO_ADDITIONAL_TYPE_CLAIM		SAME_AND_NEW_REMAIN_OPEN	UNREAD_BETWEEN:f23r.5:3;UNREAD_BETWEEN:f23r.5:5	recorded
f24r.18:2	f24r.17:3	sham	feuchte Masse	OTHER_OR_UNSPECIFIED		NO_ADDITIONAL_TYPE_CLAIM		SAME_AND_NEW_REMAIN_OPEN	UNREAD_BETWEEN:f24r.17:4;IMPLICIT_SUBJECT_CONTINUATION	recorded
f24r.18:4	f24r.17:3	sham	feuchte Masse	OTHER_OR_UNSPECIFIED		NO_ADDITIONAL_TYPE_CLAIM		SAME_AND_NEW_REMAIN_OPEN	UNREAD_BETWEEN:f24r.17:4;IMPLICIT_SUBJECT_CONTINUATION	recorded
f24r.19:3	f24r.17:3	sham	feuchte Masse	OTHER_OR_UNSPECIFIED		NO_ADDITIONAL_TYPE_CLAIM		SAME_AND_NEW_REMAIN_OPEN	UNREAD_BETWEEN:f24r.17:4;UNREAD_BETWEEN:f24r.19:1;UNREAD_BETWEEN:f24r.19:2;IMPLICIT_SUBJECT_CONTINUATION	recorded
f45v.9:3	f45v.9:2	cthy	Kraut	OTHER_OR_UNSPECIFIED		NO_ADDITIONAL_TYPE_CLAIM		SAME_AND_NEW_REMAIN_OPEN		recorded
f93r.2:3	f93r.2:6	sheo	feuchte Zubereitung	OTHER_OR_UNSPECIFIED	f93r.11:5	NO_ADDITIONAL_TYPE_CLAIM		SAME_AND_NEW_REMAIN_OPEN	UNREAD_BETWEEN:f93r.2:4;UNREAD_BETWEEN:f93r.2:5	recorded
f93r.6:6	f93r.6:2	otor	kühler Anteil	OTHER_OR_UNSPECIFIED		NO_ADDITIONAL_TYPE_CLAIM		SAME_AND_NEW_REMAIN_OPEN		recorded
