paragraph	locus	index	raw	status	N	C	T	CT	row_status
f6v|f6v.6-f6v.21	f6v.6	1	tchody	ASSUMED	Bereitung	Bereitung	Bereitung	Bereitung	recorded
f6v|f6v.6-f6v.21	f6v.6	2	shocthol	ASSUMED	benetztes Krautpulver	benetztes Krautpulver	benetztes Krautpulver	benetztes Krautpulver	recorded
f6v|f6v.6-f6v.21	f6v.6	3	cho{cthh}y	UNREAD	[ungelesen: cho{cthh}y]	[ungelesen: cho{cthh}y]	[ungelesen: cho{cthh}y]	[ungelesen: cho{cthh}y]	recorded
f6v|f6v.6-f6v.21	f6v.6	4	s	ASSUMED	jeweils	jeweils	jeweils	jeweils	recorded
f6v|f6v.6-f6v.21	f6v.7	1	ychos	ASSUMED	zerkleinere	zerkleinere	zerkleinere	zerkleinere	recorded
f6v|f6v.6-f6v.21	f6v.7	2	ychol	ASSUMED	trockne	trockne	trockne	trockne	recorded
f6v|f6v.6-f6v.21	f6v.7	3	daiin	ASSUMED	Dosis Q	Dosis Q	Dosis Q	Dosis Q	recorded
f6v|f6v.6-f6v.21	f6v.7	4	cthol	ASSUMED	Krautpulver	Krautpulver	Krautpulver	Krautpulver	recorded
f6v|f6v.6-f6v.21	f6v.7	5	dol	ASSUMED	Portion	Portion	Portion	Portion	recorded
f6v|f6v.6-f6v.21	f6v.8	1	ychor	ASSUMED	ferner	ferner	ferner	ferner	recorded
f6v|f6v.6-f6v.21	f6v.8	2	chor	ASSUMED	Blüten	Blüten	Blüten	Blüten	recorded
f6v|f6v.6-f6v.21	f6v.8	3	okchey	ASSUMED	zerstoße fein	zerstoße fein	zerstoße fein	zerstoße fein	recorded
f6v|f6v.6-f6v.21	f6v.8	4	qokom	ASSUMED	erwärme portionsweise	erwärme portionsweise	erwärme portionsweise	erwärme portionsweise	recorded
f6v|f6v.6-f6v.21	f6v.9	1	oeeo	ASSUMED	miss ab	miss ab	miss ab	miss ab	recorded
f6v|f6v.6-f6v.21	f6v.9	2	dal	ASSUMED	Maß	Maß	Maß	Maß	recorded
f6v|f6v.6-f6v.21	f6v.9	3	chor	ASSUMED	Blüten	Blüten	Blüten	Blüten	recorded
f6v|f6v.6-f6v.21	f6v.9	4	cthom	ASSUMED	Kräuterportion	Kräuterportion	Kräuterportion	Kräuterportion	recorded
f6v|f6v.6-f6v.21	f6v.9	5	s	ASSUMED	jeweils	jeweils	jeweils	jeweils	recorded
f6v|f6v.6-f6v.21	f6v.10	1	qokchod	ASSUMED	trockne vollständig	trockne vollständig	trockne vollständig	trockne vollständig	recorded
f6v|f6v.6-f6v.21	f6v.10	2	ychear	ASSUMED	vermische	vermische	vermische	vermische	recorded
f6v|f6v.6-f6v.21	f6v.10	3	kchdy	ASSUMED	feines Pulver	feines Pulver	feines Pulver	feines Pulver	recorded
f6v|f6v.6-f6v.21	f6v.11	1	lor	ASSUMED	mit	mit	mit	mit	recorded
f6v|f6v.6-f6v.21	f6v.11	2	char	ASSUMED	Blütenanteil	Blütenanteil	Blütenanteil	Blütenanteil	recorded
f6v|f6v.6-f6v.21	f6v.11	3	otam	ASSUMED	Ansatzmasse	Ansatzmasse	Ansatzmasse	Ansatzmasse	recorded
f6v|f6v.6-f6v.21	f6v.11	4	ctho	ASSUMED	Krautmehl	Krautmehl	Krautmehl	Krautmehl	recorded
f6v|f6v.6-f6v.21	f6v.11	5	m	ASSUMED	danach	danach	danach	danach	recorded
f6v|f6v.6-f6v.21	f6v.11	6	dy	ASSUMED	fertig	fertig	fertig	fertig	recorded
f6v|f6v.6-f6v.21	f6v.12	1	ytcho[s:r]	UNREAD	[ungelesen: ytcho[s:r]]	[ungelesen: ytcho[s:r]]	[ungelesen: ytcho[s:r]]	[ungelesen: ytcho[s:r]]	recorded
f6v|f6v.6-f6v.21	f6v.12	2	shy	ASSUMED	feucht	feucht	feucht	feucht	recorded
f6v|f6v.6-f6v.21	f6v.12	3	qokam	ASSUMED	erwärme	erwärme	erwärme	erwärme	recorded
f6v|f6v.6-f6v.21	f6v.12	4	cthy	ASSUMED	Kraut	Kraut	Kraut	Kraut	recorded
