edition	model	paragraph	operation	form	meaning	patient	patient_form	rule	coingredient	debts	row_status
ZL3b	N	f6v|f6v.6-f6v.21	f6v.7:1	ychos	zerkleinere	f6v.6:2	shocthol	PARAGRAPH_CARRY		UNREAD_BETWEEN:f6v.6:3;IMPLICIT_SUBJECT_CONTINUATION	recorded
ZL3b	N	f6v|f6v.6-f6v.21	f6v.7:2	ychol	trockne	f6v.7:4	cthol	LOCAL_RIGHT			recorded
ZL3b	N	f6v|f6v.6-f6v.21	f6v.8:3	okchey	zerstoße fein	f6v.8:2	chor	LOCAL_LEFT			recorded
ZL3b	N	f6v|f6v.6-f6v.21	f6v.8:4	qokom	erwärme portionsweise	f6v.8:2	chor	LOCAL_LEFT			recorded
ZL3b	N	f6v|f6v.6-f6v.21	f6v.9:1	oeeo	miss ab	f6v.9:3	chor	LOCAL_RIGHT			recorded
ZL3b	N	f6v|f6v.6-f6v.21	f6v.10:1	qokchod	trockne vollständig	f6v.9:4	cthom	PARAGRAPH_CARRY		IMPLICIT_SUBJECT_CONTINUATION	recorded
ZL3b	N	f6v|f6v.6-f6v.21	f6v.10:2	ychear	vermische	f6v.10:3	kchdy	LOCAL_RIGHT		MISSING_COINGREDIENT	recorded
ZL3b	N	f6v|f6v.6-f6v.21	f6v.12:3	qokam	erwärme	f6v.12:4	cthy	LOCAL_RIGHT			recorded
ZL3b	N	f6v|f6v.6-f6v.21	f6v.14:1	qokor	erhitze	f6v.14:3	cthol	LOCAL_RIGHT			recorded
ZL3b	N	f6v|f6v.6-f6v.21	f6v.15:1	chockhy	vermische	f6v.14:3	cthol	PARAGRAPH_CARRY		IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
ZL3b	N	f6v|f6v.6-f6v.21	f6v.16:1	ochy	kühle	f6v.16:2	cthar	LOCAL_RIGHT			recorded
ZL3b	N	f6v|f6v.6-f6v.21	f6v.17:3	ckhal	presse aus	f6v.17:4	cthodam	LOCAL_RIGHT			recorded
ZL3b	N	f6v|f6v.6-f6v.21	f6v.18:2	ches	stampfe	f6v.18:1	ytchocthol	LOCAL_LEFT			recorded
ZL3b	N	f6v|f6v.6-f6v.21	f6v.19:2	kchos	zerreibe	f6v.19:1	ocholy	LOCAL_LEFT			recorded
ZL3b	N	f6v|f6v.6-f6v.21	f6v.21:3	octham	bewahre auf	f6v.21:2	chor	LOCAL_LEFT			recorded
ZL3b	C	f6v|f6v.6-f6v.21	f6v.7:1	ychos	zerkleinere	f6v.6:2	shocthol	PARAGRAPH_CARRY		UNREAD_BETWEEN:f6v.6:3;IMPLICIT_SUBJECT_CONTINUATION	recorded
ZL3b	C	f6v|f6v.6-f6v.21	f6v.7:2	ychol	trockne	f6v.7:4	cthol	LOCAL_RIGHT			recorded
