model	paragraph	groups	commands	new_commands	command_debts	row_status
N	f6v|f6v.6-f6v.21	71	15	0	4	recorded
C	f6v|f6v.6-f6v.21	71	16	1	5	recorded
T	f6v|f6v.6-f6v.21	71	15	0	4	recorded
CT	f6v|f6v.6-f6v.21	71	16	1	5	recorded
N	f9v|f9v.5-f9v.12	48	5	0	4	recorded
C	f9v|f9v.5-f9v.12	48	8	3	6	recorded
T	f9v|f9v.5-f9v.12	48	6	1	4	recorded
CT	f9v|f9v.5-f9v.12	48	9	4	6	recorded
N	f17v|f17v.1-f17v.23	135	10	0	6	recorded
C	f17v|f17v.1-f17v.23	135	17	7	9	recorded
T	f17v|f17v.1-f17v.23	135	10	0	6	recorded
CT	f17v|f17v.1-f17v.23	135	17	7	9	recorded
N	f19v|f19v.8-f19v.14	41	1	0	1	recorded
C	f19v|f19v.8-f19v.14	41	2	1	2	recorded
T	f19v|f19v.8-f19v.14	41	2	1	2	recorded
CT	f19v|f19v.8-f19v.14	41	3	2	3	recorded
N	f22v|f22v.6-f22v.16	44	3	0	2	recorded
C	f22v|f22v.6-f22v.16	44	4	1	2	recorded
T	f22v|f22v.6-f22v.16	44	4	1	3	recorded
CT	f22v|f22v.6-f22v.16	44	5	2	3	recorded
N	f23r|f23r.4-f23r.5	21	1	0	1	recorded
C	f23r|f23r.4-f23r.5	21	3	2	3	recorded
T	f23r|f23r.4-f23r.5	21	1	0	1	recorded
CT	f23r|f23r.4-f23r.5	21	3	2	3	recorded
N	f24r|f24r.1-f24r.20	110	9	0	5	recorded
C	f24r|f24r.1-f24r.20	110	12	3	8	recorded
T	f24r|f24r.1-f24r.20	110	9	0	5	recorded
CT	f24r|f24r.1-f24r.20	110	12	3	8	recorded
N	f45v|f45v.5-f45v.11	48	1	0	0	recorded
C	f45v|f45v.5-f45v.11	48	2	1	0	recorded
T	f45v|f45v.5-f45v.11	48	2	1	1	recorded
CT	f45v|f45v.5-f45v.11	48	3	2	1	recorded
N	f86v5|f86v5.18-f86v5.25	76	5	0	2	recorded
C	f86v5|f86v5.18-f86v5.25	76	5	0	2	recorded
T	f86v5|f86v5.18-f86v5.25	76	7	2	4	recorded
CT	f86v5|f86v5.18-f86v5.25	76	7	2	4	recorded
N	f93r|f93r.1-f93r.32	152	7	0	4	recorded
C	f93r|f93r.1-f93r.32	152	10	3	5	recorded
T	f93r|f93r.1-f93r.32	152	7	0	4	recorded
CT	f93r|f93r.1-f93r.32	152	10	3	5	recorded
N	f99r|f99r.47-f99r.52	43	4	0	3	recorded
C	f99r|f99r.47-f99r.52	43	5	1	4	recorded
T	f99r|f99r.47-f99r.52	43	4	0	3	recorded
CT	f99r|f99r.47-f99r.52	43	5	1	4	recorded
N	f102v2|f102v2.30-f102v2.39	93	14	0	10	recorded
C	f102v2|f102v2.30-f102v2.39	93	14	0	10	recorded
T	f102v2|f102v2.30-f102v2.39	93	14	0	10	recorded
CT	f102v2|f102v2.30-f102v2.39	93	14	0	10	recorded
N	f106r|f106r.8-f106r.9	18	2	0	2	recorded
C	f106r|f106r.8-f106r.9	18	3	1	2	recorded
T	f106r|f106r.8-f106r.9	18	2	0	2	recorded
CT	f106r|f106r.8-f106r.9	18	3	1	2	recorded
