channel_id	source_experiment	source_rule_id	channel_kind	surface_stem	component_recipe	literal_working_value_de	calibration_type_count	matching_type_count	calibration_precision	calibration_pages	admission_basis
G466-C01	GDT460	G460-E01	PREFIX	otal	OT+AL	DANACH · ZIELORT	4	4	1.000000	f71v|f72r|f76r|f95v	CALIBRATED_DIRECTIONAL_EDGE
G466-C02	GDT460	G460-E02	PREFIX	otol	OT+OL	DANACH · FORTSETZEN	4	4	1.000000	f24v|f55v|f67r2|f89r	CALIBRATED_DIRECTIONAL_EDGE
G466-C03	GDT463	G463-B02	PREFIX	kor	K+OR	GEBEN · EINHEIT	2	2	1.000000	9	EXACT_CARD_EDGE_PLUS_DISTRIBUTED_RECIPE_SEQUENCE
G466-C04	GDT463	G463-B03	PREFIX	yky	Y+K+Y	POSTEN · GEBEN · POSTEN	1	1	1.000000	4	EXACT_CARD_EDGE_PLUS_DISTRIBUTED_RECIPE_SEQUENCE
G466-C05	GDT460	G460-E03	PREFIX	al	AL	ZIELORT	17	16	0.941176	f55v|f67r2|f71v|f72r|f75r|f76r|f81r|f83r|f88r|f95v	CALIBRATED_DIRECTIONAL_EDGE
G466-C06	GDT462	G462-PREFIX-ar	PREFIX	ar	AR	AUSGANG	7	6	0.857143	PACKAGE_EXCEPTION_TWO_PAGES	NAMED_REPEATED_RELATION_PACKAGE_EXCEPTION
G466-C07	GDT464	G464-B01	PREFIX	of	O+LOCAL_CHAR_F	AUSFÜHRUNG · HIER	6	6	1.000000	5	Q_STRIPPED_EXACT_CARD_PLUS_PERFECT_PREFIX_EXTENSIONS
G466-C08	GDT460	G460-E04	PREFIX	ok	OK	SETZEN	81	80	0.987654	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CALIBRATED_DIRECTIONAL_EDGE
G466-C09	GDT460	G460-E05	PREFIX	ol	OL	FORTSETZEN	56	54	0.964286	f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CALIBRATED_DIRECTIONAL_EDGE
G466-C10	GDT460	G460-E06	PREFIX	or	OR	EINHEIT	11	11	1.000000	f24v|f55v|f67r2|f72r|f75r|f81r|f82r|f88r|f88v	CALIBRATED_DIRECTIONAL_EDGE
G466-C11	GDT460	G460-E07	PREFIX	ot	OT	DANACH	66	66	1.000000	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CALIBRATED_DIRECTIONAL_EDGE
G466-C12	GDT460	G460-E08	PREFIX	sh	SH	HALTEN	118	114	0.966102	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CALIBRATED_DIRECTIONAL_EDGE
G466-C13	GDT460	G460-E09	SUFFIX	olaiin	OL+AIIN	FORTSETZEN · WERT	4	4	1.000000	f72r|f76r|f88v	CALIBRATED_DIRECTIONAL_EDGE
G466-C14	GDT460	G460-E10	SUFFIX	daiin	AIIN	WERT	26	26	1.000000	f10r|f11r|f18r|f1r|f24v|f55v|f67r2|f71v|f72r|f76r|f77r|f81r|f82r|f83r|f88v|f89r|f95v	CALIBRATED_DIRECTIONAL_EDGE
G466-C15	GDT460	G460-E11	SUFFIX	aiin	AIIN	WERT	89	89	1.000000	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CALIBRATED_DIRECTIONAL_EDGE
G466-C16	GDT464	G464-B02	SUFFIX	ainy	AIN+Y	ANTEIL · POSTEN	53	53	1.000000	20	TWO_EXACT_CARDS_PLUS_HELD_ADDRESS_ANCHOR
G466-C17	GDT460	G460-E12	SUFFIX	alor	AL+OR	ZIELORT · EINHEIT	4	4	1.000000	f76r|f77r|f83r	CALIBRATED_DIRECTIONAL_EDGE
G466-C18	GDT463	G463-B04	SUFFIX	cfhy	CH+LOCAL_CHAR_F+Y	NEHMEN · HIER · POSTEN	1	1	1.000000	4	EXACT_CARD_EDGE_PLUS_DISTRIBUTED_RECIPE_SEQUENCE
G466-C19	GDT460	G460-E13	SUFFIX	cphy	CH+P+Y	NEHMEN · EINSETZEN · POSTEN	4	4	1.000000	f24v|f56r|f76r|f81r|f89r	CALIBRATED_DIRECTIONAL_EDGE
G466-C20	GDT460	G460-E14	SUFFIX	cthy	CH+T+Y	NEHMEN · EINSTELLEN · POSTEN	12	12	1.000000	f10r|f17r|f18r|f1r|f24v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r|f95v	CALIBRATED_DIRECTIONAL_EDGE
G466-C21	GDT460	G460-E15	SUFFIX	oiin	O+IIN	AUSFÜHRUNG · STUFE	6	6	1.000000	f10r|f13r|f1r|f67r2|f81r|f82r|f89r|f95v	CALIBRATED_DIRECTIONAL_EDGE
G466-C22	GDT460	G460-E16	SUFFIX	ain	AIN	ANTEIL	53	53	1.000000	f10r|f11r|f17r|f18r|f1r|f24v|f55v|f67r2|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CALIBRATED_DIRECTIONAL_EDGE
G466-C23	GDT460	G460-E17	SUFFIX	aly	AL+Y	ZIELORT · POSTEN	20	20	1.000000	f1r|f56r|f67r2|f71v|f72r|f76r|f77r|f81r|f82r|f83r|f88r|f88v|f89r|f95v	CALIBRATED_DIRECTIONAL_EDGE
G466-C24	GDT460	G460-E18	SUFFIX	dal	AL	ZIELORT	22	20	0.909091	f13r|f1r|f24v|f71v|f72r|f76r|f81v|f83r|f88v|f89r|f95v	CALIBRATED_DIRECTIONAL_EDGE
G466-C25	GDT464	G464-B03	SUFFIX	eey	EE+Y	GRAD II · POSTEN	46	45	0.978261	18	GRADE_BOUNDARY_SUFFIX_DISTINCT_FROM_EY_AND_EEEY
G466-C26	GDT463	G463-B01	SUFFIX	oin	O+IIN	AUSFÜHRUNG · STUFE	3	3	1.000000	13	EXACT_CARD_EDGE_PLUS_DISTRIBUTED_RECIPE_SEQUENCE
G466-C27	GDT460	G460-E19	SUFFIX	oly	OL+Y	FORTSETZEN · POSTEN	14	13	0.928571	f10r|f13r|f56r|f67r2|f68r1|f72r|f75r|f76r|f77r|f81r|f82r|f89r	CALIBRATED_DIRECTIONAL_EDGE
G466-C28	GDT460	G460-E20	SUFFIX	ory	OR+Y	EINHEIT · POSTEN	5	5	1.000000	f13r|f1r|f76r|f88r	CALIBRATED_DIRECTIONAL_EDGE
G466-C29	GDT460	G460-E21	SUFFIX	shy	Y	POSTEN	15	15	1.000000	f11r|f13r|f17r|f1r|f75r|f76r|f81v|f82r|f88v|f95v	CALIBRATED_DIRECTIONAL_EDGE
G466-C30	GDT460	G460-E22	SUFFIX	ydy	Y+DY	POSTEN · SCHLUSS	4	4	1.000000	f17r|f67r2|f83r|f95v	CALIBRATED_DIRECTIONAL_EDGE
G466-C31	GDT460	G460-E23	SUFFIX	al	AL	ZIELORT	81	78	0.962963	f10r|f11r|f13r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CALIBRATED_DIRECTIONAL_EDGE
G466-C32	GDT460	G460-E24	SUFFIX	am	AM_ADDR	HIER	26	25	0.961538	f17r|f1r|f24v|f55v|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CALIBRATED_DIRECTIONAL_EDGE
G466-C33	GDT460	G460-E25	SUFFIX	ar	AR	AUSGANG	86	84	0.976744	f10r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CALIBRATED_DIRECTIONAL_EDGE
G466-C34	GDT460	G460-E26	SUFFIX	ol	OL	FORTSETZEN	111	102	0.918919	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CALIBRATED_DIRECTIONAL_EDGE
G466-C35	GDT460	G460-E27	SUFFIX	or	OR	EINHEIT	101	94	0.930693	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CALIBRATED_DIRECTIONAL_EDGE
G466-C36	GDT461	G461-I01	INTERNAL	air	AIR	BAHN	8	8	1.000000	f18r|f1r|f81v|f82r|f83r|f88v	CALIBRATED_STRICT_INTERNAL
G466-C37	GDT461	G461-I02	INTERNAL	cth	CH+T	NEHMEN · EINSTELLEN	39	39	1.000000	f10r|f11r|f17r|f18r|f1r|f24v|f67r2|f68r1|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CALIBRATED_STRICT_INTERNAL
G466-C38	GDT461	G461-I03	INTERNAL	dar	D_ADDR+AR	HIER · AUSGANG	6	6	1.000000	f1r|f75r|f76r|f77r	CALIBRATED_STRICT_INTERNAL
G466-C39	GDT461	G461-I04	INTERNAL	al	AL	ZIELORT	81	74	0.913580	f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CALIBRATED_STRICT_INTERNAL
G466-C40	GDT461	G461-I05	INTERNAL	ar	AR	AUSGANG	38	35	0.921053	f18r|f1r|f24v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88v|f89r|f95v	CALIBRATED_STRICT_INTERNAL
G466-C41	GDT461	G461-I06	INTERNAL	ok	OK	SETZEN	114	107	0.938596	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CALIBRATED_STRICT_INTERNAL
G466-C42	GDT461	G461-I07	INTERNAL	ol	OL	FORTSETZEN	107	103	0.962617	f10r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CALIBRATED_STRICT_INTERNAL
G466-C43	GDT461	G461-I08	INTERNAL	ot	OT	DANACH	56	55	0.982143	f10r|f11r|f13r|f17r|f18r|f1r|f56r|f68r1|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v	CALIBRATED_STRICT_INTERNAL
G466-C44	GDT461	G461-I09	INTERNAL	sh	SH	HALTEN	131	125	0.954198	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	CALIBRATED_STRICT_INTERNAL
