family_id	source_experiment	source_rule_id	surface_stem	working_family_value_de	content_class	support_surface_count	support_pages	selection_rule
G466-F01	GDT460	G460-F01	otora	DROGENFAMILIE	DRUG_OR_INGREDIENT_OBJECT	3	f88v|f89r	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET
G466-F02	GDT460	G460-F02	arar	DROGENFAMILIE	DRUG_OR_INGREDIENT_OBJECT	3	f88v|f89r	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET
G466-F03	GDT461	G461-F01	cheo	DROGENFAMILIE	DRUG_OR_INGREDIENT_OBJECT	4	f88v|f89r	COMPLETE_ADDRESS_DECK__3PLUS_UNIQUE_SURFACES__PURE_CLASS__BOTH_CLASS_PAGES__TOUCHES_OLD_WHOLE
G466-F04	GDT460	G460-F03	dara	DROGENFAMILIE	DRUG_OR_INGREDIENT_OBJECT	3	f88v|f89r	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET
G466-F05	GDT460	G460-F10	raiin	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	3	f71v|f72r	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET
G466-F06	GDT460	G460-F11	alar	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	3	f71v|f72r	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET
G466-F07	GDT460	G460-F12	kara	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	3	f71v|f72r	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET
G466-F08	GDT460	G460-F13	okar	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	3	f71v|f72r	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET
G466-F09	GDT460	G460-F14	opal	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	3	f71v|f72r	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET
G466-F10	GDT460	G460-F15	otal	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	3	f71v|f72r	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET
G466-F11	GDT460	G460-F16	otch	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	3	f71v|f72r	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET
G466-F12	GDT460	G460-F06	raii	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	4	f71v|f72r	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET
G466-F13	GDT460	G460-F04	ala	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	9	f71v|f72r	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET
G466-F14	GDT460	G460-F07	kar	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	4	f71v|f72r	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET
G466-F15	GDT460	G460-F08	ota	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	4	f71v|f72r	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET
G466-F16	GDT460	G460-F17	sho	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	3	f71v|f72r	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET
G466-F17	GDT460	G460-F05	tal	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	5	f71v|f72r	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET
G466-F18	GDT460	G460-F09	pa	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	4	f71v|f72r	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET
