probe_id	source_surface	synthetic_unseen_surface	content_class	insertion_index	expected_function_mask	observed_function_mask	expected_known_function_character_count	observed_known_function_character_count	observed_route	exact_known_route_blocked	selected_channel_trace	observed_reading_de	probe_pass
G466-U001	oteeeon	otexeeon	PICTURED_PLANT	3	11000000	11000000	2	2	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	YES	0:2:ot=OT@G466-C11	DANACH · [PFLANZENNAME:exeeon]	YES
G466-U002	oiil	oxiil	PICTURED_PLANT	1	00000	00000	0	0	WHOLE_LEARNED_OWNER_NAME	YES	NONE	[PFLANZENNAME:oxiil]	YES
G466-U003	arom	aroxm	STAR_BEARING_RING_POSITION	3	11000	11000	2	2	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	YES	0:2:ar=AR@G466-C06	AUSGANG · [STERNSTELLENNAME:oxm]	YES
G466-U004	chfaly	cxhfaly	STAR_BEARING_RING_POSITION	1	0000111	0000111	3	3	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	YES	4:7:aly=AL+Y@G466-C23	[STERNSTELLENNAME:cxhf] · ZIELORT · POSTEN	YES
G466-U005	otchody	otcxhody	STAR_BEARING_RING_POSITION	3	11000000	11000000	2	2	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	YES	0:2:ot=OT@G466-C11	DANACH · [STERNSTELLENNAME:cxhody]	YES
G466-U006	opalar	oxpalar	STAR_BEARING_RING_POSITION	1	0001111	0001111	4	4	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	YES	3:5:al=AL@G466-C39|5:7:ar=AR@G466-C33	[STERNSTELLENNAME:oxp] · ZIELORT · AUSGANG	YES
G466-U007	opalor	oxpalor	STAR_BEARING_RING_POSITION	1	0001111	0001111	4	4	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	YES	3:7:alor=AL+OR@G466-C17	[STERNSTELLENNAME:oxp] · ZIELORT · EINHEIT	YES
G466-U008	ofaom	ofaxom	STAR_BEARING_RING_POSITION	3	110000	110000	2	2	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	YES	0:2:of=O+LOCAL_CHAR_F@G466-C07	AUSFÜHRUNG · HIER · [STERNSTELLENNAME:axom]	YES
G466-U009	otalody	otaloxdy	STAR_BEARING_RING_POSITION	5	11110000	11110000	4	4	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	YES	0:4:otal=OT+AL@G466-C01	DANACH · ZIELORT · [STERNSTELLENNAME:oxdy]	YES
G466-U010	sholshdy	sholshdxy	STAR_BEARING_RING_POSITION	7	111111000	111111000	6	6	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	YES	0:2:sh=SH@G466-C12|2:4:ol=OL@G466-C42|4:6:sh=SH@G466-C44	HALTEN · FORTSETZEN · HALTEN · [STERNSTELLENNAME:dxy]	YES
G466-U011	oshodady	oxshodady	STAR_BEARING_RING_POSITION	1	001100000	001100000	2	2	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	YES	2:4:sh=SH@G466-C44	[STERNSTELLENNAME:ox] · HALTEN · [STERNSTELLENNAME:odady]	YES
G466-U012	chdaiirdainy	cxhdaiirdainy	STAR_BEARING_RING_POSITION	1	0000000001111	0000000001111	4	4	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	YES	9:13:ainy=AIN+Y@G466-C16	[STERNSTELLENNAME:cxhdaiird] · ANTEIL · POSTEN	YES
G466-U013	ytalshdy	yxtalshdy	STAR_BEARING_RING_POSITION	1	000111100	000111100	4	4	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	YES	3:5:al=AL@G466-C39|5:7:sh=SH@G466-C44	[STERNSTELLENNAME:yxt] · ZIELORT · HALTEN · [STERNSTELLENNAME:dy]	YES
G466-U014	alif	alixf	STAR_BEARING_RING_POSITION	3	11000	11000	2	2	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	YES	0:2:al=AL@G466-C05	ZIELORT · [STERNSTELLENNAME:ixf]	YES
G466-U015	otalef	otalexf	STAR_BEARING_RING_POSITION	5	1111000	1111000	4	4	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	YES	0:4:otal=OT+AL@G466-C01	DANACH · ZIELORT · [STERNSTELLENNAME:exf]	YES
G466-U016	otchoshy	otcxhoshy	STAR_BEARING_RING_POSITION	3	110000111	110000111	5	5	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	YES	0:2:ot=OT@G466-C11|6:9:shy=Y@G466-C29	DANACH · [STERNSTELLENNAME:cxho] · POSTEN	YES
G466-U017	otchdal	otcxhdal	STAR_BEARING_RING_POSITION	3	11000111	11000111	5	5	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	YES	0:2:ot=OT@G466-C11|5:8:dal=AL@G466-C24	DANACH · [STERNSTELLENNAME:cxh] · ZIELORT	YES
