replay_id	surface	content_class	observed_route	observed_status	observed_known_function_character_count	observed_reading_de	source_reading_de	exact_replay
G466-E001	oteeeon	PICTURED_PLANT	EXACT_KNOWN_LABEL	FUNCTION_SHELL_PLUS_LEARNED_CORE	2	DANACH · [PFLANZENNAME:eeeon]	DANACH · [PFLANZENNAME:eeeon]	YES
G466-E002	oiil	PICTURED_PLANT	EXACT_KNOWN_LABEL	WHOLE_LEARNED_LABEL	0	[PFLANZENNAME:oiil]	[PFLANZENNAME:oiil]	YES
G466-E003	arom	STAR_BEARING_RING_POSITION	EXACT_KNOWN_LABEL	FUNCTION_SHELL_PLUS_LEARNED_CORE	2	AUSGANG · [STERNSTELLENNAME:om]	AUSGANG · [STERNSTELLENNAME:om]	YES
G466-E004	chfaly	STAR_BEARING_RING_POSITION	EXACT_KNOWN_LABEL	FUNCTION_SHELL_PLUS_LEARNED_CORE	3	[STERNSTELLENNAME:chf] · ZIELORT · POSTEN	[STERNSTELLENNAME:chf] · ZIELORT · POSTEN	YES
G466-E005	okolar	STAR_BEARING_RING_POSITION	EXACT_KNOWN_LABEL	FULL_FUNCTION_FORMULA	6	SETZEN · FORTSETZEN · AUSGANG	SETZEN · FORTSETZEN · AUSGANG	YES
G466-E006	otchody	STAR_BEARING_RING_POSITION	EXACT_KNOWN_LABEL	FUNCTION_SHELL_PLUS_LEARNED_CORE	2	DANACH · [STERNSTELLENNAME:chody]	DANACH · [STERNSTELLENNAME:chody]	YES
G466-E007	alcphy	STAR_BEARING_RING_POSITION	EXACT_KNOWN_LABEL	FULL_FUNCTION_FORMULA	6	ZIELORT · NEHMEN · EINSETZEN · POSTEN	ZIELORT · NEHMEN · EINSETZEN · POSTEN	YES
G466-E008	okaraiin	STAR_BEARING_RING_POSITION	EXACT_KNOWN_LABEL	FULL_FUNCTION_FORMULA	8	SETZEN · AUSGANG · WERT	SETZEN · AUSGANG · WERT	YES
G466-E009	opalar	STAR_BEARING_RING_POSITION	EXACT_KNOWN_LABEL	FUNCTION_SHELL_PLUS_LEARNED_CORE	4	[STERNSTELLENNAME:op] · ZIELORT · AUSGANG	[STERNSTELLENNAME:op] · ZIELORT · AUSGANG	YES
G466-E010	opalor	STAR_BEARING_RING_POSITION	EXACT_KNOWN_LABEL	FUNCTION_SHELL_PLUS_LEARNED_CORE	4	[STERNSTELLENNAME:op] · ZIELORT · EINHEIT	[STERNSTELLENNAME:op] · ZIELORT · EINHEIT	YES
