gdt466_label_id	gdt465_label_id	gdt464_label_id	gdt463_label_id	source_event_id	physical_page	register	locus	owner_de	surface	content_class	gdt463_hybrid_status	gdt464_hybrid_status	surface_segmentation	prefix_stem	prefix_recipe	internal_stem_trace	suffix_stem	suffix_recipe	owner_family_stem_trace	known_function_character_count	remaining_learned_character_count	surface_character_count	known_function_fraction	ordered_function_recipe_trace	revised_short_default_de	gdt464_change	strongest_rival	image_object_id	review_image_sha256	gdt465_hybrid_status	gdt465_change	gdt465_decision_evidence	gdt466_hybrid_status	gdt466_change	gdt466_decision_evidence
G466-L001	G465-L001	G464-L001	G463-L001	P1003-E0079	f17r	HERBAL	f17r.13	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	oteeeon	PICTURED_PLANT	FUNCTION_SHELL_PLUS_LEARNED_CORE	FUNCTION_SHELL_PLUS_LEARNED_CORE	UNCHANGED_FROM_GDT462	ot	OT	NONE	NONE	NONE	NONE	2	5	7	0.285714	OT	DANACH · [PFLANZENNAME:eeeon]	UNCHANGED	RENDERER_EDGE_WITHOUT_SEMANTIC_CONTRIBUTION	1006106	eccb822a72a8c27045aefa4f19d558dba29ef046c1d8e3772c715a99ee7113b9	FUNCTION_SHELL_PLUS_LEARNED_CORE	UNCHANGED_FROM_GDT464	NOT_IN_SCOPE	FUNCTION_SHELL_PLUS_LEARNED_CORE	UNCHANGED_FROM_GDT465	NOT_IN_PROPAGATION_GAP
G466-L002	G465-L002	G464-L002	G463-L002	P1003-E0080	f17r	HERBAL	f17r.13	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	oiil	PICTURED_PLANT	WHOLE_LEARNED_LABEL	WHOLE_LEARNED_LABEL	UNCHANGED_FROM_GDT462	NONE	NONE	NONE	NONE	NONE	NONE	0	4	4	0.000000	NONE	[PFLANZENNAME:oiil]	UNCHANGED	UNANALYZED_WHOLE_NOMENCLATOR_ENTRY	1006106	eccb822a72a8c27045aefa4f19d558dba29ef046c1d8e3772c715a99ee7113b9	WHOLE_LEARNED_LABEL	OIIL_AUDITED_AND_RETAINED_WHOLE	CROSS_READING_EXACT_PRESENT_PAIR__ZERO_COMPLETE_PACKAGE	WHOLE_LEARNED_LABEL	UNCHANGED_FROM_GDT465	NOT_IN_PROPAGATION_GAP
G466-L003	G465-L003	G464-L003	G463-L003	P1003-E0596	f71v	CELESTIAL	f71v.2	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	arom	STAR_BEARING_RING_POSITION	FUNCTION_SHELL_PLUS_LEARNED_CORE	FUNCTION_SHELL_PLUS_LEARNED_CORE	UNCHANGED_FROM_GDT462	ar	AR	NONE	NONE	NONE	NONE	2	2	4	0.500000	AR	AUSGANG · [STERNSTELLENNAME:om]	UNCHANGED	ARARY_PACKAGE_DOES_NOT_LICENSE_FREE_PREFIX	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93	FUNCTION_SHELL_PLUS_LEARNED_CORE	UNCHANGED_FROM_GDT464	NOT_IN_SCOPE	FUNCTION_SHELL_PLUS_LEARNED_CORE	UNCHANGED_FROM_GDT465	NOT_IN_PROPAGATION_GAP
G466-L004	G465-L004	G464-L004	G463-L004	P1003-E0597	f71v	CELESTIAL	f71v.3	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	chfaly	STAR_BEARING_RING_POSITION	FUNCTION_SHELL_PLUS_LEARNED_CORE	FUNCTION_SHELL_PLUS_LEARNED_CORE	UNCHANGED_FROM_GDT462	NONE	NONE	NONE	aly	AL+Y	NONE	3	3	6	0.500000	AL+Y	[STERNSTELLENNAME:chf] · ZIELORT · POSTEN	UNCHANGED	RENDERER_EDGE_WITHOUT_SEMANTIC_CONTRIBUTION	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93	FUNCTION_SHELL_PLUS_LEARNED_CORE	UNCHANGED_FROM_GDT464	NOT_IN_SCOPE	FUNCTION_SHELL_PLUS_LEARNED_CORE	UNCHANGED_FROM_GDT465	NOT_IN_PROPAGATION_GAP
G466-L005	G465-L005	G464-L005	G463-L005	P1003-E0598	f71v	CELESTIAL	f71v.4	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	okolar	STAR_BEARING_RING_POSITION	FULL_FUNCTION_FORMULA	FULL_FUNCTION_FORMULA	UNCHANGED_FROM_GDT462	ok	OK	2:ol=OL	ar	AR	NONE	6	0	6	1.000000	OK+OL+AR	SETZEN · FORTSETZEN · AUSGANG	UNCHANGED	INTERNAL_RENDERER_COINCIDENCE	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93	FULL_FUNCTION_FORMULA	UNCHANGED_FROM_GDT464	NOT_IN_SCOPE	FULL_FUNCTION_FORMULA	UNCHANGED_FROM_GDT465	NOT_IN_PROPAGATION_GAP
G466-L006	G465-L006	G464-L006	G463-L006	P1003-E0599	f71v	CELESTIAL	f71v.5	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	otchody	STAR_BEARING_RING_POSITION	FUNCTION_SHELL_PLUS_LEARNED_CORE	FUNCTION_SHELL_PLUS_LEARNED_CORE	UNCHANGED_FROM_GDT462	ot	OT	NONE	NONE	NONE	otch=STERNSTELLENFAMILIE	2	5	7	0.285714	OT	DANACH · [STERNSTELLENNAME:chody]	UNCHANGED	RENDERER_EDGE_WITHOUT_SEMANTIC_CONTRIBUTION	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93	FUNCTION_SHELL_PLUS_LEARNED_CORE	UNCHANGED_FROM_GDT464	NOT_IN_SCOPE	FUNCTION_SHELL_PLUS_LEARNED_CORE	UNCHANGED_FROM_GDT465	NOT_IN_PROPAGATION_GAP
G466-L007	G465-L007	G464-L007	G463-L007	P1003-E0600	f71v	CELESTIAL	f71v.6	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	alcphy	STAR_BEARING_RING_POSITION	FULL_FUNCTION_FORMULA	FULL_FUNCTION_FORMULA	UNCHANGED_FROM_GDT462	al	AL	NONE	cphy	CH+P+Y	NONE	6	0	6	1.000000	AL+CH+P+Y	ZIELORT · NEHMEN · EINSETZEN · POSTEN	UNCHANGED	RENDERER_EDGE_WITHOUT_SEMANTIC_CONTRIBUTION	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93	FULL_FUNCTION_FORMULA	UNCHANGED_FROM_GDT464	NOT_IN_SCOPE	FULL_FUNCTION_FORMULA	UNCHANGED_FROM_GDT465	NOT_IN_PROPAGATION_GAP
G466-L008	G465-L008	G464-L008	G463-L008	P1003-E0602	f71v	CELESTIAL	f71v.8	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	okaraiin	STAR_BEARING_RING_POSITION	FULL_FUNCTION_FORMULA	FULL_FUNCTION_FORMULA	UNCHANGED_FROM_GDT462	ok	OK	2:ar=AR	aiin	AIIN	raii=STERNSTELLENFAMILIE|kar=STERNSTELLENFAMILIE|raiin=STERNSTELLENFAMILIE|kara=STERNSTELLENFAMILIE|okar=STERNSTELLENFAMILIE	8	0	8	1.000000	OK+AR+AIIN	SETZEN · AUSGANG · WERT	UNCHANGED	INTERNAL_RENDERER_COINCIDENCE	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93	FULL_FUNCTION_FORMULA	UNCHANGED_FROM_GDT464	NOT_IN_SCOPE	FULL_FUNCTION_FORMULA	UNCHANGED_FROM_GDT465	NOT_IN_PROPAGATION_GAP
G466-L009	G465-L009	G464-L009	G463-L009	P1003-E0606	f71v	CELESTIAL	f71v.10	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	opalar	STAR_BEARING_RING_POSITION	FUNCTION_SHELL_PLUS_LEARNED_CORE	FUNCTION_SHELL_PLUS_LEARNED_CORE	UNCHANGED_FROM_GDT462	NONE	NONE	2:al=AL	ar	AR	ala=STERNSTELLENFAMILIE|pa=STERNSTELLENFAMILIE|alar=STERNSTELLENFAMILIE|opal=STERNSTELLENFAMILIE	4	2	6	0.666667	AL+AR	[STERNSTELLENNAME:op] · ZIELORT · AUSGANG	UNCHANGED	INTERNAL_RENDERER_COINCIDENCE	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93	FUNCTION_SHELL_PLUS_LEARNED_CORE	UNCHANGED_FROM_GDT464	NOT_IN_SCOPE	FUNCTION_SHELL_PLUS_LEARNED_CORE	UNCHANGED_FROM_GDT465	NOT_IN_PROPAGATION_GAP
G466-L010	G465-L010	G464-L010	G463-L010	P1003-E0609	f71v	CELESTIAL	f71v.11	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	opalor	STAR_BEARING_RING_POSITION	FUNCTION_SHELL_PLUS_LEARNED_CORE	FUNCTION_SHELL_PLUS_LEARNED_CORE	UNCHANGED_FROM_GDT462	NONE	NONE	NONE	alor	AL+OR	pa=STERNSTELLENFAMILIE|opal=STERNSTELLENFAMILIE	4	2	6	0.666667	AL+OR	[STERNSTELLENNAME:op] · ZIELORT · EINHEIT	UNCHANGED	RENDERER_EDGE_WITHOUT_SEMANTIC_CONTRIBUTION	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93	FUNCTION_SHELL_PLUS_LEARNED_CORE	UNCHANGED_FROM_GDT464	NOT_IN_SCOPE	FUNCTION_SHELL_PLUS_LEARNED_CORE	UNCHANGED_FROM_GDT465	NOT_IN_PROPAGATION_GAP
