group_serial	opaque_local_id	page	locus	visible_owner	visible_surface	revised_atom_sequence	revised_short_reading_de
54	A1:G054	f67r2	f67r2.21	A1_LEFT_LOCAL_FIELD_21	am	AM	ASPEKT
69	A1:G069	f67r2	f67r2.27	A1_LEFT_LOCAL_FIELD_27	am	AM	ASPEKT
71	A1:G071	f67r2	f67r2.28	A1_LEFT_LOCAL_FIELD_28	am	AM	ASPEKT
50	A1:G050	f67r2	f67r2.19	A1_LEFT_LOCAL_FIELD_19	amy	AM+Y	aktueller Aspekt
3	A1:G003	f67r2	f67r2.1	A1_RIGHT_SECTOR_SLOT_01	aram	AR+AM	Quellaspekt
216	A2:G026	f68r1	f68r1.3	A2_RIGHT_PANEL_HEADER	daram	AR+AM	Quellaspekt
306	A3:G051	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	oaram	AR+AM	Quellaspekt
62	A1:G062	f67r2	f67r2.25	A1_LEFT_LOCAL_FIELD_25	ydam	AM+Y	aktueller festgehaltener Aspekt
139	A1:G139	f67r2	f67r2.58	A1_LEFT_OUTER_STAR_STATION_07	g	G	GRAD
87	A1:G087	f67r2	f67r2.35	A1_LEFT_LOCAL_FIELD_35	giin	G+IIN	Gradstufe
100	A1:G100	f67r2	f67r2.40	A1_LEFT_LOCAL_FIELD_40	og	G	Grundgrad
109	A1:G109	f67r2	f67r2.43	A1_LEFT_LOCAL_FIELD_43	qsg	G	Nebengrad
108	A1:G108	f67r2	f67r2.43	A1_LEFT_LOCAL_FIELD_43	os	OS	FELD/RAHMEN
122	A1:G122	f67r2	f67r2.49	A1_LEFT_LOCAL_FIELD_49	os	OS	FELD/RAHMEN
153	A1:G153	f67r2	f67r2.70	A1_RIGHT_PHASE_STATION_07	osar	OS+AR	Feldquelle
248	A2:G058	f68r1	f68r1.34	A2_STAR_STATION_26	osdaiin	OS+AIIN	Feld-Sollwert
103	A1:G103	f67r2	f67r2.42	A1_LEFT_LOCAL_FIELD_42	sosho	OS+HO	Feldeingang
181	A1:G181	f67r2	f67r2.74	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	oeeos	EE+OS	langes oder zweites Feld
265	A3:G010	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	okeeos	OK+EE+OS	zweites Feld aktivieren
11	A1:G011	f67r2	f67r2.4	A1_RIGHT_SECTOR_SLOT_04	sykos	YK+OS	Klassenfeld
