visible_surface	occurrences	pages	owners	revised_atom_sequence	revised_short_reading_de	decision
am	3	f67r2	A1_LEFT_LOCAL_FIELD_21|A1_LEFT_LOCAL_FIELD_27|A1_LEFT_LOCAL_FIELD_28	AM	ASPEKT	PROMOTE_ASTRO_LOCAL_CONTENT_ROOT
amy	1	f67r2	A1_LEFT_LOCAL_FIELD_19	AM+Y	aktueller Aspekt	PROMOTE_ASTRO_LOCAL_CONTENT_ROOT
aram	1	f67r2	A1_RIGHT_SECTOR_SLOT_01	AR+AM	Quellaspekt	PROMOTE_ASTRO_LOCAL_CONTENT_ROOT
daram	1	f68r1	A2_RIGHT_PANEL_HEADER	AR+AM	Quellaspekt	PROMOTE_ASTRO_LOCAL_CONTENT_ROOT
oaram	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	AR+AM	Quellaspekt	PROMOTE_ASTRO_LOCAL_CONTENT_ROOT
ydam	1	f67r2	A1_LEFT_LOCAL_FIELD_25	AM+Y	aktueller festgehaltener Aspekt	PROMOTE_ASTRO_LOCAL_CONTENT_ROOT
g	1	f67r2	A1_LEFT_OUTER_STAR_STATION_07	G	GRAD	PROMOTE_ASTRO_LOCAL_CONTENT_ROOT
giin	1	f67r2	A1_LEFT_LOCAL_FIELD_35	G+IIN	Gradstufe	PROMOTE_ASTRO_LOCAL_CONTENT_ROOT
og	1	f67r2	A1_LEFT_LOCAL_FIELD_40	G	Grundgrad	PROMOTE_ASTRO_LOCAL_CONTENT_ROOT
qsg	1	f67r2	A1_LEFT_LOCAL_FIELD_43	G	Nebengrad	PROMOTE_ASTRO_LOCAL_CONTENT_ROOT
os	2	f67r2	A1_LEFT_LOCAL_FIELD_43|A1_LEFT_LOCAL_FIELD_49	OS	FELD/RAHMEN	PROMOTE_ASTRO_LOCAL_CONTENT_ROOT
osar	1	f67r2	A1_RIGHT_PHASE_STATION_07	OS+AR	Feldquelle	PROMOTE_ASTRO_LOCAL_CONTENT_ROOT
osdaiin	1	f68r1	A2_STAR_STATION_26	OS+AIIN	Feld-Sollwert	PROMOTE_ASTRO_LOCAL_CONTENT_ROOT
sosho	1	f67r2	A1_LEFT_LOCAL_FIELD_42	OS+HO	Feldeingang	PROMOTE_ASTRO_LOCAL_CONTENT_ROOT
oeeos	1	f67r2	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	EE+OS	langes oder zweites Feld	PROMOTE_ASTRO_LOCAL_CONTENT_ROOT
okeeos	1	f69v	A3_LEFT_WHEEL_RING_TEXT	OK+EE+OS	zweites Feld aktivieren	PROMOTE_ASTRO_LOCAL_CONTENT_ROOT
sykos	1	f67r2	A1_RIGHT_SECTOR_SLOT_04	YK+OS	Klassenfeld	PROMOTE_ASTRO_LOCAL_CONTENT_ROOT
