group_serial	unit_id	page	locus	event_index	opaque_local_id	local_owner	local_namespace	default_local_meaning_de	copy_instruction_de	instrument_reading_de	orientation	crosspage_key
1	A1	f67r2	f67r2.1	1	A1:G001	A1_RIGHT_SECTOR_SLOT_01	A1_RIGHT_WHEEL_ONLY	örtliches Himmels-, Kalender- oder Wahlzeichen	Kopiere Gruppe 1 am Besitzer A1_RIGHT_SECTOR_SLOT_01.	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	NONE	NONE
2	A1	f67r2	f67r2.1	2	A1:G002	A1_RIGHT_SECTOR_SLOT_01	A1_RIGHT_WHEEL_ONLY	örtliches Himmels-, Kalender- oder Wahlzeichen	Kopiere Gruppe 2 am Besitzer A1_RIGHT_SECTOR_SLOT_01.	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	NONE	NONE
3	A1	f67r2	f67r2.1	3	A1:G003	A1_RIGHT_SECTOR_SLOT_01	A1_RIGHT_WHEEL_ONLY	örtliches Himmels-, Kalender- oder Wahlzeichen	Kopiere Gruppe 3 am Besitzer A1_RIGHT_SECTOR_SLOT_01.	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	NONE	NONE
4	A1	f67r2	f67r2.2	1	A1:G004	A1_RIGHT_SECTOR_SLOT_02	A1_RIGHT_WHEEL_ONLY	örtliches Himmels-, Kalender- oder Wahlzeichen	Kopiere Gruppe 1 am Besitzer A1_RIGHT_SECTOR_SLOT_02.	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	NONE	NONE
5	A1	f67r2	f67r2.2	2	A1:G005	A1_RIGHT_SECTOR_SLOT_02	A1_RIGHT_WHEEL_ONLY	örtliches Himmels-, Kalender- oder Wahlzeichen	Kopiere Gruppe 2 am Besitzer A1_RIGHT_SECTOR_SLOT_02.	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	NONE	NONE
6	A1	f67r2	f67r2.2	3	A1:G006	A1_RIGHT_SECTOR_SLOT_02	A1_RIGHT_WHEEL_ONLY	örtliches Himmels-, Kalender- oder Wahlzeichen	Kopiere Gruppe 3 am Besitzer A1_RIGHT_SECTOR_SLOT_02.	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	NONE	NONE
7	A1	f67r2	f67r2.3	1	A1:G007	A1_RIGHT_SECTOR_SLOT_03	A1_RIGHT_WHEEL_ONLY	örtliches Himmels-, Kalender- oder Wahlzeichen	Kopiere Gruppe 1 am Besitzer A1_RIGHT_SECTOR_SLOT_03.	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	NONE	NONE
8	A1	f67r2	f67r2.3	2	A1:G008	A1_RIGHT_SECTOR_SLOT_03	A1_RIGHT_WHEEL_ONLY	örtliches Himmels-, Kalender- oder Wahlzeichen	Kopiere Gruppe 2 am Besitzer A1_RIGHT_SECTOR_SLOT_03.	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	NONE	NONE
9	A1	f67r2	f67r2.3	3	A1:G009	A1_RIGHT_SECTOR_SLOT_03	A1_RIGHT_WHEEL_ONLY	örtliches Himmels-, Kalender- oder Wahlzeichen	Kopiere Gruppe 3 am Besitzer A1_RIGHT_SECTOR_SLOT_03.	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	NONE	NONE
10	A1	f67r2	f67r2.4	1	A1:G010	A1_RIGHT_SECTOR_SLOT_04	A1_RIGHT_WHEEL_ONLY	örtliches Himmels-, Kalender- oder Wahlzeichen	Kopiere Gruppe 1 am Besitzer A1_RIGHT_SECTOR_SLOT_04.	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	NONE	NONE
11	A1	f67r2	f67r2.4	2	A1:G011	A1_RIGHT_SECTOR_SLOT_04	A1_RIGHT_WHEEL_ONLY	örtliches Himmels-, Kalender- oder Wahlzeichen	Kopiere Gruppe 2 am Besitzer A1_RIGHT_SECTOR_SLOT_04.	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	NONE	NONE
