event_serial	statement_id	record_unit_id	page	local_address	visible_surface	master_card_id	semantic_atoms	stable_surface_host	renderer_gesture	short_default_de	card_near_reading_de	statement_translation_de	line_crossing_statement
1	H1-S001	H1	f10r	H1-S001	dchey	MC071	DCHE+Y	dchey	ZERO	Wurzel als aktueller Posten	Setze die gelernte Fachkarte: Wurzel als aktueller Posten.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	NO
2	H1-S001	H1	f10r	H1-S001	cthoor	MC158	CTH+OR	cthoor	ZERO	Ansatz bereit	Führe es aus dem Vorrat oder am Ansatz aus: Ansatz bereit.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	NO
3	H1-S001	H1	f10r	H1-S001	char	MC055	AR	ar	CH_ENTRY	aus dem Ansatz	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	NO
4	H1-S001	H1	f10r	H1-S001	chty	MC086	PARTITION+TY	ty	CH_ENTRY	Teil abtrennen	Führe es in der angegebenen Portion oder Stufe aus: Teil abtrennen.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	NO
5	H1-S001	H1	f10r	H1-S001	os	MC159	OS	os	ZERO	Mischgefäß	Setze die gelernte Fachkarte: Mischgefäß.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	NO
6	H1-S001	H1	f10r	H1-S001	chair	MC014	AIR	chair	ZERO	Wasserzulauf	Nenne Quelle, Lauf, Auszug oder Ansatz: Wasserzulauf.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	NO
7	H1-S001	H1	f10r	H1-S001	otytchol	MC069	OT+TY+OL	otytchol	ZERO	naechsten Teilposten weiterfuehren	Danach oder in demselben Gang: naechsten Teilposten weiterfuehren.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	NO
8	H1-S001	H1	f10r	H1-S001	oky	MC026	OK+Y	oky	ZERO	aktuellen Posten ansetzen	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	NO
9	H1-S001	H1	f10r	H1-S001	daiin	MC039	AIIN	aiin	D_ENTRY	Sollmaß	Setze Maß, Portion oder Stufe: Sollmaß.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	NO
10	H1-S001	H1	f10r	H1-S001	etyd	MC108	E+TY	etyd	ZERO	kleiner Restteil	Setze Maß, Portion oder Stufe: kleiner Restteil.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	NO
11	H1-S002	H1	f10r	H1-S002	qokchy	MC103	OK+Y	okchy	Q_ENTRY	Posten zur Weiterbearbeitung ansetzen	Führe es mit diesem laufenden Posten aus: Posten zur Weiterbearbeitung ansetzen.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	NO
12	H1-S002	H1	f10r	H1-S002	qotchol	MC163	OT+OL	qotchol	ZERO	danach weiterfuehren	Danach oder in demselben Gang: danach weiterfuehren.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	NO
13	H1-S002	H1	f10r	H1-S002	chol	MC153	OL	ol	CH_ENTRY	fortsetzen	Danach oder in demselben Gang: fortsetzen.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	NO
14	H1-S002	H1	f10r	H1-S002	cthy	MC161	CTH+Y	cthy	ZERO	bereit	Führe es mit diesem laufenden Posten aus: bereit.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	NO
15	H2-S001	H2	f10r	H2-S001	ycheor	MC075	Y+CHEO+OR	ycheor	ZERO	Auszugsansatz	Nenne Quelle, Lauf, Auszug oder Ansatz: Auszugsansatz.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	NO
16	H2-S001	H2	f10r	H2-S001	cthy	MC161	CTH+Y	cthy	ZERO	bereit	Führe es mit diesem laufenden Posten aus: bereit.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	NO
17	H2-S001	H2	f10r	H2-S001	chor	MC080	OR	or	CH_ENTRY	Ansatz	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	NO
18	H2-S001	H2	f10r	H2-S001	cthaiin	MC169	CTH+AIIN	cthaiin	ZERO	Fertigmaß	Führe es in der angegebenen Portion oder Stufe aus: Fertigmaß.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	NO
19	H2-S001	H2	f10r	H2-S001	qoctholy	MC115	CTH+OL+Y	qoctholy	ZERO	bereiten Posten weiterfuehren	Danach oder in demselben Gang: bereiten Posten weiterfuehren.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	NO
20	H2-S001	H2	f10r	H2-S001	dy	MC123	Y	y	D_ENTRY	dieser Posten	Nimm diesen Posten wieder auf: dieser Posten.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	NO
