question_id	remaining_question	current_working_default
Q01	Which exact plant species owns H1-H5?	Keep the pictured plant as owner; do not force species names.
Q02	Which extraction liquids are water, wine, oil or another carrier?	Use extraction liquid or carrier unless the picture/context supplies more.
Q03	Which complaints or body parts motivate the applications?	Use local body/work site; no disease name is yet tied to a card.
Q04	Does each q/sh/s entry correlate with an actual manuscript hand?	The renderer is executable but historical hand assignment remains open.
Q05	Why does the Y card need six whole allographs?	Learn the set chey/chy/dy/shy/sy/y until a better internal rule appears.
Q06	Do the 23 forward paradigm gaps occur elsewhere?	Retain their short predicted meanings; do not search outside the fixed pages yet.
Q07	Are B1-B4 therapeutic baths or practical washing scenes?	Keep treatment as lead and washing/service as live local rival.
Q08	What are B5 and B6 for?	Read them as figureless service stations, not body treatment.
Q09	What do individual A1 signs name?	Treat each as a local wheel key for celestial/calendar/election content.
Q10	What is the order of the 28 A2 and A3-left places?	No order is visible; preserve local address only.
Q11	Are the A3 middle/right labels weather, light, time or properties?	Keep those short local class defaults and do not merge the wheels.
Q12	Is the whole book medical?	Practitioner compendium is the lead; illustrated natural-artificial modelbook remains the strongest rival.
