statement_order	statement_id	record_unit_id	page	physical_loci	line_crossing	event_count	visible_surface_sequence	master_card_sequence	semantic_atom_program	card_near_workshop_reading_de	concrete_source_expansion_de	record_program_de	sentence_boundary_rule
1	H1-S001	H1	f10r	f10r.2	NO	10	dchey cthoor char chty os chair otytchol oky daiin etyd	MC071 MC158 MC055 MC086 MC159 MC014 MC069 MC026 MC039 MC108	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	Nimm die Wurzel, bereite den Ansatz, trenne daraus einen Teil ab, gib ihn in das Gefäß, gib den Wasserzulauf zu, führe den nächsten Teilposten weiter, setze ihn nach Sollmaß an und behalte einen kleinen Restteil.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als dosiertes Mittel verwenden; den Restteil verwahren.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
2	H1-S002	H1	f10r	f10r.5	NO	4	qokchy qotchol chol cthy	MC103 MC163 MC153 MC161	OK+Y | OT+OL | OL | CTH+Y	Setze den Posten an, führe ihn danach weiter und halte ihn bereit.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als dosiertes Mittel verwenden; den Restteil verwahren.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
3	H2-S001	H2	f10r	f10r.6	NO	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	MC075 MC161 MC080 MC169 MC115 MC123 MC123 MC039 MC123	Y+CHEO+OR | CTH+Y | OR | CTH+AIIN | CTH+OL+Y | Y | Y | AIIN | Y	Nimm den bereiten Auszugsansatz, bringe den Ansatz auf Fertigmaß, führe den bereiten Posten weiter und stelle sein Sollmaß ein.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
4	H2-S002	H2	f10r	f10r.8	NO	8	qotchor chor otol chol cholor chol daiin dar	MC013 MC080 MC053 MC153 MC157 MC153 MC039 MC055	OT+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	Führe den bemessenen Pflanzenansatz als Folgeansatz samt seinem Fortsetzungsposten weiter und nimm daraus das Sollmaß	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
5	H2-S003	H2	f10r	f10r.9	NO	7	oykchor shor chor chy kaiiin dy chodaiin	MC027 MC080 MC080 MC123 MC048 MC123 MC087	Y+KCH+OR | OR | OR | Y | IIN | Y | HO+AIIN	Gib den weitergeführten Folgeansatz in das Gefäß, bearbeite diesen Posten bis zur Weichstufe und stelle das Zutatenmaß ein.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
6	H3-S001	H3	f11r	f11r.1	NO	7	tshol schoal cfhy shfydaiin cphy shey tchody	MC098 MC049 MC129 MC111 MC156 MC119 MC037	HO+L | HO+AL | CFH+Y | SH+AIIN | CPH+Y | CHEEY | HO+CLOSE	Entnimm eine Zutat, gib sie dorthin, wringe aus, lass bis zum Standmaß stehen, seih nach, nimm den Klarlauf und stelle ihn kalt.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
7	H3-S002	H3	f11r	f11r.1	NO	1	shoyty	MC062	HO+Y+TY	Lege einen Zutatenteil zurück.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
8	H3-S003	H3	f11r	f11r.4	NO	5	dchol chy kchy dy daiin	MC142 MC123 MC117 MC123 MC039	DCHOL | Y | KCH+Y | Y | AIIN	Nimm den Vorposten, bearbeite diesen Posten und stelle sein Sollmaß ein.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
9	H3-S004	H3	f11r	f11r.7	NO	4	qotchy okchol cthy dy	MC107 MC041 MC161 MC123	OT+Y | OK+OL | CTH+Y | Y	Nimm die restliche Blütenreserve als Folgeposten, setze die Fortsetzung an und halte sie bereit	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
10	H4-S001	H4	f55v	f55v.5	NO	5	qokaiin chaiin ykain ykan ody	MC120 MC039 MC047 MC148 MC100	OK+AIIN | AIIN | Y+AIN | Y+AIN | ODY	Stelle das Sollmaß ein, nimm eine Postenportion und kühle diesen Anteil ab	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.	Blatt in Auszugsflüssigkeit im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Bindestoff binden und als gebundene Anwendung verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
11	H4-S002	H4	f55v	f55v.5	NO	3	daiin chedy talam	MC039 MC074 MC160	AIIN | CHD+Y | AL+AM	Setze den Posten nach Sollmaß um und verwahre ihn am Ziel.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.	Blatt in Auszugsflüssigkeit im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Bindestoff binden und als gebundene Anwendung verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
12	H4-S003	H4	f55v	f55v.11	NO	4	ykaiin cheoar cheeky oldy	MC170 MC085 MC032 MC019	Y+AIIN | CHEO+AR | CHK+EE+Y | OL+CLOSE	Nimm den Auszug aus dem verwahrten Ansatz nach Postenmaß, wärme ihn länger und schließe die Fortsetzung	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.	Blatt in Auszugsflüssigkeit im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Bindestoff binden und als gebundene Anwendung verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
13	H4-S004	H4	f55v	f55v.11	NO	6	aiin okal oltchy or y orain	MC039 MC040 MC021 MC080 MC123 MC072	AIIN | OK+AL | OL+CTH+Y | OR | Y | OR+AIN	Stelle das Sollmaß ein, setze dort an, führe den bereiten Ansatz weiter und nimm davon eine Portion.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	Blatt in Auszugsflüssigkeit im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Bindestoff binden und als gebundene Anwendung verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
14	H5-S001	H5	f56r	f56r.5|f56r.7	YES__CONTINUE_ACROSS_PHYSICAL_LINE	9	chochor cho chodaly daiin sho kchol otchor choky dal	MC125 MC034 MC010 MC039 MC034 MC090 MC013 MC026 MC154	HO+OR | HO | HO+AL+Y | AIIN | HO | KCH+OL | OT+OR | OK+Y | AL	Bereite einen Zutatenansatz, gib die Zutat dorthin nach Sollmaß, bearbeite die nächste Zutat weiter, beginne den Folgeansatz und setze den Posten dort an.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.	Frisches Kraut mit Wasser als kurze Waschung oder gebundene Anwendung ansetzen. Den übrigen Pflanzenstoff in Auszugsflüssigkeit ausziehen, durch Tuch trennen, mit Bindestoff binden und eine örtliche Portion als dosiertes Mittel verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
15	H5-S002	H5	f56r	f56r.8	NO	4	schol choy choky cheeckhody	MC142 MC131 MC026 MC099	DCHOL | HO+Y | OK+Y | EE+CKH+HO+CLOSE	Nimm vom Vorposten diese Zutat, setze sie an und trage sie auf.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.	Frisches Kraut mit Wasser als kurze Waschung oder gebundene Anwendung ansetzen. Den übrigen Pflanzenstoff in Auszugsflüssigkeit ausziehen, durch Tuch trennen, mit Bindestoff binden und eine örtliche Portion als dosiertes Mittel verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
16	H5-S003	H5	f56r	f56r.12	NO	4	sh cho kchey qokokchy	MC114 MC034 MC122 MC015	SH | HO | KCH+E+Y | OK+OK+Y	Nimm den Stängel als Zutat, bearbeite diesen Posten kurz und setze ihn erneut an.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.	Frisches Kraut mit Wasser als kurze Waschung oder gebundene Anwendung ansetzen. Den übrigen Pflanzenstoff in Auszugsflüssigkeit ausziehen, durch Tuch trennen, mit Bindestoff binden und eine örtliche Portion als dosiertes Mittel verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
17	H5-S004	H5	f56r	f56r.13	NO	3	okchy chokcheo kchal	MC103 MC006 MC077	OK+Y | OK+CHEO | KCH+AL	Setze den Posten an, gib den Auszug zu und bearbeite ihn an der Zielstelle.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.	Frisches Kraut mit Wasser als kurze Waschung oder gebundene Anwendung ansetzen. Den übrigen Pflanzenstoff in Auszugsflüssigkeit ausziehen, durch Tuch trennen, mit Bindestoff binden und eine örtliche Portion als dosiertes Mittel verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
18	H5-S005	H5	f56r	f56r.18	NO	4	sho chokchy kchoar sotodan	MC034 MC103 MC136 MC068	HO | OK+Y | CHEO+AR | OT+DAN	Setze den Ansatz als Zutat an, nimm den Auszug daraus und wende ihn danach an.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.	Frisches Kraut mit Wasser als kurze Waschung oder gebundene Anwendung ansetzen. Den übrigen Pflanzenstoff in Auszugsflüssigkeit ausziehen, durch Tuch trennen, mit Bindestoff binden und eine örtliche Portion als dosiertes Mittel verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
19	H5-S006	H5	f56r	f56r.19	NO	3	otchey keol daiin	MC171 MC104 MC039	OT+Y | E+OL | AIIN	Nimm den Folgeposten, führe ihn kurz weiter und stelle das Sollmaß ein.	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.	Frisches Kraut mit Wasser als kurze Waschung oder gebundene Anwendung ansetzen. Den übrigen Pflanzenstoff in Auszugsflüssigkeit ausziehen, durch Tuch trennen, mit Bindestoff binden und eine örtliche Portion als dosiertes Mittel verwenden.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
20	B1-S001	B1	f81v	f81v.2	NO	1	qokedy	MC083	OK+E+CLOSE	Setze kurz an und schließe	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
21	B1-S002	B1	f81v	f81v.2|f81v.7	YES__CONTINUE_ACROSS_PHYSICAL_LINE	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	MC120 MC023 MC040 MC055 MC153 MC105 MC097 MC154 MC153 MC016 MC012 MC157 MC153 MC058 MC039 MC096 MC039 MC035 MC025	OK+AIIN | AIR | OK+AL | AR | OL | AIN | OL+AIN | AL | OL | OL | LOCAL_WHOLE | OL+OR | OL | CKH+E+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+CLOSE	Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	STATEMENT_BOUNDARY__NEVER_INFERRED_FROM_LINE_END
