dictionary_order	master_card_id	master_form	registered_surface_family	stable_surface_host	entry_gestures	renderer_family_class	semantic_atoms	short_default_de	imperative_de	prose_events	leading_head	productivity_tier	composition_policy
1	MC001	chdal	chdal	chdal	ZERO	SINGLE_REGISTERED_FORM	CHD+AL	dort umsetzen	Übertrage zum Ziel	1	CHD	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
2	MC002	okeey	okeey|qokeey	okeey	ZERO|Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+EE+Y	länger ansetzen	Setze die lange Stufe	7	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
3	MC003	sheedy	sheedy	sheedy	ZERO	SINGLE_REGISTERED_FORM	SHED+EE+CLOSE	länger absetzen; Schluss	Lass länger absetzen und schließe	1	SHED	NARROW_RECURRENT_PATTERN	LEARN_MINI_PARADIGM
4	MC004	ldy	ldy	ldy	ZERO	SINGLE_REGISTERED_FORM	L+CLOSE	abziehen; Ende	Führe ab und schließe	2	L	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
5	MC005	okchedy	okchedy|qokchedy	okchedy	ZERO|Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+CHD+CLOSE	angesetzten Inhalt überführen; Schluss	Setze an, übertrage und schließe	2	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
6	MC006	chokcheo	chokcheo	chokcheo	ZERO	SINGLE_REGISTERED_FORM	OK+CHEO	Auszug zugeben	Setze den Auszug	1	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
7	MC007	okey	okey|qokey	okey	ZERO|Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+E+Y	kurz ansetzen	Setze die kurze Stufe	2	OK	BROAD_PRODUCTIVE_PARADIGM	COMPOSE_LISTED_ATOMS_FREELY__LONGEST_CARD_WINS
8	MC008	lchy	lchy	lchy	ZERO	SINGLE_REGISTERED_FORM	L+Y	abziehen	Ziehe den aktuellen Posten ab	1	L	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
9	MC009	chary	chary	chary	ZERO	SINGLE_REGISTERED_FORM	AR+Y	aus diesem Posten	Nimm den Posten vom Ausgang	1	AR	LEARNED_WHOLE_CARD	MEMORIZE_EXACT_CARD_OR_ALLOGRAPH_SET
10	MC010	chodaly	chodaly	chodaly	ZERO	SINGLE_REGISTERED_FORM	HO+AL+Y	diese Zutat zur Stelle bringen	Führe den Eingangsposten zum Ziel	1	HO	BOUNDED_PRODUCTIVE_PARADIGM	COMPOSE_ONLY_ATTESTED_TAIL_CLASSES
