rule_order	rule_id	apprentice_instruction
1	SET_OWNER	Read the pictured plant, bath station or diagram locus as silent owner.
2	CHOOSE_MODE	Use combinatorial prose for Herbal/Bio; local nomenclator copying for Astro.
3	SELECT_CARD	Choose a registered exact card with the required short default.
4	COMPOSE_BROAD	OK and OT may take listed quantity, direction, grade and endpoint tails.
5	COMPOSE_BOUNDED	OL, L, CHD, CTH and HO take only their listed tail classes.
6	LEARN_MINI_FAMILY	CKH, CHK, SHED, SOLK, KCH and SH are memorized as small paradigms.
7	LEARN_WHOLE	CHEO, TY and longer exceptional bodies remain exact learned cards.
8	LONGEST_CARD	A registered longer body defeats a tempting shorter stem parse.
9	CHOOSE_RENDERER	Choose only a q/sh/s/ch/d/t/zero entry licensed for that card.
10	KEEP_MEANING	Renderer entry never changes the card value.
11	WRITE_STATEMENT	Order owner, selection, quantity/source/target, operation, grade and optional close.
12	WRAP_LINE	Break for available drawing space; a physical line is not a sentence boundary.
13	RESET_OWNER	At a visibly new bath station or diagram namespace, reset the silent owner.
14	COPY_ASTRO	Copy every local Astro group under its owner key; infer no orientation or crosspage join.
