locus	ordinal	surface	resolution_class	applied_render_de	reader_preference	review_note
f104v.14	1	ytedy	BILATERAL_REPAIR_OVERRIDE	hiervon bis zur Mittelstufe kalt-trocken fertigstellen	IT2a+RF1b ytchedy	Both readers add the dry marker; the local render combines cooling and middle-stage drying.
f104v.2	1	ychedaiin	IT2A_EXACT_RETAIN	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	ZL3b+IT2a	IT2a preserves ychedaiin; the RF1b boundary or spelling rival does not overturn its concrete family core.
f104v.2	2	qoteed	IT2A_EXACT_RETAIN	Ansatz vollständig abkühlen und abziehen	ZL3b+IT2a	IT2a preserves qoteed; the RF1b boundary or spelling rival does not overturn its concrete family core.
f104v.2	6	qokamdy	IT2A_EXACT_RETAIN	ein Maß nehmen, erhitzen und fertigstellen	ZL3b+IT2a	IT2a preserves qokamdy; the RF1b boundary or spelling rival does not overturn its concrete family core.
f104v.2	7	otarar	IT2A_EXACT_RETAIN	erste Unterfraktion der kalten Ansatzfraktion I	ZL3b+IT2a	IT2a preserves otarar; the RF1b boundary or spelling rival does not overturn its concrete family core.
f104v.22	6	ls	BILATERAL_JOIN_RETAIN_CORE	eine Charge Holzdroge	IT2a+RF1b lsaiin join	Both readers bind the following quantity but preserve the wood-charge core.
f105r.19	10	aiir	RF1B_EXACT_RETAIN	Drogenfraktion III	ZL3b+RF1b	RF1b preserves aiir; the IT2a boundary or spelling rival remains recorded without changing the default.
f105r.31	1	kodeey	IT2A_EXACT_RETAIN	vollständig erhitzte und abgeschlossene Zubereitungsdosis	ZL3b+IT2a	IT2a preserves kodeey; the RF1b boundary or spelling rival does not overturn its concrete family core.
f105r.31	5	aiijy	RF1B_EXACT_RETAIN	in drei Bündel abfüllen und schließen	ZL3b+RF1b	RF1b preserves aiijy; the IT2a boundary or spelling rival remains recorded without changing the default.
f105r.31	13	fchoky	IT2A_EXACT_RETAIN	heiß-trockene Blütenzubereitung in Grundform	ZL3b+IT2a	IT2a preserves fchoky; the RF1b boundary or spelling rival does not overturn its concrete family core.
f105v.11	10	aiir	RF1B_EXACT_RETAIN	Drogenfraktion III	ZL3b+RF1b	RF1b preserves aiir; the IT2a boundary or spelling rival remains recorded without changing the default.
