fragment_ordinal	scope_pair_id	event_id	statement_id	register	surface	final_context_recipe	fragment_ordinal_in_event	atom_position_zero_based	atom	base_fragment_de	rendered_fragment_de	target_fragment_start	target_fragment_end	root_expression_start	root_expression_end	scope_slot	between_pair_positions	binding_status	guard
1	GDT579-P05	G407-E2722	G407-S396	BIOLOGICAL	lshl	L+SH+L	1	0	L	über die sichtbare Verbindung	beim Halten: über die sichtbare Verbindung im äußeren Zweig	32	91	45	74	YES	NO	SCOPE_SLOT_HEAD_BOUND	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
2	GDT579-P05	G407-E2722	G407-S396	BIOLOGICAL	lshl	L+SH+L	2	2	L	über die sichtbare Verbindung	beim Halten: über die sichtbare Verbindung im inneren Zweig	93	152	106	135	YES	NO	SCOPE_SLOT_HEAD_BOUND	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
3	GDT579-P06	G407-E2895	G407-S433	BIOLOGICAL	lchl	L+CH+L	1	0	L	über die sichtbare Verbindung	beim Entnehmen: über die sichtbare Verbindung im äußeren Zweig	34	96	50	79	YES	NO	SCOPE_SLOT_HEAD_BOUND	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
4	GDT579-P06	G407-E2895	G407-S433	BIOLOGICAL	lchl	L+CH+L	2	2	L	über die sichtbare Verbindung	beim Entnehmen: über die sichtbare Verbindung im inneren Zweig	98	160	114	143	YES	NO	SCOPE_SLOT_HEAD_BOUND	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
5	GDT579-P08	G407-E3849	G407-S650	PHARMA	salsaly	S+AL+S+AL+Y	1	1	AL	zum Zielgefäß	beim ersten Wählen: zum Zielgefäß im äußeren Zweig	38	88	58	71	YES	NO	SCOPE_SLOT_HEAD_BOUND	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
6	GDT579-P08	G407-E3849	G407-S650	PHARMA	salsaly	S+AL+S+AL+Y	2	3	AL	zum Zielgefäß	beim zweiten Wählen: zum Zielgefäß im inneren Zweig	90	141	111	124	YES	NO	SCOPE_SLOT_HEAD_BOUND	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
7	GDT579-P11	G515-E0069	G515-S006	HERBAL	pofochey	P+O+LOCAL_CHAR_F+O+CH+E+Y	1	1	O	zur Ausführung	beim Einsetzen: zur Ausführung im äußeren Zweig	43	90	59	73	YES	NO	SCOPE_SLOT_HEAD_BOUND	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
8	GDT579-P11	G515-E0069	G515-S006	HERBAL	pofochey	P+O+LOCAL_CHAR_F+O+CH+E+Y	2	2	LOCAL_CHAR_F	bei der f-Kennmarke	bei der f-Kennmarke	92	111	92	111	NO	YES	UNBOUND_MODIFIER_IN_RAW_ORDER	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
9	GDT579-P11	G515-E0069	G515-S006	HERBAL	pofochey	P+O+LOCAL_CHAR_F+O+CH+E+Y	3	3	O	zur Ausführung	beim Nehmen: zur Ausführung im inneren Zweig	113	157	126	140	YES	NO	SCOPE_SLOT_HEAD_BOUND	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
10	GDT579-P11	G515-E0069	G515-S006	HERBAL	pofochey	P+O+LOCAL_CHAR_F+O+CH+E+Y	4	5	E	auf Grad I	auf Grad I	159	169	159	169	NO	NO	UNBOUND_MODIFIER_IN_RAW_ORDER	RAW_MODIFIER_ATOM_ORDER__NO_PRE_POST_PROCESS_CHRONOLOGY
