intervening_atom_ordinal	scope_pair_id	event_id	statement_id	register	surface	final_context_recipe	atom_position_zero_based	atom	atom_class	retained_voice_de	guard
1	GDT579-P05	G407-E2722	G407-S396	BIOLOGICAL	lshl	L+SH+L	1	SH	ACTION	Halten	STRICTLY_BETWEEN_OUTER_AND_INNER__RAW_POSITION_RETAINED
2	GDT579-P06	G407-E2895	G407-S433	BIOLOGICAL	lchl	L+CH+L	1	CH	ACTION	Entnehmen	STRICTLY_BETWEEN_OUTER_AND_INNER__RAW_POSITION_RETAINED
3	GDT579-P08	G407-E3849	G407-S650	PHARMA	salsaly	S+AL+S+AL+Y	2	S	ACTION	zweiten Wählen	STRICTLY_BETWEEN_OUTER_AND_INNER__RAW_POSITION_RETAINED
4	GDT579-P11	G515-E0069	G515-S006	HERBAL	pofochey	P+O+LOCAL_CHAR_F+O+CH+E+Y	2	LOCAL_CHAR_F	MODIFIER_OR_SIGLUM	bei der f-Kennmarke	STRICTLY_BETWEEN_OUTER_AND_INNER__RAW_POSITION_RETAINED
5	GDT579-P12	G515-E0157	G515-S009	HERBAL	chepakeo	CH+E+P+A_ADDR+K+E+O	2	P	ACTION	Einsetzen	STRICTLY_BETWEEN_OUTER_AND_INNER__RAW_POSITION_RETAINED
6	GDT579-P12	G515-E0157	G515-S009	HERBAL	chepakeo	CH+E+P+A_ADDR+K+E+O	3	A_ADDR	MODIFIER_OR_SIGLUM	an der A-Stelle	STRICTLY_BETWEEN_OUTER_AND_INNER__RAW_POSITION_RETAINED
7	GDT579-P12	G515-E0157	G515-S009	HERBAL	chepakeo	CH+E+P+A_ADDR+K+E+O	4	K	ACTION	Zugeben	STRICTLY_BETWEEN_OUTER_AND_INNER__RAW_POSITION_RETAINED
8	GDT579-P13	G515-E0198	G515-S013	HERBAL	checkhey	CH+E+CH+K+E+Y	2	CH	ACTION	zweiten Nehmen	STRICTLY_BETWEEN_OUTER_AND_INNER__RAW_POSITION_RETAINED
9	GDT579-P13	G515-E0198	G515-S013	HERBAL	checkhey	CH+E+CH+K+E+Y	3	K	ACTION	Zugeben	STRICTLY_BETWEEN_OUTER_AND_INNER__RAW_POSITION_RETAINED
10	GDT579-P14	G515-E0222	G515-S022	HERBAL	shedshey	SH+E+D_ADDR+SH+E+Y	2	D_ADDR	MODIFIER_OR_SIGLUM	an der D-Stelle	STRICTLY_BETWEEN_OUTER_AND_INNER__RAW_POSITION_RETAINED
11	GDT579-P14	G515-E0222	G515-S022	HERBAL	shedshey	SH+E+D_ADDR+SH+E+Y	3	SH	ACTION	zweiten Halten	STRICTLY_BETWEEN_OUTER_AND_INNER__RAW_POSITION_RETAINED
12	GDT579-P15	G515-E0310	G515-S031	SOURCE_SECTION_T	shekey	SH+E+K+E+Y	2	K	ACTION	Zuordnen	STRICTLY_BETWEEN_OUTER_AND_INNER__RAW_POSITION_RETAINED
13	GDT579-P16	G515-E0385	G515-S043	SOURCE_SECTION_T	dard	D_ADDR+AR+D_ADDR	1	AR	MODIFIER_OR_SIGLUM	von der Ausgangszeile	STRICTLY_BETWEEN_OUTER_AND_INNER__RAW_POSITION_RETAINED
14	GDT579-P17	G515-E0472	G515-S056	SOURCE_SECTION_T	tosheo	T+O+SH+E+O	2	SH	ACTION	Festhalten	STRICTLY_BETWEEN_OUTER_AND_INNER__RAW_POSITION_RETAINED
15	GDT579-P17	G515-E0472	G515-S056	SOURCE_SECTION_T	tosheo	T+O+SH+E+O	3	E	MODIFIER_OR_SIGLUM	auf Grad I	STRICTLY_BETWEEN_OUTER_AND_INNER__RAW_POSITION_RETAINED
