scope_slot_ordinal	assignment_source	selector_rule	source_geometry	head_kind	head_event_id	head_atom_position_zero_based	head_root	duplicate_mode	duplicate_role	scope_pair_ordinal	scope_pair_id	event_id	scope	scope_atom_position_zero_based	scope_root	placement	head_identity	head_nominal_de	route	attachment_topology	rendered_fragment_de	root_expression_de	root_expression_start	root_expression_end	root_expression_shared	scope_marker_de	scope_marker_start	scope_marker_end	guard
1	GDT407_FIXED_FOCUS_ATTACHMENT	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G407-E1060	0	P	FREE_PLURAL_OR_REPEAT	FREE_PEER_1	1	GDT579-P01	G407-E1060	OUTER	1	AR	POST_HEAD	ORDINARY_ACTION_HEAD:G407-E1060@0:P	Einsetzen	ADJACENT_FACTORIZATION	SAME_HEAD_SAME_SIDE	von der Ausgangsposition im äußeren und im inneren Zweig	von der Ausgangsposition	11	35	YES	äußeren	39	46	WRITTEN_SCOPE_SLOT_RETAINED__SHARED_BASE_ONLY_IN_ADJACENT_ROUTE
2	GDT407_FIXED_FOCUS_ATTACHMENT	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G407-E1060	0	P	FREE_PLURAL_OR_REPEAT	FREE_PEER_2	1	GDT579-P01	G407-E1060	INNER	2	AR	POST_HEAD	ORDINARY_ACTION_HEAD:G407-E1060@0:P	Einsetzen	ADJACENT_FACTORIZATION	SAME_HEAD_SAME_SIDE	von der Ausgangsposition im äußeren und im inneren Zweig	von der Ausgangsposition	11	35	YES	inneren	54	61	WRITTEN_SCOPE_SLOT_RETAINED__SHARED_BASE_ONLY_IN_ADJACENT_ROUTE
3	GDT407_FIXED_FOCUS_ATTACHMENT	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G407-E1184	0	OK	FREE_PLURAL_OR_REPEAT	FREE_PEER_1	2	GDT579-P02	G407-E1184	OUTER	1	AL	POST_HEAD	ORDINARY_ACTION_HEAD:G407-E1184@0:OK	Setzen	ADJACENT_FACTORIZATION	SAME_HEAD_SAME_SIDE	zur Zielposition im äußeren und im inneren Zweig	zur Zielposition	33	49	YES	äußeren	53	60	WRITTEN_SCOPE_SLOT_RETAINED__SHARED_BASE_ONLY_IN_ADJACENT_ROUTE
4	GDT407_FIXED_FOCUS_ATTACHMENT	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G407-E1184	0	OK	FREE_PLURAL_OR_REPEAT	FREE_PEER_2	2	GDT579-P02	G407-E1184	INNER	2	AL	POST_HEAD	ORDINARY_ACTION_HEAD:G407-E1184@0:OK	Setzen	ADJACENT_FACTORIZATION	SAME_HEAD_SAME_SIDE	zur Zielposition im äußeren und im inneren Zweig	zur Zielposition	33	49	YES	inneren	68	75	WRITTEN_SCOPE_SLOT_RETAINED__SHARED_BASE_ONLY_IN_ADJACENT_ROUTE
5	GDT407_FIXED_FOCUS_ATTACHMENT	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G407-E1314	0	OK	FREE_PLURAL_OR_REPEAT	FREE_PEER_1	3	GDT579-P03	G407-E1314	OUTER	1	AR	POST_HEAD	ORDINARY_ACTION_HEAD:G407-E1314@0:OK	Setzen	ADJACENT_FACTORIZATION	SAME_HEAD_SAME_SIDE	von der Ausgangsposition im äußeren und im inneren Zweig	von der Ausgangsposition	33	57	YES	äußeren	61	68	WRITTEN_SCOPE_SLOT_RETAINED__SHARED_BASE_ONLY_IN_ADJACENT_ROUTE
6	GDT407_FIXED_FOCUS_ATTACHMENT	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G407-E1314	0	OK	FREE_PLURAL_OR_REPEAT	FREE_PEER_2	3	GDT579-P03	G407-E1314	INNER	2	AR	POST_HEAD	ORDINARY_ACTION_HEAD:G407-E1314@0:OK	Setzen	ADJACENT_FACTORIZATION	SAME_HEAD_SAME_SIDE	von der Ausgangsposition im äußeren und im inneren Zweig	von der Ausgangsposition	33	57	YES	inneren	76	83	WRITTEN_SCOPE_SLOT_RETAINED__SHARED_BASE_ONLY_IN_ADJACENT_ROUTE
7	GDT407_FIXED_FOCUS_ATTACHMENT	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G407-E1390	0	P	FREE_PLURAL_OR_REPEAT	FREE_PEER_1	4	GDT579-P04	G407-E1390	OUTER	1	AR	POST_HEAD	ORDINARY_ACTION_HEAD:G407-E1390@0:P	Einsetzen	ADJACENT_FACTORIZATION	SAME_HEAD_SAME_SIDE	von der Ausgangsposition im äußeren und im inneren Zweig	von der Ausgangsposition	37	61	YES	äußeren	65	72	WRITTEN_SCOPE_SLOT_RETAINED__SHARED_BASE_ONLY_IN_ADJACENT_ROUTE
8	GDT407_FIXED_FOCUS_ATTACHMENT	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G407-E1390	0	P	FREE_PLURAL_OR_REPEAT	FREE_PEER_2	4	GDT579-P04	G407-E1390	INNER	2	AR	POST_HEAD	ORDINARY_ACTION_HEAD:G407-E1390@0:P	Einsetzen	ADJACENT_FACTORIZATION	SAME_HEAD_SAME_SIDE	von der Ausgangsposition im äußeren und im inneren Zweig	von der Ausgangsposition	37	61	YES	inneren	80	87	WRITTEN_SCOPE_SLOT_RETAINED__SHARED_BASE_ONLY_IN_ADJACENT_ROUTE
9	GDT407_FIXED_FOCUS_ATTACHMENT	L_AIR_RIGHT_FALLBACK	SAME_CARD_RIGHT_ACTION	ORDINARY_ACTION_HEAD	G407-E2722	1	SH	SINGLE	SINGLE	5	GDT579-P05	G407-E2722	OUTER	0	L	PRE_HEAD	ORDINARY_ACTION_HEAD:G407-E2722@1:SH	Halten	INTERRUPTED_SLOT_EXPLICIT	BRACKETING_SAME_HEAD	beim Halten: über die sichtbare Verbindung im äußeren Zweig	über die sichtbare Verbindung	45	74	NO	äußeren	78	85	WRITTEN_SCOPE_SLOT_RETAINED__FULL_BASE_IN_INTERRUPTED_ROUTE
10	GDT407_FIXED_FOCUS_ATTACHMENT	L_AIR_RIGHT_FALLBACK	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G407-E2722	1	SH	SINGLE	SINGLE	5	GDT579-P05	G407-E2722	INNER	2	L	POST_HEAD	ORDINARY_ACTION_HEAD:G407-E2722@1:SH	Halten	INTERRUPTED_SLOT_EXPLICIT	BRACKETING_SAME_HEAD	beim Halten: über die sichtbare Verbindung im inneren Zweig	über die sichtbare Verbindung	106	135	NO	inneren	139	146	WRITTEN_SCOPE_SLOT_RETAINED__FULL_BASE_IN_INTERRUPTED_ROUTE
11	GDT407_FIXED_FOCUS_ATTACHMENT	L_AIR_RIGHT_FALLBACK	SAME_CARD_RIGHT_ACTION	ORDINARY_ACTION_HEAD	G407-E2895	1	CH	SINGLE	SINGLE	6	GDT579-P06	G407-E2895	OUTER	0	L	PRE_HEAD	ORDINARY_ACTION_HEAD:G407-E2895@1:CH	Entnehmen	INTERRUPTED_SLOT_EXPLICIT	BRACKETING_SAME_HEAD	beim Entnehmen: über die sichtbare Verbindung im äußeren Zweig	über die sichtbare Verbindung	50	79	NO	äußeren	83	90	WRITTEN_SCOPE_SLOT_RETAINED__FULL_BASE_IN_INTERRUPTED_ROUTE
12	GDT407_FIXED_FOCUS_ATTACHMENT	L_AIR_RIGHT_FALLBACK	SAME_CARD_LEFT_ACTION	ORDINARY_ACTION_HEAD	G407-E2895	1	CH	SINGLE	SINGLE	6	GDT579-P06	G407-E2895	INNER	2	L	POST_HEAD	ORDINARY_ACTION_HEAD:G407-E2895@1:CH	Entnehmen	INTERRUPTED_SLOT_EXPLICIT	BRACKETING_SAME_HEAD	beim Entnehmen: über die sichtbare Verbindung im inneren Zweig	über die sichtbare Verbindung	114	143	NO	inneren	147	154	WRITTEN_SCOPE_SLOT_RETAINED__FULL_BASE_IN_INTERRUPTED_ROUTE
13	GDT407_FIXED_FOCUS_ATTACHMENT	AL_AR_ORDERED_FALLBACK	PREVIOUS_CARD_ACTION	ORDINARY_ACTION_HEAD	G407-E2953	0	CHD	FREE_PLURAL_OR_REPEAT	FREE_PEER_1	7	GDT579-P07	G407-E2954	OUTER	0	AL	CONTEXT_HEAD	ORDINARY_ACTION_HEAD:G407-E2953@0:CHD	Bearbeiten	ADJACENT_FACTORIZATION	ACTIVE_CONTEXT_HEAD	zur Zielstation im äußeren und im inneren Zweig	zur Zielstation	54	69	YES	äußeren	73	80	WRITTEN_SCOPE_SLOT_RETAINED__SHARED_BASE_ONLY_IN_ADJACENT_ROUTE
