page_ordinal	physical_page	registers	event_count	statement_count	state_event_count	nonstate_event_count	prior_gdt578_changed_event_count	prior_gdt578_changed_statement_count	scope_changed_event_count	scope_changed_statement_count	page_scope_changed	page_status	guard
1	f1r	SOURCE_SECTION_T	214	7	36	178	0	0	0	0	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
2	f10r	HERBAL	92	2	23	69	1	1	0	0	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
3	f11r	HERBAL	59	2	11	48	2	1	0	0	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
4	f13r	HERBAL	77	5	18	59	1	1	0	0	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
5	f17r	HERBAL	78	8	19	59	1	1	0	0	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
6	f18r	HERBAL	84	5	21	63	1	1	0	0	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
7	f24v	HERBAL	86	3	14	72	4	3	0	0	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
8	f55v	HERBAL	106	5	17	89	1	1	0	0	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
9	f56r	HERBAL	105	3	26	79	1	1	0	0	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
10	f67r2	CELESTIAL	126	11	15	111	4	3	0	0	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
11	f68r1	CELESTIAL	31	3	8	23	4	3	0	0	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
12	f69v	CELESTIAL	0	0	0	0	0	0	0	0	NO	ZERO_RUNNING_EVENT_PAGE_RETAINED	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
13	f70v	CELESTIAL	0	0	0	0	0	0	0	0	NO	ZERO_RUNNING_EVENT_PAGE_RETAINED	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
14	f71v	CELESTIAL	78	5	24	54	2	2	1	1	YES	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
15	f72r	CELESTIAL	288	22	105	183	3	2	3	3	YES	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
16	f75r	BIOLOGICAL	408	111	172	236	0	0	0	0	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
17	f76r	BIOLOGICAL	560	118	187	373	5	5	0	0	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
18	f77r	BIOLOGICAL	321	82	141	180	3	3	0	0	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
19	f81r	BIOLOGICAL	210	48	114	96	2	2	2	2	YES	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
20	f81v	BIOLOGICAL	253	54	102	151	5	3	1	1	YES	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
21	f82r	BIOLOGICAL	278	62	101	177	2	2	0	0	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
22	f83r	BIOLOGICAL	341	91	139	202	5	5	0	0	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
23	f88r	PHARMA	134	5	41	93	3	2	1	1	YES	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
24	f88v	PHARMA	131	13	30	101	3	2	0	0	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
25	f89r	PHARMA	338	20	74	264	2	1	1	1	YES	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
26	f95v	HERBAL	178	30	56	122	1	1	1	1	YES	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
27	f31r	HERBAL	103	19	25	78	1	1	3	3	YES	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
28	f66r	SOURCE_SECTION_T	293	51	95	198	1	1	3	3	YES	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
29	f20v	HERBAL	86	3	21	65	0	0	1	1	YES	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
30	f4r	HERBAL	64	5	21	43	0	0	0	0	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED
