pair_profile_ordinal	scope_pair_id	event_id	statement_id	register	surface	final_context_recipe	scope_root	outer_atom_position_zero_based	inner_atom_position_zero_based	intervening_atom_count	route	attachment_topology	head_identity_trace	placement_trace	gdt578_source_clause_de	target_clause_de	guard
1	GDT579-P01	G407-E1060	G407-S055	CELESTIAL	parar	P+AR+AR	AR	1	2	0	ADJACENT_FACTORIZATION	SAME_HEAD_SAME_SIDE	ORDINARY_ACTION_HEAD:G407-E1060@0:P | ORDINARY_ACTION_HEAD:G407-E1060@0:P	POST_HEAD+POST_HEAD	Setze ein; von der Ausgangsposition im äußeren Zweig und von der Ausgangsposition im inneren Zweig.	Setze ein; von der Ausgangsposition im äußeren und im inneren Zweig.	OUTER_AND_INNER_SLOT_IDENTITIES_RETAINED__NO_SCOPE_COUNT
2	GDT579-P02	G407-E1184	G407-S064	CELESTIAL	okalal	OK+AL+AL	AL	1	2	0	ADJACENT_FACTORIZATION	SAME_HEAD_SAME_SIDE	ORDINARY_ACTION_HEAD:G407-E1184@0:OK | ORDINARY_ACTION_HEAD:G407-E1184@0:OK	POST_HEAD+POST_HEAD	Setze dieselbe Positionseinheit; zur Zielposition im äußeren Zweig und zur Zielposition im inneren Zweig.	Setze dieselbe Positionseinheit; zur Zielposition im äußeren und im inneren Zweig.	OUTER_AND_INNER_SLOT_IDENTITIES_RETAINED__NO_SCOPE_COUNT
3	GDT579-P03	G407-E1314	G407-S073	CELESTIAL	okarar	OK+AR+AR	AR	1	2	0	ADJACENT_FACTORIZATION	SAME_HEAD_SAME_SIDE	ORDINARY_ACTION_HEAD:G407-E1314@0:OK | ORDINARY_ACTION_HEAD:G407-E1314@0:OK	POST_HEAD+POST_HEAD	Setze denselben Positionsposten; von der Ausgangsposition im äußeren Zweig und von der Ausgangsposition im inneren Zweig.	Setze denselben Positionsposten; von der Ausgangsposition im äußeren und im inneren Zweig.	OUTER_AND_INNER_SLOT_IDENTITIES_RETAINED__NO_SCOPE_COUNT
4	GDT579-P04	G407-E1390	G407-S078	CELESTIAL	arary	P+AR+AR	AR	1	2	0	ADJACENT_FACTORIZATION	SAME_HEAD_SAME_SIDE	ORDINARY_ACTION_HEAD:G407-E1390@0:P | ORDINARY_ACTION_HEAD:G407-E1390@0:P	POST_HEAD+POST_HEAD	Setze denselben Positionsposten ein; von der Ausgangsposition im äußeren Zweig und von der Ausgangsposition im inneren Zweig.	Setze denselben Positionsposten ein; von der Ausgangsposition im äußeren und im inneren Zweig.	OUTER_AND_INNER_SLOT_IDENTITIES_RETAINED__NO_SCOPE_COUNT
5	GDT579-P05	G407-E2722	G407-S396	BIOLOGICAL	lshl	L+SH+L	L	0	2	1	INTERRUPTED_SLOT_EXPLICIT	BRACKETING_SAME_HEAD	ORDINARY_ACTION_HEAD:G407-E2722@1:SH | ORDINARY_ACTION_HEAD:G407-E2722@1:SH	PRE_HEAD+POST_HEAD	Halte denselben Stationsposten; über die sichtbare Verbindung im äußeren Zweig und über die sichtbare Verbindung im inneren Zweig.	Halte denselben Stationsposten; beim Halten: über die sichtbare Verbindung im äußeren Zweig; beim Halten: über die sichtbare Verbindung im inneren Zweig.	OUTER_AND_INNER_SLOT_IDENTITIES_RETAINED__NO_SCOPE_COUNT
6	GDT579-P06	G407-E2895	G407-S433	BIOLOGICAL	lchl	L+CH+L	L	0	2	1	INTERRUPTED_SLOT_EXPLICIT	BRACKETING_SAME_HEAD	ORDINARY_ACTION_HEAD:G407-E2895@1:CH | ORDINARY_ACTION_HEAD:G407-E2895@1:CH	PRE_HEAD+POST_HEAD	Entnimm denselben Stationsposten; über die sichtbare Verbindung im äußeren Zweig und über die sichtbare Verbindung im inneren Zweig.	Entnimm denselben Stationsposten; beim Entnehmen: über die sichtbare Verbindung im äußeren Zweig; beim Entnehmen: über die sichtbare Verbindung im inneren Zweig.	OUTER_AND_INNER_SLOT_IDENTITIES_RETAINED__NO_SCOPE_COUNT
7	GDT579-P07	G407-E2954	G407-S446	BIOLOGICAL	dalal	AL+AL	AL	0	1	0	ADJACENT_FACTORIZATION	ACTIVE_CONTEXT_HEAD	ORDINARY_ACTION_HEAD:G407-E2953@0:CHD | ORDINARY_ACTION_HEAD:G407-E2953@0:CHD	CONTEXT_HEAD+CONTEXT_HEAD	Im laufenden Gang bearbeite denselben Stationsposten; zur Zielstation im äußeren Zweig und zur Zielstation im inneren Zweig.	Im laufenden Gang bearbeite denselben Stationsposten; zur Zielstation im äußeren und im inneren Zweig.	OUTER_AND_INNER_SLOT_IDENTITIES_RETAINED__NO_SCOPE_COUNT
8	GDT579-P08	G407-E3849	G407-S650	PHARMA	salsaly	S+AL+S+AL+Y	AL	1	3	1	INTERRUPTED_SLOT_EXPLICIT	DISTINCT_ACTION_OCCURRENCES	ORDINARY_ACTION_HEAD:G407-E3849@0:S | ORDINARY_ACTION_HEAD:G407-E3849@2:S	POST_HEAD+POST_HEAD	Wähle den Drogenposten und wähle ihn; zum Zielgefäß im äußeren Zweig und zum Zielgefäß im inneren Zweig.	Wähle den Drogenposten und wähle ihn; beim ersten Wählen: zum Zielgefäß im äußeren Zweig; beim zweiten Wählen: zum Zielgefäß im inneren Zweig.	OUTER_AND_INNER_SLOT_IDENTITIES_RETAINED__NO_SCOPE_COUNT
9	GDT579-P09	G407-E4142	G407-S671	PHARMA	daldal	AL+AL	AL	0	1	0	ADJACENT_FACTORIZATION	ACTIVE_CONTEXT_HEAD	VISIBLE_OWNER:OWNER::G407-S671@-1:OWNER | VISIBLE_OWNER:OWNER::G407-S671@-1:OWNER	CONTEXT_HEAD+CONTEXT_HEAD	Im laufenden Gang nimm denselben Drogenanteil; zum Zielgefäß im äußeren Zweig und zum Zielgefäß im inneren Zweig.	Im laufenden Gang nimm denselben Drogenanteil; zum Zielgefäß im äußeren und im inneren Zweig.	OUTER_AND_INNER_SLOT_IDENTITIES_RETAINED__NO_SCOPE_COUNT
10	GDT579-P10	G407-E4497	G407-S700	HERBAL	okarar	OK+AR+AR	AR	1	2	0	ADJACENT_FACTORIZATION	SAME_HEAD_SAME_SIDE	ORDINARY_ACTION_HEAD:G407-E4497@0:OK | ORDINARY_ACTION_HEAD:G407-E4497@0:OK	POST_HEAD+POST_HEAD	Setze denselben Pflanzenposten im Arbeitsgang an; vom Ausgangsmaterial im äußeren Zweig und vom Ausgangsmaterial im inneren Zweig.	Setze denselben Pflanzenposten im Arbeitsgang an; vom Ausgangsmaterial im äußeren und im inneren Zweig.	OUTER_AND_INNER_SLOT_IDENTITIES_RETAINED__NO_SCOPE_COUNT
11	GDT579-P11	G515-E0069	G515-S006	HERBAL	pofochey	P+O+LOCAL_CHAR_F+O+CH+E+Y	O	1	3	1	INTERRUPTED_SLOT_EXPLICIT	DISTINCT_ACTION_OCCURRENCES	ORDINARY_ACTION_HEAD:G515-E0069@0:P | ORDINARY_ACTION_HEAD:G515-E0069@4:CH	POST_HEAD+PRE_HEAD	Setze den Pflanzenposten ein und nimm ihn; zur Ausführung im äußeren Zweig, zur Ausführung im inneren Zweig und auf Grad I; bei der f-Kennmarke.	Setze den Pflanzenposten ein und nimm ihn; beim Einsetzen: zur Ausführung im äußeren Zweig; bei der f-Kennmarke; beim Nehmen: zur Ausführung im inneren Zweig; auf Grad I.	OUTER_AND_INNER_SLOT_IDENTITIES_RETAINED__NO_SCOPE_COUNT
12	GDT579-P12	G515-E0157	G515-S009	HERBAL	chepakeo	CH+E+P+A_ADDR+K+E+O	E	1	5	3	INTERRUPTED_SLOT_EXPLICIT	DISTINCT_ACTION_OCCURRENCES	ORDINARY_ACTION_HEAD:G515-E0157@0:CH | ORDINARY_ACTION_HEAD:G515-E0157@4:K	POST_HEAD+POST_HEAD	Nimm denselben Arbeitswert, setze ihn ein und gib ihn zu; auf Grad I im äußeren Zweig, auf Grad I im inneren Zweig und zur Ausführung; an der A-Stelle.	Nimm denselben Arbeitswert, setze ihn ein und gib ihn zu; beim Nehmen: auf Grad I im äußeren Zweig; an der A-Stelle; beim Zugeben: auf Grad I im inneren Zweig; zur Ausführung.	OUTER_AND_INNER_SLOT_IDENTITIES_RETAINED__NO_SCOPE_COUNT
13	GDT579-P13	G515-E0198	G515-S013	HERBAL	checkhey	CH+E+CH+K+E+Y	E	1	4	2	INTERRUPTED_SLOT_EXPLICIT	DISTINCT_ACTION_OCCURRENCES	ORDINARY_ACTION_HEAD:G515-E0198@0:CH | ORDINARY_ACTION_HEAD:G515-E0198@3:K	POST_HEAD+POST_HEAD	Nimm den Pflanzenposten, nimm ihn und gib ihn zu; auf Grad I im äußeren Zweig und auf Grad I im inneren Zweig.	Nimm den Pflanzenposten, nimm ihn und gib ihn zu; beim ersten Nehmen: auf Grad I im äußeren Zweig; beim Zugeben: auf Grad I im inneren Zweig.	OUTER_AND_INNER_SLOT_IDENTITIES_RETAINED__NO_SCOPE_COUNT
14	GDT579-P14	G515-E0222	G515-S022	HERBAL	shedshey	SH+E+D_ADDR+SH+E+Y	E	1	4	2	INTERRUPTED_SLOT_EXPLICIT	DISTINCT_ACTION_OCCURRENCES	ORDINARY_ACTION_HEAD:G515-E0222@0:SH | ORDINARY_ACTION_HEAD:G515-E0222@3:SH	POST_HEAD+POST_HEAD	Halte den Pflanzenposten und halte ihn; auf Grad I im äußeren Zweig und auf Grad I im inneren Zweig; an der D-Stelle.	Halte den Pflanzenposten und halte ihn; beim ersten Halten: auf Grad I im äußeren Zweig; an der D-Stelle; beim zweiten Halten: auf Grad I im inneren Zweig.	OUTER_AND_INNER_SLOT_IDENTITIES_RETAINED__NO_SCOPE_COUNT
15	GDT579-P15	G515-E0310	G515-S031	SOURCE_SECTION_T	shekey	SH+E+K+E+Y	E	1	3	1	INTERRUPTED_SLOT_EXPLICIT	DISTINCT_ACTION_OCCURRENCES	ORDINARY_ACTION_HEAD:G515-E0310@0:SH | ORDINARY_ACTION_HEAD:G515-E0310@2:K	POST_HEAD+POST_HEAD	Halte den laufenden Eintrag fest und ordne ihn zu; auf Grad I im äußeren Zweig und auf Grad I im inneren Zweig.	Halte den laufenden Eintrag fest und ordne ihn zu; beim Festhalten: auf Grad I im äußeren Zweig; beim Zuordnen: auf Grad I im inneren Zweig.	OUTER_AND_INNER_SLOT_IDENTITIES_RETAINED__NO_SCOPE_COUNT
