event_card_ordinal	scope_pair_id	event_id	statement_id	physical_page	register	surface	final_context_recipe	state_status	route	attachment_topology	gdt578_source_clause_de	gdt578_source_clause_sha256	target_clause_de	target_clause_sha256	outer_atom_position_zero_based	inner_atom_position_zero_based	intervening_atom_count	inverse_key	guard
1	GDT579-P01	G407-E1060	G407-S055	f71v	CELESTIAL	parar	P+AR+AR	NONSTATE_CARD	ADJACENT_FACTORIZATION	SAME_HEAD_SAME_SIDE	Setze ein; von der Ausgangsposition im äußeren Zweig und von der Ausgangsposition im inneren Zweig.	6b5c973a60984e78092d30a238613d272d0963147ed87df69460d3041a33f0d1	Setze ein; von der Ausgangsposition im äußeren und im inneren Zweig.	90a98da6238d1d1b1546c374a5d094e5b18861a093c6f9300d30f2e02cdfac07	1	2	0	G407-E1060	EXPLICIT_EVENT_ID_INVERSE__NEVER_TEXT_KEYED
2	GDT579-P02	G407-E1184	G407-S064	f72r	CELESTIAL	okalal	OK+AL+AL	NONSTATE_CARD	ADJACENT_FACTORIZATION	SAME_HEAD_SAME_SIDE	Setze dieselbe Positionseinheit; zur Zielposition im äußeren Zweig und zur Zielposition im inneren Zweig.	2ef8416987482131d2c4482585b397a2e563557d175ed5bdbf45ba123f05282f	Setze dieselbe Positionseinheit; zur Zielposition im äußeren und im inneren Zweig.	6ef03f2b5aaec88936009425847f1b527068fdbc60ac4e6217e1a74b424a18f9	1	2	0	G407-E1184	EXPLICIT_EVENT_ID_INVERSE__NEVER_TEXT_KEYED
3	GDT579-P03	G407-E1314	G407-S073	f72r	CELESTIAL	okarar	OK+AR+AR	NONSTATE_CARD	ADJACENT_FACTORIZATION	SAME_HEAD_SAME_SIDE	Setze denselben Positionsposten; von der Ausgangsposition im äußeren Zweig und von der Ausgangsposition im inneren Zweig.	b39c971d03cc7bf9b8504e31f7d98780c333fbb19f6fc70c8af1a8bf0236077c	Setze denselben Positionsposten; von der Ausgangsposition im äußeren und im inneren Zweig.	4ae441a902284c0dd2a23e423810e08c49f3f31aba4e81d62d11db4c194a8ec9	1	2	0	G407-E1314	EXPLICIT_EVENT_ID_INVERSE__NEVER_TEXT_KEYED
4	GDT579-P04	G407-E1390	G407-S078	f72r	CELESTIAL	arary	P+AR+AR	NONSTATE_CARD	ADJACENT_FACTORIZATION	SAME_HEAD_SAME_SIDE	Setze denselben Positionsposten ein; von der Ausgangsposition im äußeren Zweig und von der Ausgangsposition im inneren Zweig.	985f0822f3eeb667f6f623a2001f509d3150b8013548d517c50a4516222cc817	Setze denselben Positionsposten ein; von der Ausgangsposition im äußeren und im inneren Zweig.	f6238a4beb4b7b874c0a4afca6ade374c935bd99d4645521a2199245ccd493b5	1	2	0	G407-E1390	EXPLICIT_EVENT_ID_INVERSE__NEVER_TEXT_KEYED
5	GDT579-P05	G407-E2722	G407-S396	f81r	BIOLOGICAL	lshl	L+SH+L	NONSTATE_CARD	INTERRUPTED_SLOT_EXPLICIT	BRACKETING_SAME_HEAD	Halte denselben Stationsposten; über die sichtbare Verbindung im äußeren Zweig und über die sichtbare Verbindung im inneren Zweig.	468337217e0fe97ef99c22e49e246f199c04b0299ab936574d994ae10a42794d	Halte denselben Stationsposten; beim Halten: über die sichtbare Verbindung im äußeren Zweig; beim Halten: über die sichtbare Verbindung im inneren Zweig.	cab63a648a4766620917be84d9dec9fc4cc5741bbd536d332665d64eac8c5e76	0	2	1	G407-E2722	EXPLICIT_EVENT_ID_INVERSE__NEVER_TEXT_KEYED
6	GDT579-P06	G407-E2895	G407-S433	f81r	BIOLOGICAL	lchl	L+CH+L	NONSTATE_CARD	INTERRUPTED_SLOT_EXPLICIT	BRACKETING_SAME_HEAD	Entnimm denselben Stationsposten; über die sichtbare Verbindung im äußeren Zweig und über die sichtbare Verbindung im inneren Zweig.	83ebd642096e9eab90254b386716dc677b3d2ba55301e9ee6fc29c2ed682543d	Entnimm denselben Stationsposten; beim Entnehmen: über die sichtbare Verbindung im äußeren Zweig; beim Entnehmen: über die sichtbare Verbindung im inneren Zweig.	1610e803804c8daab6b5c8583888b28a7408d3ac48c709a1befe85b5dc16752b	0	2	1	G407-E2895	EXPLICIT_EVENT_ID_INVERSE__NEVER_TEXT_KEYED
7	GDT579-P07	G407-E2954	G407-S446	f81v	BIOLOGICAL	dalal	AL+AL	NONSTATE_CARD	ADJACENT_FACTORIZATION	ACTIVE_CONTEXT_HEAD	Im laufenden Gang bearbeite denselben Stationsposten; zur Zielstation im äußeren Zweig und zur Zielstation im inneren Zweig.	8259457396af2678d3b241b69e41f84664c6383e5299843e4d874223b054c5e8	Im laufenden Gang bearbeite denselben Stationsposten; zur Zielstation im äußeren und im inneren Zweig.	828d5aeacff1c29449197189ab7b5a916c984af26fa649f3ad85ce8ea1cc1c1c	0	1	0	G407-E2954	EXPLICIT_EVENT_ID_INVERSE__NEVER_TEXT_KEYED
8	GDT579-P08	G407-E3849	G407-S650	f88r	PHARMA	salsaly	S+AL+S+AL+Y	NONSTATE_CARD	INTERRUPTED_SLOT_EXPLICIT	DISTINCT_ACTION_OCCURRENCES	Wähle den Drogenposten und wähle ihn; zum Zielgefäß im äußeren Zweig und zum Zielgefäß im inneren Zweig.	ecd63cd88bf4d03dd841d691c25ed10b8aeddbebdf660f4b01b0b30d749f1f63	Wähle den Drogenposten und wähle ihn; beim ersten Wählen: zum Zielgefäß im äußeren Zweig; beim zweiten Wählen: zum Zielgefäß im inneren Zweig.	4c67832bab07db6c4adf1a12ecd736ddcc06eb8858e33d8162dd7940fde6bb0b	1	3	1	G407-E3849	EXPLICIT_EVENT_ID_INVERSE__NEVER_TEXT_KEYED
9	GDT579-P09	G407-E4142	G407-S671	f89r	PHARMA	daldal	AL+AL	NONSTATE_CARD	ADJACENT_FACTORIZATION	ACTIVE_CONTEXT_HEAD	Im laufenden Gang nimm denselben Drogenanteil; zum Zielgefäß im äußeren Zweig und zum Zielgefäß im inneren Zweig.	86316a144db3078068323a443a98316d3df6373b6d0231314dfdfa265fa53d36	Im laufenden Gang nimm denselben Drogenanteil; zum Zielgefäß im äußeren und im inneren Zweig.	9a15eec7e15befe46100650f890d90654efe285c30e1d1c815005d7cab4acd8b	0	1	0	G407-E4142	EXPLICIT_EVENT_ID_INVERSE__NEVER_TEXT_KEYED
10	GDT579-P10	G407-E4497	G407-S700	f95v	HERBAL	okarar	OK+AR+AR	NONSTATE_CARD	ADJACENT_FACTORIZATION	SAME_HEAD_SAME_SIDE	Setze denselben Pflanzenposten im Arbeitsgang an; vom Ausgangsmaterial im äußeren Zweig und vom Ausgangsmaterial im inneren Zweig.	c3087c09b99734617085278db556ce1e358a235221db977370a16630800767d3	Setze denselben Pflanzenposten im Arbeitsgang an; vom Ausgangsmaterial im äußeren und im inneren Zweig.	5be1a5d139ed97192a3a1c6806a70a1ec0252d43adbc07c7861ff254ab5717ec	1	2	0	G407-E4497	EXPLICIT_EVENT_ID_INVERSE__NEVER_TEXT_KEYED
