edition_event_ordinal	event_id	statement_id	card_ordinal_in_statement	physical_page	register	owner_id	surface	final_context_recipe	state_status	state_marker_sequence	gdt578_attachment_voice_clause_de	mixed_scope_voice_working_clause_de	gdt578_source_roundtrip_de	scope_voice_status	scope_pair_id	scope_route	guard
1	G407-E0001	G407-S001	1	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den laufenden Eintrag und wähle ihn; bei der f-Kennmarke und an der A-Stelle.	Entnimm den laufenden Eintrag und wähle ihn; bei der f-Kennmarke und an der A-Stelle.	Entnimm den laufenden Eintrag und wähle ihn; bei der f-Kennmarke und an der A-Stelle.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
2	G407-E0002	G407-S001	2	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ykal	Y+K+AL	NONSTATE_CARD	NOT_APPLICABLE	Ordne den laufenden Eintrag zu; zur Zielspalte.	Ordne den laufenden Eintrag zu; zur Zielspalte.	Ordne den laufenden Eintrag zu; zur Zielspalte.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
3	G407-E0003	G407-S001	3	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ar	AR	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang ordne denselben laufenden Eintrag zu; von der Ausgangszeile.	Im laufenden Gang ordne denselben laufenden Eintrag zu; von der Ausgangszeile.	Im laufenden Gang ordne denselben laufenden Eintrag zu; von der Ausgangszeile.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
4	G407-E0004	G407-S001	4	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ataiin	A_ADDR+T+AIIN	NONSTATE_CARD	NOT_APPLICABLE	Lege den Kennwert fest; an der A-Stelle.	Lege den Kennwert fest; an der A-Stelle.	Lege den Kennwert fest; an der A-Stelle.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
5	G407-E0005	G407-S001	5	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shol	SH+OL	STATE_CARD	OL	Weiter: halte denselben Kennwert fest.	Weiter: halte denselben Kennwert fest.	Weiter: halte denselben Kennwert fest.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
6	G407-E0006	G407-S001	6	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shory	SH+OR+Y	NONSTATE_CARD	NOT_APPLICABLE	Halte die Eintragseinheit und den laufenden Eintrag fest.	Halte die Eintragseinheit und den laufenden Eintrag fest.	Halte die Eintragseinheit und den laufenden Eintrag fest.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
7	G407-E0007	G407-S001	7	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthres	CH+T+R+E+S	NONSTATE_CARD	NOT_APPLICABLE	Entnimm denselben laufenden Eintrag, lege ihn fest, kennzeichne ihn und wähle ihn; auf Grad I.	Entnimm denselben laufenden Eintrag, lege ihn fest, kennzeichne ihn und wähle ihn; auf Grad I.	Entnimm denselben laufenden Eintrag, lege ihn fest, kennzeichne ihn und wähle ihn; auf Grad I.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
8	G407-E0008	G407-S001	8	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	y	Y	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang wähle den laufenden Eintrag.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
9	G407-E0009	G407-S001	9	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	kor	K+OR	NONSTATE_CARD	NOT_APPLICABLE	Ordne die Eintragseinheit zu.	Ordne die Eintragseinheit zu.	Ordne die Eintragseinheit zu.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
10	G407-E0010	G407-S001	10	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sholdy	SH+OL+D_ADDR+Y	STATE_CARD	OL	Weiter: halte den laufenden Eintrag fest; an der D-Stelle.	Weiter: halte den laufenden Eintrag fest; an der D-Stelle.	Weiter: halte den laufenden Eintrag fest; an der D-Stelle.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
11	G407-E0011	G407-S001	11	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sory	S+OR+Y	NONSTATE_CARD	NOT_APPLICABLE	Wähle die Eintragseinheit und den laufenden Eintrag.	Wähle die Eintragseinheit und den laufenden Eintrag.	Wähle die Eintragseinheit und den laufenden Eintrag.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
12	G407-E0012	G407-S001	12	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ckhar	CH+K+AR	NONSTATE_CARD	NOT_APPLICABLE	Entnimm denselben laufenden Eintrag und ordne ihn zu; von der Ausgangszeile.	Entnimm denselben laufenden Eintrag und ordne ihn zu; von der Ausgangszeile.	Entnimm denselben laufenden Eintrag und ordne ihn zu; von der Ausgangszeile.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
13	G407-E0013	G407-S001	13	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	or	OR	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang ordne die Eintragseinheit zu.	Im laufenden Gang ordne die Eintragseinheit zu.	Im laufenden Gang ordne die Eintragseinheit zu.	UNCHANGED_NON_SCOPE_EVENT	NONE	NONE	EVENT_ID_KEYED_EDITION__GDT578_SOURCE_ROUNDTRIP_EXACT
