parallel_id	portable_core_reading_de	register_count	registers	global_statement_id	physical_page	register	owner_de	surface_sequence	imperative_reading_de
EXACT-001	HALTEN · GRAD I · SCHLUSS	2	HERBAL|BIOLOGICAL	G407-S137	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	shedy	Halte den Stationsanteil [wie zuvor]; auf Grad I; schließe den Schritt.
EXACT-001	HALTEN · GRAD I · SCHLUSS	2	HERBAL|BIOLOGICAL	G407-S222	f76r	BIOLOGICAL	unbebilderter Textabschnitt A4	shedy	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.
EXACT-001	HALTEN · GRAD I · SCHLUSS	2	HERBAL|BIOLOGICAL	G407-S229	f76r	BIOLOGICAL	unbebilderter Textabschnitt A5	shedy	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.
EXACT-001	HALTEN · GRAD I · SCHLUSS	2	HERBAL|BIOLOGICAL	G407-S233	f76r	BIOLOGICAL	unbebilderter Textabschnitt A5	dshedy	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.
EXACT-001	HALTEN · GRAD I · SCHLUSS	2	HERBAL|BIOLOGICAL	G407-S251	f76r	BIOLOGICAL	unbebilderter Textabschnitt A7	shedy	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.
EXACT-001	HALTEN · GRAD I · SCHLUSS	2	HERBAL|BIOLOGICAL	G407-S260	f76r	BIOLOGICAL	unbebilderter Textabschnitt A8	shedy	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.
EXACT-001	HALTEN · GRAD I · SCHLUSS	2	HERBAL|BIOLOGICAL	G407-S330	f77r	BIOLOGICAL	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	shedy	Halte den Stationswert [wie zuvor]; auf Grad I; schließe den Schritt.
EXACT-001	HALTEN · GRAD I · SCHLUSS	2	HERBAL|BIOLOGICAL	G407-S418	f81r	BIOLOGICAL	F81R_LOWER_POOL	shedy	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.
EXACT-001	HALTEN · GRAD I · SCHLUSS	2	HERBAL|BIOLOGICAL	G407-S438	f81r	BIOLOGICAL	F81R_LOWER_POOL	shedy	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.
EXACT-001	HALTEN · GRAD I · SCHLUSS	2	HERBAL|BIOLOGICAL	G407-S525	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	shedy	Halte den Stationsanteil [wie zuvor]; auf Grad I; schließe den Schritt.
EXACT-001	HALTEN · GRAD I · SCHLUSS	2	HERBAL|BIOLOGICAL	G407-S590	f83r	BIOLOGICAL	Variantenatlas lokaler Becken und Anwendungen	shedy	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.
EXACT-001	HALTEN · GRAD I · SCHLUSS	2	HERBAL|BIOLOGICAL	G407-S625	f83r	BIOLOGICAL	Variantenatlas lokaler Becken und Anwendungen	shedy	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.
EXACT-001	HALTEN · GRAD I · SCHLUSS	2	HERBAL|BIOLOGICAL	G407-S703	f95v	HERBAL	F95V_WHOLE_PLANT	shedy	Halte den Pflanzenposten [wie zuvor]; auf Grad I; schließe den Schritt.
EXACT-002	SETZEN · BEARBEITEN · SCHLUSS	2	HERBAL|BIOLOGICAL	G407-S093	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	qokchdy	Setze den Stationsposten [wie zuvor] im Stationsgang an und bearbeite den Stationsposten [wie zuvor]; schließe den Schritt.
EXACT-002	SETZEN · BEARBEITEN · SCHLUSS	2	HERBAL|BIOLOGICAL	G407-S111	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	okchdy	Setze die Stationseinheit [wie zuvor] im Stationsgang an und bearbeite die Stationseinheit [wie zuvor]; schließe den Schritt.
EXACT-002	SETZEN · BEARBEITEN · SCHLUSS	2	HERBAL|BIOLOGICAL	G407-S645	f83r	BIOLOGICAL	Variantenatlas lokaler Becken und Anwendungen	qokchdy	Setze den Stationsposten [wie zuvor] im Stationsgang an und bearbeite den Stationsposten [wie zuvor]; schließe den Schritt.
EXACT-002	SETZEN · BEARBEITEN · SCHLUSS	2	HERBAL|BIOLOGICAL	G407-S708	f95v	HERBAL	F95V_WHOLE_PLANT	okchedy	Setze den Arbeitswert [wie zuvor] im Arbeitsgang an und bearbeite den Arbeitswert [wie zuvor]; schließe den Schritt.
EXACT-003	SETZEN · GRAD I · SCHLUSS	2	BIOLOGICAL|PHARMA	G407-S104	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	qokedy	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.
EXACT-003	SETZEN · GRAD I · SCHLUSS	2	BIOLOGICAL|PHARMA	G407-S105	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	qokedy	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.
EXACT-003	SETZEN · GRAD I · SCHLUSS	2	BIOLOGICAL|PHARMA	G407-S106	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	qokedy	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.
EXACT-003	SETZEN · GRAD I · SCHLUSS	2	BIOLOGICAL|PHARMA	G407-S107	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	qokedy	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.
EXACT-003	SETZEN · GRAD I · SCHLUSS	2	BIOLOGICAL|PHARMA	G407-S150	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	qokedy	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.
