component_recipe	portable_core_reading_de	register_count	registers	portability_tier	event_count	page_count	surface_count	surfaces	inherited_action_event_count	inherited_argument_event_count	context_bound_event_count	context_mode	source_section_t_example	herbal_example	biological_example	celestial_example	pharma_example
AIIN	WERT	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	ALL_FIVE_REGISTERS	155	20	2	aiin|daiin	154	0	154	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	Im laufenden Gang lege den Kennwert fest.	Im laufenden Gang setze den Arbeitswert im Arbeitsgang an.	Im laufenden Gang setze den Stationswert im Stationsgang an.	Im laufenden Gang setze den Positionswert ein.	Im laufenden Gang setze den Mengenwert als Ansatz an.
AIN	ANTEIL	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	ALL_FIVE_REGISTERS	63	15	3	ain|dain|dan	63	0	63	FULLY_CONTEXT_BOUND	Im laufenden Gang lege den Teilwert fest.	Im laufenden Gang stelle den Materialanteil ein.	Im laufenden Gang halte den Stationsanteil.	Im laufenden Gang wähle den Sektoranteil.	Im laufenden Gang gib den Drogenanteil zu.
AIR	BAHN	2	CELESTIAL|PHARMA	TWO_REGISTERS	5	3	1	air	4	4	4	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	NONE	NONE	NONE	Im laufenden Gang wähle den Positionswert [wie zuvor]; entlang der Ringbahn.	Im laufenden Gang nimm den Drogenposten [wie zuvor]; entlang der Transferbahn.
AL	ZIELORT	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	ALL_FIVE_REGISTERS	75	18	3	al|cheal|dal	75	72	75	FULLY_CONTEXT_BOUND	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; zur Zielspalte.	Im laufenden Gang stelle die Arbeitseinheit [wie zuvor] ein; zur Zielstelle.	Im laufenden Gang wähle den Stationsanteil [wie zuvor]; zur Zielstation.	Im laufenden Gang setze den Positionswert [wie zuvor] ein; zur Zielposition.	Im laufenden Gang nimm die Ansatzeinheit [wie zuvor]; zum Zielgefäß.
AL+AIIN	ZIELORT · WERT	3	BIOLOGICAL|CELESTIAL|PHARMA	THREE_REGISTERS	6	4	4	alaiin|chalaiin|dalaiin|daldaiin	6	0	6	FULLY_CONTEXT_BOUND	NONE	NONE	Im laufenden Gang setze den Stationswert im Stationsgang an; zur Zielstation.	Im laufenden Gang wähle den Positionswert; zur Zielposition.	Im laufenden Gang setze den Mengenwert als Ansatz an; zum Zielgefäß.
AL+AL	ZIELORT · ZIELORT	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	2	2	2	dalal|daldal	2	2	2	FULLY_CONTEXT_BOUND	NONE	NONE	Im laufenden Gang bearbeite den Stationsposten [wie zuvor]; zur Zielstation [außen] und zur Zielstation [innen].	NONE	Im laufenden Gang nimm den Drogenanteil [wie zuvor]; zum Zielgefäß [außen] und zum Zielgefäß [innen].
AL+CHD+DY	ZIELORT · BEARBEITEN · SCHLUSS	3	BIOLOGICAL|CELESTIAL|PHARMA	THREE_REGISTERS	5	5	4	alchdy|dalchdy|dalchedy|dalchom	0	5	5	FULLY_CONTEXT_BOUND	NONE	NONE	Bearbeite den Stationsposten [wie zuvor]; zur Zielstation; schließe den Schritt.	Bearbeite den Positionsposten [wie zuvor]; zur Zielposition; schließe den Schritt.	Bearbeite den Mengenwert [wie zuvor]; zum Zielgefäß; schließe den Schritt.
AL+DY	ZIELORT · SCHLUSS	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	4	4	1	daldy	4	4	4	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang nimm den Pflanzenposten [wie zuvor]; zur Zielstelle; schließe den Schritt.	Im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; zur Zielstation; schließe den Schritt.	NONE	NONE
AL+D_ADDR+Y	ZIELORT · HIER · POSTEN	2	HERBAL|CELESTIAL	TWO_REGISTERS	2	2	1	aldy	2	0	2	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang nimm den Pflanzenposten; zur Zielstelle; an der bezeichneten Stelle.	NONE	Im laufenden Gang wähle den Positionsposten; zur Zielposition; an der bezeichneten Stelle.	NONE
AL+OR	ZIELORT · EINHEIT	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	3	3	2	alor|chealor	3	0	3	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang bearbeite die Arbeitseinheit; zur Zielstelle.	Im laufenden Gang bearbeite die Stationseinheit; zur Zielstation.	NONE	NONE
