root	total_mention_count	cross_register_mention_count	cross_register_share	cross_register_recipe_type_count	all_five_recipe_type_count	supported_register_count	supported_registers	status
Y	1611	1076	0.667908	100	7	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_CORE_HAS_CROSS_REGISTER_RECIPE_SUPPORT
OK	774	661	0.854005	35	3	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_CORE_HAS_CROSS_REGISTER_RECIPE_SUPPORT
OL	688	484	0.703488	45	2	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_CORE_HAS_CROSS_REGISTER_RECIPE_SUPPORT
OT	363	291	0.801653	28	0	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_CORE_HAS_CROSS_REGISTER_RECIPE_SUPPORT
AL	352	237	0.673295	26	1	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_CORE_HAS_CROSS_REGISTER_RECIPE_SUPPORT
CH	843	440	0.521945	72	2	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_CORE_HAS_CROSS_REGISTER_RECIPE_SUPPORT
SH	631	369	0.584786	37	1	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_CORE_HAS_CROSS_REGISTER_RECIPE_SUPPORT
AR	323	220	0.681115	19	2	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_CORE_HAS_CROSS_REGISTER_RECIPE_SUPPORT
K	492	225	0.457317	46	2	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_CORE_HAS_CROSS_REGISTER_RECIPE_SUPPORT
AIIN	432	365	0.844907	26	2	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_CORE_HAS_CROSS_REGISTER_RECIPE_SUPPORT
S	306	167	0.545752	24	1	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_CORE_HAS_CROSS_REGISTER_RECIPE_SUPPORT
CHD	301	153	0.508306	11	1	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_CORE_HAS_CROSS_REGISTER_RECIPE_SUPPORT
OR	266	178	0.669173	27	1	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_CORE_HAS_CROSS_REGISTER_RECIPE_SUPPORT
L	270	85	0.314815	9	0	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	LIMITED_CROSS_REGISTER_SUPPORT
T	296	129	0.435811	28	1	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_CORE_HAS_CROSS_REGISTER_RECIPE_SUPPORT
AIN	240	202	0.841667	13	1	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_CORE_HAS_CROSS_REGISTER_RECIPE_SUPPORT
R	114	62	0.543860	10	1	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_CORE_HAS_CROSS_REGISTER_RECIPE_SUPPORT
P	160	26	0.162500	10	0	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_CORE_HAS_CROSS_REGISTER_RECIPE_SUPPORT
AIR	43	26	0.604651	7	0	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_CORE_HAS_CROSS_REGISTER_RECIPE_SUPPORT
