component_recipe	portable_core_reading_de	portability_tier	global_running_event_id	global_statement_id	physical_page	register	owner_de	surface	imperative_clause_de
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0036	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	daiin	Im laufenden Gang lege den Kennwert fest.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0065	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	daiin	Im laufenden Gang wähle den Kennwert.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0087	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	daiin	Im laufenden Gang ordne den Kennwert zu.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0107	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	daiin	Im laufenden Gang ordne den Kennwert zu.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0185	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	daiin	Im laufenden Gang trage den Kennwert ein.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0188	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	daiin	Im laufenden Gang lege den Kennwert fest.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0193	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	daiin	Im laufenden Gang trage den Kennwert ein.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0231	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	daiin	Im laufenden Gang setze den Arbeitswert im Arbeitsgang an.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0236	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	daiin	Im laufenden Gang stelle den Arbeitswert ein.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0250	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	aiin	Im laufenden Gang gib den Arbeitswert zu.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0272	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	daiin	Im laufenden Gang stelle den Arbeitswert ein.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0283	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	daiin	Im laufenden Gang nimm den Arbeitswert.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0304	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	daiin	Im laufenden Gang stelle den Arbeitswert ein.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0319	G407-S011	f11r	HERBAL	blühender dreikroniger Sodenstock	daiin	Im laufenden Gang halte den Arbeitswert.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0323	G407-S011	f11r	HERBAL	blühender dreikroniger Sodenstock	daiin	Im laufenden Gang gib den Arbeitswert zu.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0332	G407-S011	f11r	HERBAL	blühender dreikroniger Sodenstock	daiin	Im laufenden Gang nimm den Arbeitswert.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0338	G407-S011	f11r	HERBAL	blühender dreikroniger Sodenstock	daiin	Im laufenden Gang gib den Arbeitswert zu.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0344	G407-S011	f11r	HERBAL	blühender dreikroniger Sodenstock	daiin	Im laufenden Gang gib den Arbeitswert zu.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0349	G407-S011	f11r	HERBAL	blühender dreikroniger Sodenstock	daiin	Im laufenden Gang nimm den Arbeitswert.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0361	G407-S011	f11r	HERBAL	blühender dreikroniger Sodenstock	daiin	Im laufenden Gang wähle den Arbeitswert.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0383	G407-S012	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	daiin	Im laufenden Gang gib den Arbeitswert zu.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0410	G407-S013	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	daiin	Im laufenden Gang nimm den Arbeitswert.
AIIN	WERT	ALL_FIVE_REGISTERS	G407-E0432	G407-S014	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	daiin	Im laufenden Gang setze den Arbeitswert im Arbeitsgang an.
