surface	remainder	actual_root	surface_exact_occurrences	eligible_roots	eligible_root_count	rank_order	actual_root_rank	actual_root_normalized_rank	actual_root_distance	candidate_distances	is_sal_target
airal	al	air	2	air|kar|lor|sal|sar|sor|tar	7	air|lor|kar|sar|tar|sal|sor	1	0.000000000000	0.366571208373	air:0.366571208373|lor:0.390725108225|kar:0.396219058719|sar:0.468924276781|tar:0.471542262451|sal:0.483049418114|sor:0.596458280282	0
karal	al	kar	1	air|kar|lor|sal|sar|sor|tar	7	kar|air|lor|tar|sal|sar|sor	1	0.000000000000	0.337483378300	kar:0.337483378300|air:0.377338728191|lor:0.421063764278|tar:0.477337098928|sal:0.478379809224|sar:0.518993792803|sor:0.585357400536	0
loral	al	lor	1	air|kar|lor|sal|sar|sor|tar	7	kar|lor|air|sal|tar|sar|sor	2	0.166666666667	0.426940321583	kar:0.379803690263|lor:0.426940321583|air:0.431962891906|sal:0.450928580799|tar:0.484919667874|sar:0.493445910351|sor:0.583781770284	0
salal	al	sal	1	air|kar|lor|sal|sar|sor|tar	7	sor|sar|tar|sal|lor|air|kar	4	0.500000000000	0.557729427859	sor:0.323781254926|sar:0.409728692824|tar:0.463132280178|sal:0.557729427859|lor:0.561154916512|air:0.574530614587|kar:0.613393588649	1
saral	al	sar	2	air|kar|lor|sal|sar|sor|tar	7	sor|sar|tar|sal|lor|kar|air	2	0.166666666667	0.421389862342	sor:0.323833700147|sar:0.421389862342|tar:0.442660243797|sal:0.506363730065|lor:0.538275111132|kar:0.549454947924|air:0.589371451060	0
soral	al	sor	3	air|kar|lor|sal|sar|sor|tar	7	sor|sar|tar|sal|lor|air|kar	1	0.000000000000	0.347625742216	sor:0.347625742216|sar:0.438666827000|tar:0.476179782619|sal:0.549459655304|lor:0.572885839910|air:0.601740522885|kar:0.603080753336	0
taral	al	tar	2	air|kar|lor|sal|sar|sor|tar	7	sor|tar|sar|sal|kar|lor|air	2	0.166666666667	0.477272727273	sor:0.453781512605|tar:0.477272727273|sar:0.477777777778|sal:0.505411255411|kar:0.513605442177|lor:0.517857142857|air:0.553571428571	0
choar	ar	cho	2	cho|kar|sal|sar|tar	5	kar|cho|sal|sar|tar	2	0.250000000000	0.452703566275	kar:0.431847942307|cho:0.452703566275|sal:0.500272202545|sar:0.514360383884|tar:0.528406231815	0
karar	ar	kar	1	cho|kar|sal|sar|tar	5	kar|sal|cho|tar|sar	1	0.000000000000	0.416843304088	kar:0.416843304088|sal:0.486628108544|cho:0.501158405087|tar:0.525351584442|sar:0.537967715706	0
salar	ar	sal	1	cho|kar|sal|sar|tar	5	sar|tar|sal|kar|cho	3	0.500000000000	0.596690466820	sar:0.436712819808|tar:0.460967778013|sal:0.596690466820|kar:0.618495629465|cho:0.679306962878	1
sarar	ar	sar	3	cho|kar|sal|sar|tar	5	sar|tar|kar|sal|cho	1	0.000000000000	0.422080098032	sar:0.422080098032|tar:0.441780211531|kar:0.494912784369|sal:0.501445500147|cho:0.522182235754	0
tarar	ar	tar	1	cho|kar|sal|sar|tar	5	sar|tar|kar|sal|cho	2	0.250000000000	0.376552193598	sar:0.349411232506|tar:0.376552193598|kar:0.513053452594|sal:0.523097393227|cho:0.623751407323	0
chodal	dal	cho	4	cho|sal|tol	3	cho|sal|tol	1	0.000000000000	0.494817847496	cho:0.494817847496|sal:0.525785451922|tol:0.592229647190	0
saldal	dal	sal	1	cho|sal|tol	3	cho|tol|sal	3	1.000000000000	0.569067296340	cho:0.366263260549|tol:0.550951693809|sal:0.569067296340	1
toldal	dal	tol	1	cho|sal|tol	3	tol|sal|cho	1	0.000000000000	0.373638883163	tol:0.373638883163|sal:0.494958865089|cho:0.618989502561	0
chodam	dam	cho	1	cho|sal	2	cho|sal	1	0.000000000000	0.342287448002	cho:0.342287448002|sal:0.560821573809	0
saldam	dam	sal	1	cho|sal	2	cho|sal	2	1.000000000000	0.584868162141	cho:0.547510426082|sal:0.584868162141	1
chody	dy	cho	64	cho|lol|sal|tol	4	cho|lol|sal|tol	1	0.000000000000	0.411748772061	cho:0.411748772061|lol:0.487654244037|sal:0.491510884160|tol:0.530817912384	0
loldy	dy	lol	2	cho|lol|sal|tol	4	lol|sal|cho|tol	1	0.000000000000	0.361810501327	lol:0.361810501327|sal:0.439523715822|cho:0.444015151515|tol:0.494055635722	0
saldy	dy	sal	1	cho|lol|sal|tol	4	tol|lol|sal|cho	3	0.666666666667	0.524262101535	tol:0.449099841957|lol:0.484257319741|sal:0.524262101535|cho:0.649097727669	1
toldy	dy	tol	2	cho|lol|sal|tol	4	cho|lol|sal|tol	4	1.000000000000	0.587586487586	cho:0.468279009350|lol:0.530453417550|sal:0.548665620094|tol:0.587586487586	0
chokeedy	keedy	cho	2	cho|sal	2	sal|cho	2	1.000000000000	0.481913522985	sal:0.464388785817|cho:0.481913522985	0
salkeedy	keedy	sal	1	cho|sal	2	sal|cho	1	0.000000000000	0.523097393227	sal:0.523097393227|cho:0.623751407323	1
salo	o	sal	2	sal|sar	2	sar|sal	2	1.000000000000	0.526466192538	sar:0.475351645709|sal:0.526466192538	1
saro	o	sar	1	sal|sar	2	sal|sar	2	1.000000000000	0.510715430954	sal:0.445876201720|sar:0.510715430954	0
airol	ol	air	1	air|sal|sar|tar|tol	5	air|tar|sar|tol|sal	1	0.000000000000	0.337090583479	air:0.337090583479|tar:0.473425690471|sar:0.501232850042|tol:0.540717072463|sal:0.551442064429	0
salol	ol	sal	1	air|sal|sar|tar|tol	5	air|sal|sar|tar|tol	2	0.250000000000	0.445502567418	air:0.383714990817|sal:0.445502567418|sar:0.474475652214|tar:0.503706562797|tol:0.556659470747	1
sarol	ol	sar	3	air|sal|sar|tar|tol	5	tol|sar|tar|sal|air	2	0.250000000000	0.448190636524	tol:0.423483894119|sar:0.448190636524|tar:0.482673289113|sal:0.554510160354|air:0.611480782625	0
tarol	ol	tar	2	air|sal|sar|tar|tol	5	air|tar|sar|sal|tol	2	0.250000000000	0.456377502968	air:0.332152812916|tar:0.456377502968|sar:0.470039968849|sal:0.503357789397|tol:0.558467326324	0
tolol	ol	tol	1	air|sal|sar|tar|tol	5	tol|sar|tar|sal|air	1	0.000000000000	0.357765867290	tol:0.357765867290|sar:0.454173137268|tar:0.502093319139|sal:0.544742414872|air:0.663816328873	0
chotar	tar	cho	9	cho|sal	2	cho|sal	1	0.000000000000	0.427694364229	cho:0.427694364229|sal:0.486684511576	0
saltar	tar	sal	1	cho|sal	2	sal|cho	1	0.000000000000	0.409656865501	sal:0.409656865501|cho:0.488819196676	1
airy	y	air	1	air|cho|kar|lol|lor|sal|sar	7	air|lor|lol|kar|sar|sal|cho	1	0.000000000000	0.391378476322	air:0.391378476322|lor:0.393606988250|lol:0.395124051576|kar:0.413817295705|sar:0.488684005589|sal:0.500712130582|cho:0.541327957757	0
choy	y	cho	8	air|cho|kar|lol|lor|sal|sar	7	cho|kar|air|sal|lor|sar|lol	1	0.000000000000	0.350502777646	cho:0.350502777646|kar:0.473908088321|air:0.497098053236|sal:0.515484272221|lor:0.518840835091|sar:0.546899035709|lol:0.560876332449	0
kary	y	kar	3	air|cho|kar|lol|lor|sal|sar	7	kar|air|lol|lor|cho|sal|sar	1	0.000000000000	0.456540731881	kar:0.456540731881|air:0.470659692941|lol:0.473606262316|lor:0.479282459163|cho:0.480214520929|sal:0.506102459349|sar:0.542001152874	0
loly	y	lol	5	air|cho|kar|lol|lor|sal|sar	7	lol|sal|lor|kar|air|sar|cho	1	0.000000000000	0.332875496240	lol:0.332875496240|sal:0.419037874103|lor:0.420681818182|kar:0.421759717984|air:0.479954777365|sar:0.495859341716|cho:0.508934636792	0
