passage_id	page	target_locus	surface	remainder	stolfi_page_row_count	stolfi_same_locus_present	stolfi_raw_text	stolfi_clean_text	same_locus_whole_count	same_locus_sal_x_count	same_locus_raw_sal_x_separator	page_whole_count	page_sal_x_count	boundary_status
G786-P01	f58r	f58r.39	salol	ol	16	0	NONE	NONE	0	0	NONE	0	0	NO_SAME_LOCUS_ROW
G786-P02	f58v	f58v.9	salal	al	39	1	<:>s,alal.qolaiin.chockhey.tcholy.qokaiin.qokaiin,os.orcheey.olaly<|>	s alal qolaiin chockhey tcholy qokaiin qokaiin os orcheey olaly	0	0	NONE	0	0	ALTERNATE_READING_OR_OTHER_BOUNDARY
G786-P03	f66r	f66r.7	salf	f	56	1	salf<$>	salf	1	0	NONE	1	0	FUSED_WHOLE_AT_SAME_LOCUS
G786-P04	f75r	f75r.52	saldy	dy	53	1	saldy<$>	saldy	1	0	NONE	1	0	FUSED_WHOLE_AT_SAME_LOCUS
G786-P05	f80r	f80r.16	saltar	tar	20	0	NONE	NONE	0	0	NONE	0	0	NO_SAME_LOCUS_ROW
G786-P06	f80v	f80v.7	saly	y	12	1	wolshol.tchey.qokol.shedy.qotshey.saly.kchey.stolwchy<|>	wolshol tchey qokol shedy qotshey saly kchey stolwchy	1	0	NONE	1	0	FUSED_WHOLE_AT_SAME_LOCUS
G786-P07	f81v	f81v.15	salshcthdy	shcthdy	10	1	<:>qokal.chedy.ol.sheey.salshcthdy.qofchedy.r.chedy.ltary<|>	qokal chedy ol sheey salshcthdy qofchedy r chedy ltary	1	0	NONE	1	0	FUSED_WHOLE_AT_SAME_LOCUS
G786-P08	f87r	f87r.11	saldal	dal	1	0	NONE	NONE	0	0	NONE	0	0	NO_SAME_LOCUS_ROW
G786-P09	f89r1	f89r1.25	saldam	dam	27	1	saldam<$>	saldam	1	0	NONE	1	0	FUSED_WHOLE_AT_SAME_LOCUS
G786-P10	f99r	f99r.5	salo	o	40	1	salo<$>	salo	1	0	NONE	1	0	FUSED_WHOLE_AT_SAME_LOCUS
G786-P11	f106v	f106v.17	salar	ar	0	0	NONE	NONE	0	0	NONE	0	0	NO_STOLFI_ROWS_FOR_PAGE
G786-P12	f111r	f111r.29	salkeedy	keedy	0	0	NONE	NONE	0	0	NONE	0	0	NO_STOLFI_ROWS_FOR_PAGE
G786-P13	f116r	f116r.3	saly	y	0	0	NONE	NONE	0	0	NONE	0	0	NO_STOLFI_ROWS_FOR_PAGE
G786-P14	f116r	f116r.23	salo	o	0	0	NONE	NONE	0	0	NONE	0	0	NO_STOLFI_ROWS_FOR_PAGE
