entry	remainder	preferred_working_default_de	drug_composite_rival_de	learned_whole_rival_de	salt_rival_de	preferred_mechanism	independent_remainder_role	surface_confidence	working_confidence	reader_exact_occurrences	positive_evidence_de	counterevidence_de	scope	replaceable	portable_sal_root_used	portable_remainder_used	default_is_translation	confirmed_lexeme	confirmed_plaintext	specific_substance_confirmed	component_export_credit
salal	al	Drogenmaterial I	Droge, Materialklasse I	gelernter Arzneidrogenname	Salz, Materialklasse I	LEARNED_WHOLE_WITH_COMPOSITE_RIVAL	MATERIAL_I_C1	C2_OBSERVED_COMPLETE_WHOLE	C0_REPLACEABLE_WHOLE	1	Initiales Namensfeld vor Qualitäts- und Gradfeldern; al besitzt eine Material-I-Ganzwortrolle.	Stolfi schreibt s,alal statt sal.al; der interne Schnitt wird gerade nicht bestätigt.	OBSERVED_COMPLETE_WHOLE_SALAL_ONLY	1	0	0	0	0	0	0	0
salar	ar	Drogenanteil I	Drogenanteil I	benannte Arzneidroge oder Fraktion	Salzanteil I	TIE_DRUG_COMPOSITE_OR_LEARNED_WHOLE	PART_OR_MATERIAL_I_C1	C2_OBSERVED_COMPLETE_WHOLE	C0_REPLACEABLE_WHOLE	1	ar besitzt eine Anteil-I-Ganzwortrolle; die Zeile führt anschließend Wärme- und Gradfelder.	Ein exaktes Vorkommen; ar wurde nicht als gebundenes Suffix bestätigt.	OBSERVED_COMPLETE_WHOLE_SALAR_ONLY	1	0	0	0	0	0	0	0
saldal	dal	abgemessene Rohdroge	abgemessene Rohdroge	benannte abgemessene Drogenform	abgemessenes Rohsalz	FORM_SPECIFIC_DRUG_COMPOSITE	MEASURED_RAW_MATERIAL_W1	C2_OBSERVED_COMPLETE_WHOLE	C1_FORM_SPECIFIC_WHOLE	1	Freies dal steht in derselben Zeile; Maß-/Rohstoffrolle und Feuchtfeld bilden ein direktes lokales Echo.	Ein exaktes Vorkommen; freie sal-Komponente bleibt unbewiesen.	OBSERVED_COMPLETE_WHOLE_SALDAL_ONLY	1	0	0	0	0	0	0	0
saldam	dam	Pflanzendroge	Droge, Maß I	gelernter pflanzengebundener Drogenname	Salz- oder Solemaß I	LEARNED_WHOLE_OWNER_BOUND	MEASURE_W1_WITH_OWNER_NAME_COUNTEREVIDENCE	C2_OBSERVED_COMPLETE_WHOLE	C0_LOCAL_WHOLE	1	GDT585 bindet die vollständige Form lokal an dieselbe dargestellte Pflanze; Blatt- und Wurzelteil bleiben Kontext, nicht Teil der Wörterbuchglosse.	Singleton; die ältere Bildlesung ist kreativ und dam als Maß nur W1; kein sal-dam-Schnitt.	OBSERVED_COMPLETE_WHOLE_SALDAM_ONLY	1	0	0	0	0	0	0	0
saldy	dy	Fertigdroge	fertige Droge	benannte Drogenform	fertiges oder getrocknetes Salz	LEARNED_WHOLE	STRUCTURAL_ONLY_NOT_SUFFIX_EXPORTABLE	C2_OBSERVED_COMPLETE_WHOLE	C0_LOCAL_WHOLE	1	Singleton-Zeile und ältere ownerlokale Karte geben der Ganzform eine Abschluss-/Fertigfunktion.	Freies dy hat nur positionsgebundene Strukturwerte, keinen portablen Suffixwert.	OBSERVED_COMPLETE_WHOLE_SALDY_ONLY	1	0	0	0	0	0	0	0
salf	f	Drogenname	Droge besonderer Form	Randkennzeichen einer Arzneidroge	Salz besonderer Form	LEARNED_LOCAL_MARK	NONE	C2_OBSERVED_COMPLETE_WHOLE	C0_LOCAL_WHOLE	1	Singleton in der bereits kartierten f66r-Randkennungszone; als Ganzwort ist eine kurze Benennung die sparsamste konkrete Anzeige.	f besitzt keine zulässige Restbedeutung und keine same-remainder Kontrollform.	OBSERVED_COMPLETE_WHOLE_SALF_ONLY	1	0	0	0	0	0	0	0
salkeedy	keedy	erhitzte Fertigdroge	erhitzte Fertigdroge	benannte erhitzte Drogenform	erhitztes Fertigsalz	FORM_SPECIFIC_DRUG_COMPOSITE	HOT_END_CLOSE_W3	C2_OBSERVED_COMPLETE_WHOLE	C1_FORM_SPECIFIC_WHOLE	1	keedy ist der stärkste Restwert; direktes salkeedy/lkeedy und die folgende Qualitätsreihe stützen Hitze plus Endstufe.	Ein exaktes Vorkommen; lkeedy-Stoffidentität und sal-Komponente bleiben offen.	OBSERVED_COMPLETE_WHOLE_SALKEEDY_ONLY	1	0	0	0	0	0	0	0
salo	o	Arzneidroge	Drogenansatz	gelernter Arzneidrogen- oder Zubereitungsname	Salzansatz	LEARNED_WHOLE	NO_PORTABLE_O_ROLE	C2_OBSERVED_COMPLETE_WHOLE	C0_REPLACEABLE_WHOLE	2	Zwei geschlossene Vorkommen in nominal passenden Feldern; eines ist eine Singleton-Zeile.	Die zwei Außenfelder sind geometrisch unähnlich; o=Ansatzwasser ist W0 und nicht exportierbar.	OBSERVED_COMPLETE_WHOLE_SALO_ONLY	1	0	0	0	0	0	0	0
salol	ol	Drogenzubereitung	Drogenzubereitung	benannte Arzneizubereitung	Salzansatz oder Salzlösung	TIE_DRUG_COMPOSITE_OR_LEARNED_WHOLE	CONTEXTUAL_PREPARATION_OR_FIELD	C2_OBSERVED_COMPLETE_WHOLE	C0_REPLACEABLE_WHOLE	1	ol besitzt eine korrigierte kontextuelle Ansatz-/Zubereitungsrolle; die umgebende Zeile enthält Feuchte, Hitze und Maß.	Ein exaktes Vorkommen; ol ist kein universeller Ansatzkopf und kein freies Suffix.	OBSERVED_COMPLETE_WHOLE_SALOL_ONLY	1	0	0	0	0	0	0	0
salshcthdy	shcthdy	feuchte Fertigdroge	Droge in komplexer Feuchtform	gelernte komplexe Arzneizubereitung	feuchte Salzzubereitung	LEARNED_WHOLE	NONE	C2_OBSERVED_COMPLETE_WHOLE	C0_REPLACEABLE_WHOLE	1	Die vollständige Form liegt zwischen Feucht- und Trocken-/Zubereitungsfeldern.	shcthdy selbst ist ein Singleton ohne Kontrollfamilie; Feuchte ist eine Ganzwort-/Feldlesung, keine interne Zerlegung.	OBSERVED_COMPLETE_WHOLE_SALSHCTHDY_ONLY	1	0	0	0	0	0	0	0
