occurrence_id	surface	remainder	cohort	page	physical_folio	locus	register	line_pos	ordinal_over_length	paragraph_start_end_line	true_paragraph_start_end	left_signature	right_signature	same_x_control_surfaces	written_line_eva	target_ordinal	reader_exact_target	preferred_mechanism	practical_default_de	working_confidence	default_is_translation	confirmed_lexeme	confirmed_plaintext	specific_substance_confirmed	component_export_credit
G786-O001	salal	al	PRIMARY	f58v	f58	f58v.9	S|A|3	FIRST	1/8	0/0	0/0	EDGE/0/0	EXACT/6+/3-5	airal|karal|loral|saral|soral|taral	salal qolaiin chockhey tcholy qokaiin qokaiinos orcheey olaly	1	1	LEARNED_WHOLE_WITH_COMPOSITE_RIVAL	Drogenmaterial I	C0_REPLACEABLE_WHOLE	0	0	0	0	0
G786-O002	salar	ar	PRIMARY	f106v	f106	f106v.17	S|B|3	FIRST	1/5	0/1	0/0	EDGE/0/0	NONEXACT/6+/0	choar|karar|sarar|tarar	salar sheodar okain qodaiin chodal	1	1	TIE_DRUG_COMPOSITE_OR_LEARNED_WHOLE	Drogenanteil I	C0_REPLACEABLE_WHOLE	0	0	0	0	0
G786-O003	saldal	dal	PRIMARY	f87r	f87	f87r.11	H|A|1	MIDDLE	4/6	1/0	0/0	EXACT/4/6-15	EXACT/4/46+	chodal|toldal	psheodshy dal shee saldal shol aldy	4	1	FORM_SPECIFIC_DRUG_COMPOSITE	abgemessene Rohdroge	C1_FORM_SPECIFIC_WHOLE	0	0	0	0	0
G786-O004	saldam	dam	PRIMARY	f89r1	f89	f89r1.25	P|A|1	SINGLE	1/1	0/0	0/0	EDGE/0/0	EDGE/0/0	chodam	saldam	1	1	LEARNED_WHOLE_OWNER_BOUND	Pflanzendroge	C0_LOCAL_WHOLE	0	0	0	0	0
G786-O005	saldy	dy	PRIMARY	f75r	f75	f75r.52	B|B|2	SINGLE	1/1	0/0	0/0	EDGE/0/0	EDGE/0/0	chody|loldy|toldy	saldy	1	1	LEARNED_WHOLE	Fertigdroge	C0_LOCAL_WHOLE	0	0	0	0	0
G786-O006	salf	f	SENSITIVITY_ONLY	f66r	f66	f66r.7	T|B|5	SINGLE	1/1	0/0	0/0	EDGE/0/0	EDGE/0/0	NONE	salf	1	1	LEARNED_LOCAL_MARK	Drogenname	C0_LOCAL_WHOLE	0	0	0	0	0
G786-O007	salkeedy	keedy	PRIMARY	f111r	f111	f111r.29	S|B|3	FIRST	1/13	0/0	0/0	EDGE/0/0	EXACT/6+/16-45	chokeedy	salkeedy lkeedy chckhy rky chey okeeo chr al ar qokeedy qokedy qoteedy qod	1	1	FORM_SPECIFIC_DRUG_COMPOSITE	erhitzte Fertigdroge	C1_FORM_SPECIFIC_WHOLE	0	0	0	0	0
G786-O008	salo	o	PRIMARY	f99r	f99	f99r.5	P|A|1	SINGLE	1/1	0/0	0/0	EDGE/0/0	EDGE/0/0	saro	salo	1	1	LEARNED_WHOLE	Arzneidroge	C0_REPLACEABLE_WHOLE	0	0	0	0	0
G786-O009	salo	o	PRIMARY	f116r	f116	f116r.23	S|B|3	MIDDLE	12/13	0/0	0/0	EXACT/3/6-15	EXACT/2/1	saro	dain cheeteey lkar shedy qokal shedy qoteedy ches ain ain aly salo lm	12	1	LEARNED_WHOLE	Arzneidroge	C0_REPLACEABLE_WHOLE	0	0	0	0	0
G786-O010	salol	ol	PRIMARY	f58r	f58	f58r.39	S|A|3	MIDDLE	8/9	0/0	0/0	EXACT/6+/16-45	NONEXACT/5/3-5	airol|sarol|tarol|tolol	dtshol dytal okar olol sheol qockhy qokaly salol dalam	8	1	TIE_DRUG_COMPOSITE_OR_LEARNED_WHOLE	Drogenzubereitung	C0_REPLACEABLE_WHOLE	0	0	0	0	0
G786-O011	salshcthdy	shcthdy	SENSITIVITY_ONLY	f81v	f81	f81v.15	B|B|2	MIDDLE	5/9	0/0	0/0	EXACT/5/46+	NONEXACT/6+/3-5	NONE	qokal chedy ol sheey salshcthdy qofchedy r chedy ltary	5	1	LEARNED_WHOLE	feuchte Fertigdroge	C0_REPLACEABLE_WHOLE	0	0	0	0	0
G786-O012	saltar	tar	PRIMARY	f80r	f80	f80r.16	B|B|2	MIDDLE	9/11	0/0	0/0	NONEXACT/6+/46+	EXACT/6+/6-15	chotar	solchedy qokeedy qokar ol chedy qokain shecthy qokeedy saltar chkain oty	9	1	FORM_SPECIFIC_DRUG_COMPOSITE	kalter Drogenanteil I	C0_FORM_SPECIFIC_WHOLE	0	0	0	0	0
G786-O013	saly	y	PRIMARY	f80v	f80	f80v.7	B|B|2	MIDDLE	6/8	1/0	0/0	EXACT/6+/2	EXACT/5/16-45	airy|choy|kary|loly|lory|sary	polshol tchey qokol shedy qotshey saly kchey stolpchy	6	1	LEARNED_WHOLE	Arzneidroge	C0_REPLACEABLE_WHOLE	0	0	0	0	0
G786-O014	saly	y	PRIMARY	f116r	f116	f116r.3	S|B|3	LAST	9/9	0/1	0/1	EXACT/2/16-45	EDGE/0/0	airy|choy|kary|loly|lory|sary	dain chl lshey cthy lshedy oteor shey qo saly	9	1	LEARNED_WHOLE	Arzneidroge	C0_REPLACEABLE_WHOLE	0	0	0	0	0
