surface	remainder	reader_stable_n	current_independent_role	provenance_class	default_de	rank	rank_label	compositional_candidate	evidence_report_ids	retired_interpretations	rival_1_de	rival_2_de	rank_is_probability	portable_remainder_export	default_is_translation	confirmed_lexeme	confirmed_plaintext	specific_substance_confirmed	component_export_credit
salal	al	167	MATERIAL_I_WHOLE_ROLE	FAMILY_BORN_LATER_ROLE_CARRIED	Drogenmaterial I	5	MEDIUM	1	GDT655|GDT712|GDT761|GDT785	Rohstoffklasse I or Rohdroge as an identified substance || free A|L component split	Arzneizutat, Materialstufe I	eigenständiger Drogenname	0	0	0	0	0	0	0
salar	ar	242	PART_SHARE_I_WHOLE_ROLE	LATER_MULTIWHOLE_ROLE_CARRIED	Drogenanteil I	2	MEDIUM_HIGH	1	GDT693|GDT758|GDT759|GDT785	Drogenfraktion as a necessarily separated product || Droge supplied independently by ar; circular inside sal+ar	Drogenfraktion I	Drogenklasse I	0	0	0	0	0	0	0
saldal	dal	147	MEASURED_MATERIAL_I_WHOLE_ROLE	FAMILY_BORN_LATER_ROLE_CARRIED	abgemessenes Drogenmaterial I	4	MEDIUM	1	GDT655|GDT711|GDT764|GDT785	Rohdroge as an identified material || Dosis or a named historical unit || free D|AL component split	Drogenposten mit Messwert I	Drogenmaterial I ohne Messbehauptung	0	0	0	0	0	0	0
saldam	dam	37	MEASURE_I_FAMILY_ROLE_ONLY	SOURCE_COMPOSED_WEAK	abgemessene Drogenmenge I	7	LOW	0	GDT661|GDT711|GDT785	Dosis I || identified historical measure unit || portable D+AM component semantics	Drogenmaß I	eigenständiger Drogenname	0	0	0	0	0	0	0
saldy	dy	149	STRUCTURAL_BOUNDARY_OR_ENDPOINT_ONLY	STRUCTURAL_ONLY_NOT_SUFFIX_EXPORTABLE	Drogenposten, abgeschlossen	9	LOW	0	GDT687|GDT725|GDT785	free dy as a spoken closing command || owner-local S+AL+DY target-and-close composition as a portable word	Fertigdroge	lokales Ziel- oder Abschlusskennzeichen	0	0	0	0	0	0	0
salf	f	4	NONE	RETIRED_OWNER_LOCAL_MARK	Drogenkennzeichen	11	VERY_LOW	0	GDT515|GDT539|GDT734|GDT785	LOCAL_CHAR_F equals hier || LOCAL_CHAR_F equals Feinform || S+AL+LOCAL_CHAR_F address composition as portable semantics	Drogenname	fein zerkleinerte Droge	0	0	0	0	0	0	0
salkeedy	keedy	22	HOT_END_STAGE_CLOSED_EXACT_WHOLE_ROLE	STRONG_LEARNED_WHOLE_FAMILY_ROLE	heiße Fertigdroge am Gradende	1	HIGH	1	GDT647|GDT785	global dy, edy, or eedy suffix export || specific preparation or substance identity supplied by keedy	heiße Droge am Gradende, noch nicht fertig	heißes Fertigpräparat	0	0	0	0	0	0	0
salo	o	33	NO_PORTABLE_ROLE__LOW_PREPARATION_FRAME_RIVAL	RETIRED_IDENTITY_WEAK_ROLE_RIVAL	Drogenansatz	8	LOW	0	GDT664|GDT737|GDT738|GDT785	Ansatzwasser || water or liquid identity || unconditional preparation-carrier transfer	Drogenposten	flüssige Drogenzubereitung	0	0	0	0	0	0	0
salol	ol	376	PREPARATION_CONTENT_RECORD_HEAD_OR_LINKER	LATER_CONTEXTUAL_ROLE_CARRIED	Drogenzubereitung	3	MEDIUM_HIGH	1	GDT683|GDT711|GDT762|GDT769|GDT773|GDT774|GDT785	universal Ansatz head || oil, water, wine, vinegar, or other specific medium identity || free ol suffix semantics	Drogenansatz	Drogenposten mit Mengen- oder Feldanschluss	0	0	0	0	0	0	0
salshcthdy	shcthdy	1	NONE	RETIRED_SOURCE_COMPOSITION_REOPENED	feuchte Fertigdroge	12	VERY_LOW	0	GDT631|GDT632|GDT633|GDT748|GDT785	SH+CTH+DY as a portable moist plant-part or material expression || bound dy automatically supplying completion	getrocknete Fertigdroge	opaker Drogenname	0	0	0	0	0	0	0
saltar	tar	33	COLD_SHARE_I_PARTIAL_WHOLE_ROLE	PARTIALLY_LATER_CARRIED	kalter Drogenanteil I	6	MEDIUM_LOW	1	GDT693|GDT758|GDT759|GDT785	Droge supplied independently by tar; circular inside sal+tar || Fraktion as a necessarily separated product || cold or share value exported from individual EVA characters	Drogenanteil I ohne Kälte	kalte Drogenklasse I	0	0	0	0	0	0	0
saly	y	84	STRUCTURAL_LINK_OR_STOP_ONLY	STRUCTURAL_ONLY_NOT_SUFFIX_EXPORTABLE	Drogenposten	10	LOW	0	GDT687|GDT725|GDT738|GDT785	global y as a base-form or final-state suffix || owner-local S+AL+Y select-target-item composition as portable semantics || naked y as a universal spoken word	Fertigdroge	Anschluss- oder Zieldrogenposten	0	0	0	0	0	0	0
