surface	remainder	separated_pair	raw_pair_occurrences	raw_pair_coordinates	raw_pairs_with_exact_sal	raw_pairs_with_exact_remainder	reader_exact_pair_occurrences	reader_exact_pair_coordinates	reader_exact_boundary_bridge
salal	al	sal al	0	NONE	0	0	0	NONE	0
salar	ar	sal ar	0	NONE	0	0	0	NONE	0
saldal	dal	sal dal	0	NONE	0	0	0	NONE	0
saldam	dam	sal dam	0	NONE	0	0	0	NONE	0
saldy	dy	sal dy	0	NONE	0	0	0	NONE	0
salf	f	sal f	0	NONE	0	0	0	NONE	0
salkeedy	keedy	sal keedy	0	NONE	0	0	0	NONE	0
salo	o	sal o	0	NONE	0	0	0	NONE	0
salol	ol	sal ol	1	f75v.15:1-2	0	1	0	NONE	0
salshcthdy	shcthdy	sal shcthdy	0	NONE	0	0	0	NONE	0
saltar	tar	sal tar	0	NONE	0	0	0	NONE	0
saly	y	sal y	0	NONE	0	0	0	NONE	0
