passage_id	locus	surface	target_ordinal	historical_preference	focus_display_de	interpretive_note_de	page	physical_folio	written_line_eva	target_focused_line	render_status	portable_component_used	default_is_translation	confirmed_lexeme	confirmed_plaintext	specific_substance_confirmed	component_export_credit
G786-P01	f58r.39	salol	8	TIE	Drogenzubereitung	Droge-Kompositum und gelernte Zubereitung bleiben gleichwertig; Salz gewinnt nichts.	f58r	f58	dtshol dytal okar olol sheol qockhy qokaly salol dalam	dtshol · dytal · okar · olol · sheol · qockhy · qokaly · ⟦salol = Drogenzubereitung⟧ · dalam	CONCRETE_REPLACEABLE_WHOLE_DEFAULT_NOT_PLAINTEXT	0	0	0	0	0	0
G786-P02	f58v.9	salal	1	TIE	Drogenmaterial I	Namensanfang passt, aber Stolfi setzt keinen sal|al-Schnitt.	f58v	f58	salal qolaiin chockhey tcholy qokaiin qokaiinos orcheey olaly	⟦salal = Drogenmaterial I⟧ · qolaiin · chockhey · tcholy · qokaiin · qokaiinos · orcheey · olaly	CONCRETE_REPLACEABLE_WHOLE_DEFAULT_NOT_PLAINTEXT	0	0	0	0	0	0
G786-P03	f66r.7	salf	1	LEARNED_WHOLE	Drogenname	Einzelzeilige Randkennung; f hat keinen Restwert.	f66r	f66	salf	⟦salf = Drogenname⟧	CONCRETE_REPLACEABLE_WHOLE_DEFAULT_NOT_PLAINTEXT	0	0	0	0	0	0
G786-P04	f75r.52	saldy	1	LEARNED_WHOLE	Fertigdroge	Einzelzeilige ownerlokale Abschlusskarte; dy ist nicht suffixfähig.	f75r	f75	saldy	⟦saldy = Fertigdroge⟧	CONCRETE_REPLACEABLE_WHOLE_DEFAULT_NOT_PLAINTEXT	0	0	0	0	0	0
G786-P05	f80r.16	saltar	9	DRUG_COMPOSITE	kalter Drogenanteil I	tar liefert die stärkste Kalt-/Anteil-Lesung; kein besonderes Salzsignal.	f80r	f80	solchedy qokeedy qokar ol chedy qokain shecthy qokeedy saltar chkain oty	solchedy · qokeedy · qokar · ol · chedy · qokain · shecthy · qokeedy · ⟦saltar = kalter Drogenanteil I⟧ · chkain · oty	CONCRETE_REPLACEABLE_WHOLE_DEFAULT_NOT_PLAINTEXT	0	0	0	0	0	0
G786-P06	f80v.7	saly	6	LEARNED_WHOLE	Arzneidroge	Zwischen gegensätzlichen Zustandsfeldern; y bleibt unbestimmt.	f80v	f80	polshol tchey qokol shedy qotshey saly kchey stolpchy	polshol · tchey · qokol · shedy · qotshey · ⟦saly = Arzneidroge⟧ · kchey · stolpchy	CONCRETE_REPLACEABLE_WHOLE_DEFAULT_NOT_PLAINTEXT	0	0	0	0	0	0
G786-P07	f81v.15	salshcthdy	5	LEARNED_WHOLE	feuchte Fertigdroge	Feucht-/Trockenfeld erlaubt diese Ganzwortlesung, aber keine interne Zerlegung.	f81v	f81	qokal chedy ol sheey salshcthdy qofchedy r chedy ltary	qokal · chedy · ol · sheey · ⟦salshcthdy = feuchte Fertigdroge⟧ · qofchedy · r · chedy · ltary	CONCRETE_REPLACEABLE_WHOLE_DEFAULT_NOT_PLAINTEXT	0	0	0	0	0	0
G786-P08	f87r.11	saldal	4	DRUG_COMPOSITE	abgemessene Rohdroge	Freies dal in derselben Zeile liefert das sauberste Restwert-Echo.	f87r	f87	psheodshy dal shee saldal shol aldy	psheodshy · dal · shee · ⟦saldal = abgemessene Rohdroge⟧ · shol · aldy	CONCRETE_REPLACEABLE_WHOLE_DEFAULT_NOT_PLAINTEXT	0	0	0	0	0	0
G786-P09	f89r1.25	saldam	1	LEARNED_WHOLE	Pflanzendroge	Ownergebundene GDT585-Namensstruktur ist der stärkste Kompositionsgegenfall; Blatt und Wurzel bleiben Kontext, nicht Wortbedeutung.	f89r1	f89	saldam	⟦saldam = Pflanzendroge⟧	CONCRETE_REPLACEABLE_WHOLE_DEFAULT_NOT_PLAINTEXT	0	0	0	0	0	0
G786-P10	f99r.5	salo	1	LEARNED_WHOLE	Arzneidroge	Einzelzeilige geschlossene Bezeichnung; o hat keinen portablen Stoffwert.	f99r	f99	salo	⟦salo = Arzneidroge⟧	CONCRETE_REPLACEABLE_WHOLE_DEFAULT_NOT_PLAINTEXT	0	0	0	0	0	0
G786-P11	f106v.17	salar	1	TIE	Drogenanteil I	ar-Anteil und gelernter Fraktionsname bleiben gleichwertig.	f106v	f106	salar sheodar okain qodaiin chodal	⟦salar = Drogenanteil I⟧ · sheodar · okain · qodaiin · chodal	CONCRETE_REPLACEABLE_WHOLE_DEFAULT_NOT_PLAINTEXT	0	0	0	0	0	0
G786-P12	f111r.29	salkeedy	1	DRUG_COMPOSITE	erhitzte Fertigdroge	Stabiler keedy-Restwert und folgende Qualitätsreihe.	f111r	f111	salkeedy lkeedy chckhy rky chey okeeo chr al ar qokeedy qokedy qoteedy qod	⟦salkeedy = erhitzte Fertigdroge⟧ · lkeedy · chckhy · rky · chey · okeeo · chr · al · ar · qokeedy · qokedy · qoteedy · qod	CONCRETE_REPLACEABLE_WHOLE_DEFAULT_NOT_PLAINTEXT	0	0	0	0	0	0
G786-P13	f116r.3	saly	9	LEARNED_WHOLE	Arzneidroge	Nach qo plausibles nominales Objekt, aber kein y-Modifikator.	f116r	f116	dain chl lshey cthy lshedy oteor shey qo saly	dain · chl · lshey · cthy · lshedy · oteor · shey · qo · ⟦saly = Arzneidroge⟧	CONCRETE_REPLACEABLE_WHOLE_DEFAULT_NOT_PLAINTEXT	0	0	0	0	0	0
G786-P14	f116r.23	salo	12	LEARNED_WHOLE	Arzneidroge	Stoff-/Zubereitungsfeld möglich; die o-Bedeutung bleibt offen.	f116r	f116	dain cheeteey lkar shedy qokal shedy qoteedy ches ain ain aly salo lm	dain · cheeteey · lkar · shedy · qokal · shedy · qoteedy · ches · ain · ain · aly · ⟦salo = Arzneidroge⟧ · lm	CONCRETE_REPLACEABLE_WHOLE_DEFAULT_NOT_PLAINTEXT	0	0	0	0	0	0
