remainder	surface	root	reader_exact_occurrences	type_weight
al	airal	air	2	1
al	karal	kar	1	1
al	loral	lor	1	1
al	saral	sar	2	1
al	soral	sor	3	1
al	taral	tar	2	1
ar	choar	cho	2	1
ar	karar	kar	1	1
ar	sarar	sar	3	1
ar	tarar	tar	1	1
dal	chodal	cho	4	1
dal	toldal	tol	1	1
dam	chodam	cho	1	1
dy	chody	cho	64	1
dy	loldy	lol	2	1
dy	toldy	tol	2	1
keedy	chokeedy	cho	2	1
o	saro	sar	1	1
ol	airol	air	1	1
ol	sarol	sar	3	1
ol	tarol	tar	2	1
ol	tolol	tol	1	1
tar	chotar	cho	9	1
y	airy	air	1	1
y	choy	cho	8	1
y	kary	kar	3	1
y	loly	lol	5	1
y	lory	lor	1	1
y	sary	sar	5	1
