line_no	visible_no	text_region	visible_owner	rendered_line	source_position	surface	joint_tuple_id	atomic_value_de	microcycle	visibility_role	source_contribution
1	1	RIGHT_OF_UPPER_IMAGE	H4_LEAF_OWNER	sho  sor  cheoar  cheky	1	sho	2cc054357a929df85f64	Zutat	C1	SOURCE	1
1	2	RIGHT_OF_UPPER_IMAGE	H4_LEAF_OWNER	sho  sor  cheoar  cheky	2	sor	7a4bb8136330ee4e6e56	Ansatz	C1	SOURCE	1
1	3	RIGHT_OF_UPPER_IMAGE	H4_LEAF_OWNER	sho  sor  cheoar  cheky	3	cheoar	807591efc3d3f7ddbfab	Auszugnahme	C1	SOURCE	1
1	4	RIGHT_OF_UPPER_IMAGE	H4_LEAF_OWNER	sho  sor  cheoar  cheky	4	cheky	d904bf7b044dd3922781	Kurzwärme	C1	MARKED_ANTICIPATION	0
2	1	RIGHT_OF_UPPER_IMAGE	H4_LEAF_OWNER	cheky	4	cheky	d904bf7b044dd3922781	Kurzwärme	C1	SOURCE	1
3	1	BELOW_UPPER_IMAGE	H4_LEAF_OWNER	lcheey cphy shcthy	5	lcheey	5fca8fc3dee57e1d8c1f	Klarabzug	C2	SOURCE	1
3	2	BELOW_UPPER_IMAGE	H4_LEAF_OWNER	lcheey cphy shcthy	6	cphy	deb377381ceaf55ea310	Nachseihen	C2	SOURCE	1
3	3	BELOW_UPPER_IMAGE	H4_LEAF_OWNER	lcheey cphy shcthy	7	shcthy	e0b630cb1b5df5e7105b	Bereit	C2	SOURCE	1
4	1	RIGHT_OF_LOWER_IMAGE	B3_MAIN_ARCH_LINKED_PAIR	sy saiin shckhy choky	8	sy	b921a237be883a820352	Diesposten	C3	SOURCE	1
4	2	RIGHT_OF_LOWER_IMAGE	B3_MAIN_ARCH_LINKED_PAIR	sy saiin shckhy choky	9	saiin	2f1c5e56e8f0ff459065	Sollmaß	C3	SOURCE	1
4	3	RIGHT_OF_LOWER_IMAGE	B3_MAIN_ARCH_LINKED_PAIR	sy saiin shckhy choky	10	shckhy	2cc8bb3c2af19607888f	durchleiten	C3	SOURCE	1
4	4	RIGHT_OF_LOWER_IMAGE	B3_MAIN_ARCH_LINKED_PAIR	sy saiin shckhy choky	11	choky	276a7c2d74d1143446f4	Einsetzen	C3	SOURCE	1
5	1	BELOW_LOWER_IMAGE	B3_MAIN_ARCH_LINKED_PAIR	qokeey qokedy talam	12	qokeey	0275fbf14e07935b0a45	Langkontakt	C4	SOURCE	1
5	2	BELOW_LOWER_IMAGE	B3_MAIN_ARCH_LINKED_PAIR	qokeey qokedy talam	13	qokedy	7db18b2f0fb7ed0fcfd3	Kurzkontakt	C4	SOURCE	1
5	3	BELOW_LOWER_IMAGE	B3_MAIN_ARCH_LINKED_PAIR	qokeey qokedy talam	14	talam	e026af581c99322fbd46	Verwahren	C4	SOURCE	1
