source_position	microcycle	visible_owner	controlled_phrase	family_id	joint_tuple_id	surface	registered_surface_palette	atomic_value_de	board_address	surface_registered	value_matches_phrase
1	C1	H4_LEAF_OWNER	BEZUG[Zutat]	B01	2cc054357a929df85f64	sho	cho|sho	Zutat	M1_RAW_PART__S1_BEZUG_FOLGE	YES	YES
2	C1	H4_LEAF_OWNER	BEZUG[Ansatz]	B03	7a4bb8136330ee4e6e56	sor	chor|or|shor|sor	Ansatz	M2_PREPARATION__S1_BEZUG_FOLGE	YES	YES
3	C1	H4_LEAF_OWNER	TRANSFER[Auszugnahme]	T01	807591efc3d3f7ddbfab	cheoar	cheoar	Auszugnahme	M3_CLEAR_EXTRACT__S3_PROZESS_TRANSFER	YES	YES
4	C1	H4_LEAF_OWNER	ZUSTAND[Kurzwärme]	D04	d904bf7b044dd3922781	cheky	cheky	Kurzwärme	M4_MEASURED_PORTION__S4_DAUER_ZUSTAND	YES	YES
5	C2	H4_LEAF_OWNER	TRANSFER[Klarabzug]	T07	5fca8fc3dee57e1d8c1f	lcheey	lcheey	Klarabzug	M3_CLEAR_EXTRACT__S3_PROZESS_TRANSFER	YES	YES
6	C2	H4_LEAF_OWNER	TRANSFER[Nachseihen]	T07	deb377381ceaf55ea310	cphy	cphy	Nachseihen	M1_RAW_PART__S3_PROZESS_TRANSFER	YES	YES
7	C2	H4_LEAF_OWNER	SCHLUSS[Bereit]	A01	e0b630cb1b5df5e7105b	shcthy	checthy|cthy|shcthy	Bereit	M4_MEASURED_PORTION__S6_BEREIT_ABSCHLUSS	YES	YES
8	C3	B3_MAIN_ARCH_LINKED_PAIR	BEZUG[Diesposten]	B05	b921a237be883a820352	sy	chey|chy|dy|shy|sy|y	Diesposten	M4_MEASURED_PORTION__S1_BEZUG_FOLGE	YES	YES
9	C3	B3_MAIN_ARCH_LINKED_PAIR	MASS[Sollmaß]	M01	2f1c5e56e8f0ff459065	saiin	aiin|chaiin|daiin|saiin|taiin	Sollmaß	M4_MEASURED_PORTION__S2_MATERIAL_MASS	YES	YES
10	C3	B3_MAIN_ARCH_LINKED_PAIR	TRANSFER[durchleiten]	T04	2cc8bb3c2af19607888f	shckhy	chckhy|shckhy	durchleiten	M4_MEASURED_PORTION__S3_PROZESS_TRANSFER	YES	YES
11	C3	B3_MAIN_ARCH_LINKED_PAIR	ZIEL[Einsetzen]	Z02	276a7c2d74d1143446f4	choky	choky|oky|qoky	Einsetzen	M4_MEASURED_PORTION__S5_ZIEL_ANWENDUNG	YES	YES
12	C4	B3_MAIN_ARCH_LINKED_PAIR	ZUSTAND[Langkontakt]	D03	0275fbf14e07935b0a45	qokeey	okeey|qokeey	Langkontakt	M4_MEASURED_PORTION__S4_DAUER_ZUSTAND	YES	YES
13	C4	B3_MAIN_ARCH_LINKED_PAIR	ZUSTAND[Kurzkontakt]	D03	7db18b2f0fb7ed0fcfd3	qokedy	qokedy	Kurzkontakt	M4_MEASURED_PORTION__S4_DAUER_ZUSTAND	YES	YES
14	C4	B3_MAIN_ARCH_LINKED_PAIR	SCHLUSS[Verwahren]	A03	e026af581c99322fbd46	talam	talam	Verwahren	M4_MEASURED_PORTION__S6_BEREIT_ABSCHLUSS	YES	YES
