repair_id	scope	affected_events	affected_fields	v49_overreach	v52_r2_repair	prohibited_inference	example_field	example_surface	v49_example	r2_example
R00	ALL_FIELDS	381	135	Every row is rendered as connected modern recipe prose	Render only the ordered card annotations; a field is not a sentence	No conjunction, imperative, subject, object, anaphora, ingredient, vessel, body site, or process may be supplied from genre alone	f10r.2#1	dchey cthoor char chty os chair otytchol oky daiin etyd	Ten connected local recipe phrases	TEIL? | UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN | VERWENDEN? | MASS? | UNKNOWN
R01	UNRESOLVED_EVENTS	236	118	Opaque cards receive specific actions, things, places, or states	Keep each unresolved card UNKNOWN while retaining only independently formal wrappers	No local prose may serve as evidence for the card that generated it	f11r.1#2	shoyty	behalte die Blütenkrone zurück	UNKNOWN
R02	CLOSE	90	90	CLOSE becomes spoken German such as und beende den Schritt; this occurs explicitly in 86 fields	Retain only the formal terminal annotation on the last card	No cooling, heating, waiting, completion verb, or step boundary lexeme follows from CLOSE	f83r.14#1	qokchedy	lasse es abkühlen und beende den Schritt	UNKNOWN {formal terminal}
R03	OK_PAGE_HOST	24	22	SET is expanded as begin a measured batch, give an amount, mix portions, or open a run	Retain the formal SET(<ARG_X>) operation	An argument tag such as ARG_AIIN is not the exact AIIN whole card and therefore is not MASS	f55v.5#1	qokaiin	beginne den nächsten abgemessenen Posten	SET(<ARG_AIIN>)
R04	OT_PAGE_HOST	7	7	MARK is expanded as same duration, lower drain, or locally designated site	Retain the formal MARK(<ARG_X>) operation	The argument class does not identify time, direction, anatomy, or apparatus	f83r.3#2	qotal	zum unteren Ablauf hin	MARK(<ARG_AL>)
R05	L_PAGE_HOST	26	22	LINK is expanded as previous preparation, prepared oil, closing a drain, drawing off, or cooking	Retain LINK and its formal FRAME or CLOSE coordinates only	No linked entities, direction, material, or action is named by LINK	f83r.22#4	ldy	ziehe es ab und beende den Schritt	LINK {formal terminal}
R06	AL_PAGE_HOST	11	11	ZU plus local prose asserts movement to a designated target	Replace with the smaller weak mnemonic AN?	No direction, target site, movement verb, or object is present in the host value	f81v.27#4	chal	An die bezeichnete Zielstelle führen	AN?
R07	E_PAGE_HOST	14	14	BIS supplies waiting, clarity, readiness, and a terminal action	Replace the host value with UNKNOWN and retain any formal CLOSE annotation	No open contrast separates a gate word from terminal structure	f83r.28#2	shedy	lasse es bis zur Bereitschaft stehen und beende den Schritt	UNKNOWN {formal terminal}
R08	OR_PAGE_HOST	8	6	ANSATZ becomes a prepared working liquid or a concrete batch	Replace with the weaker whole-host mnemonic BEREITUNG?	No liquid, vessel, batch, result, or grammatical noun phrase is licensed	f83r.11#1	sor shedy	Die bereitete Arbeitsflüssigkeit ; lasse es bis zur Bereitschaft stehen und beende den Schritt	BEREITUNG? | UNKNOWN {formal terminal}
R09	CHEY_PAGE_HOST	3	3	ANTEIL becomes an imperative to take a designated portion or a named plant part	Replace with the smaller whole-host mnemonic TEIL?	No taking verb, designation, quantity, plant organ, or object is licensed	f83r.26#1	otchey	Nimm den bezeichneten Anteil	FRAME_OT(TEIL?)
R10	AIIN_EXACT_WHOLE_CARD	20	19	MASS is expanded as one prescribed measure of an unstated substance	Keep MASS? only on the exact AIIN tuple	No number, unit, prescription, substance, or dose route is supplied; ARG_AIIN elsewhere does not inherit MASS	f83r.20#5	saiin	Ein vorgeschriebenes Maß	MASS?
R11	EY_EXACT_WHOLE_CARD	4	4	FERTIG becomes a full until-the-liquid-runs-clear clause	Use the selected whole-card mnemonic KLAR?	No BIS, liquid, running action, or completion syntax is contained in EY; E and visible -ey remain unrelated	f83r.39#1	shey	Bis die Flüssigkeit klar abläuft	KLAR?
R12	OKY_EXACT_WHOLE_CARD	10	10	NUTZEN becomes use the active portion	Use the selected whole-card mnemonic VERWENDEN?	No active portion, object, user, route, or tense is supplied; OKY is not OK plus Y	f83r.6#5	qoky	Die aktive Portion verwenden	VERWENDEN?
R13	LCHE_EXACT_WHOLE_CARD	8	8	ABLASS supplies spent liquid, a lower catch vessel, and an explicit final action	Use the indivisible whole-card mnemonic ABLASSEN? while recording its formal terminal coordinate	No liquid quality, destination, apparatus, or separable lexical CLOSE is licensed	f83r.37#2	lchedy	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt	LCHE {mnemonic ABLASSEN?; formal terminal}
R14	OKE_EXACT_WHOLE_CARD	8	8	SPÜLEN supplies a designated site, one repetition, and explicit completion	Keep the indivisible whole-card mnemonic SPÜLEN? while recording its formal terminal coordinate	No site, object, repetition count, or separable E/CLOSE word is licensed; OKE is not OK plus E	f81v.2#1	qokedy	spüle die bezeichnete Stelle einmal und beende den Schritt	OKE {mnemonic SPÜLEN?; formal terminal}
R15	CTHY_EXACT_WHOLE_CARD	7	7	BEREIT becomes a conditional clause about a preparation being ready for use	Keep only the whole-card mnemonic BEREIT?	No sobald, preparation, usability, subject, or finite state syntax is supplied	f83r.14#6	shcthy	Sobald die Zubereitung gebrauchsfertig ist	BEREIT?
R16	OKEEY_EXACT_WHOLE_CARD	7	7	LAUWARM becomes temper and hold a working liquid at a precise temperature	Use the selected whole-card mnemonic WARM?	No tempering action, holding action, liquid, duration, or lukewarm degree is supplied	f83r.20#3	qokeey	temperiere die Arbeitsflüssigkeit und halte sie lauwarm	WARM?
R17	CKHY_EXACT_WHOLE_CARD	4	4	VERBINDUNG supplies connected runs and a through relation	Replace the entire exact-card value with UNKNOWN	No recurrent neighbor pair distinguishes connection, passage, or apparatus	f81v.18#5	chckhy	durch die verbundenen Läufe	UNKNOWN
R18	OLOR_EXACT_WHOLE_CARD	2	2	VORIGES silently supplies a previous batch and an extraction action	Use the smaller temporal whole-card mnemonic ZUVOR?	No antecedent object, batch, extraction, or within-record referent is supplied	f81v.7#1	olor	Aus dem vorigen Ansatz entnehmen	ZUVOR?
