metric	value
context_flag_target_count	12
new_interface_target_count	6
overlap_target_count	2
union_flagged_target_count	16
flagged_target_with_unused_equal_length_anchor_count	0
flagged_unused_equal_length_candidate_count	0
total_unused_equal_length_candidate_count	23
unused_candidate_owner_target_count	20
unused_candidate_clean_owner_count	20
unused_candidate_flagged_owner_count	0
all_flagged_candidate_multiplicity	"{""1"": 16}"
clean_multioption_target_multiplicity	"{""2"": 17, ""3"": 3}"
new_pages	0
card_changes	0
recipe_changes	0
root_meaning_changes	0
