target_ordinal	surface	final_recipe	unused_anchor_recipe	anchor_start_atom	extension_direction	aligned_visible_match_count	all_interfaces_old	old_anchor_event_count	target_has_context_flag	target_has_interface_flag	target_is_flagged	selected_anchor_recipe	ownership_class	guard
9	chctho	CH+CH+T+O	CH+CH+T	1	RIGHT_EXTENSION	1	YES	1	NO	NO	NO	CH+T+O	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
16	chekeody	CH+K+E+O+DY	CH+K	1	RIGHT_EXTENSION	0	YES	1	NO	NO	NO	E+O	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
16	chekeody	CH+K+E+O+DY	O+DY	4	LEFT_EXTENSION	1	YES	5	NO	NO	NO	E+O	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
24	choraiin	CH+OR+AIIN	OR+AIIN	2	LEFT_EXTENSION	1	YES	3	NO	NO	NO	CH+OR	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
26	chory	CH+OR+Y	OR+Y	2	LEFT_EXTENSION	1	YES	3	NO	NO	NO	CH+OR	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
44	dcheol	D_ADDR+CH+E+O+L	D_ADDR+CH+E+O	1	RIGHT_EXTENSION	1	YES	1	NO	NO	NO	CH+E+O+L	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
47	dolarshy	D_ADDR+OL+AR+SH+Y	OL+AR	2	BOTH_SIDES	1	NO	1	NO	NO	NO	D_ADDR+OL	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
47	dolarshy	D_ADDR+OL+AR+SH+Y	SH+Y	4	LEFT_EXTENSION	0	NO	1	NO	NO	NO	D_ADDR+OL	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
48	dsholdaiir	D_ADDR+SH+OL+DA+IIN+R	DA+IIN	4	BOTH_SIDES	0	YES	5	NO	NO	NO	SH+OL	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
50	dytcheey	D_ADDR+Y+T+CH+EE+Y	D_ADDR+Y	1	RIGHT_EXTENSION	0	YES	2	NO	NO	NO	Y+T	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
55	fshodchy	LOCAL_CHAR_F+SH+O+D_ADDR+CH+Y	D_ADDR+CH+Y	4	LEFT_EXTENSION	0	YES	1	NO	NO	NO	SH+O+D_ADDR	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
58	kcheody	K+CH+E+O+D_ADDR+Y	O+D_ADDR+Y	4	LEFT_EXTENSION	0	YES	1	NO	NO	NO	CH+E+O	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
59	kchody	K+CH+O+D_ADDR+Y	K+CH+O+D_ADDR	1	RIGHT_EXTENSION	1	YES	1	NO	NO	NO	CH+O+D_ADDR+Y	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
69	lodaiin	L+O+D_ADDR+AIIN	L+O+D_ADDR	1	RIGHT_EXTENSION	1	YES	1	NO	NO	NO	O+D_ADDR+AIIN	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
75	okedals	OK+AL+S	AL+S	2	LEFT_EXTENSION	1	YES	1	NO	NO	NO	OK+AL	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
79	otalor	OT+AL+OR	AL+OR	2	LEFT_EXTENSION	1	YES	3	NO	NO	NO	OT+AL	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
104	shckheody	SH+CH+K+E+O+DY	CH+K	2	BOTH_SIDES	0	YES	1	NO	NO	NO	E+O	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
104	shckheody	SH+CH+K+E+O+DY	O+DY	5	LEFT_EXTENSION	1	YES	5	NO	NO	NO	E+O	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
120	shofol	SH+O+LOCAL_CHAR_F+OL	O+LOCAL_CHAR_F	2	BOTH_SIDES	0	YES	1	NO	NO	NO	SH+O	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
126	shytchy	SH+Y+T+CH+Y	SH+Y	1	RIGHT_EXTENSION	0	YES	1	NO	NO	NO	Y+T	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
135	tydy	T+Y+DY	T+Y	1	RIGHT_EXTENSION	0	YES	3	NO	NO	NO	Y+DY	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
137	ykeedar	Y+K+EE+D_ADDR+AR	Y+K	1	RIGHT_EXTENSION	0	YES	1	NO	NO	NO	D_ADDR+AR	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
138	ykesho	Y+K+E+SH+O	Y+K	1	RIGHT_EXTENSION	0	YES	1	NO	NO	NO	SH+O	CLEAN_TARGET_UNUSED_OPTION	UNSELECTED_GDT543_EQUAL_LENGTH_CANDIDATE__NO_REANCHOR
