target_ordinal	surface	final_recipe	flag_reasons	selected_anchor_recipe	selected_visible_stem_status	selected_context_relation	selected_supported_interfaces	selected_interface_count	equal_length_candidate_count	selected_candidate_count	unused_equal_length_candidate_count	unused_equal_length_anchor_recipes	decision	next_route	guard
1	aiicthy	AIIN+CH+T+Y	NEW_ATOM_INTERFACE	CH+T+Y	ALIGNED_EXACT_OLD_SURFACE_STEM	TARGET_MODE_SET_EQUAL	0	1	1	1	0	NONE	NO_EQUAL_LENGTH_REANCHOR_AVAILABLE	SEARCH_SHORTER_EXACT_OLD_RECIPE_STEMS_WITH_NONWORSE_VISIBLE_DIRECTION	AVAILABILITY_AUDIT_ONLY__GDT543_CARD_UNCHANGED
5	chady	CH+A_ADDR+DY	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE	CH+A_ADDR	ALIGNED_EXACT_OLD_SURFACE_STEM	TARGET_MODE_SET_DISJOINT	0	1	1	1	0	NONE	NO_EQUAL_LENGTH_REANCHOR_AVAILABLE	SEARCH_SHORTER_EXACT_OLD_RECIPE_STEMS_WITH_NONWORSE_VISIBLE_DIRECTION	AVAILABILITY_AUDIT_ONLY__GDT543_CARD_UNCHANGED
6	chap	CH+A_ADDR+P	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE	CH+A_ADDR	ALIGNED_EXACT_OLD_SURFACE_STEM	TARGET_MODE_SET_DISJOINT	0	1	1	1	0	NONE	NO_EQUAL_LENGTH_REANCHOR_AVAILABLE	SEARCH_SHORTER_EXACT_OLD_RECIPE_STEMS_WITH_NONWORSE_VISIBLE_DIRECTION	AVAILABILITY_AUDIT_ONLY__GDT543_CARD_UNCHANGED
7	chckhedy	CH+CH+K+E+DY	ANCHOR_CONTEXT_MODE_DIFFERENCE	K+E+DY	NO_EXACT_OLD_SURFACE_STEM	TARGET_MODE_SET_DISJOINT	1	1	1	1	0	NONE	NO_EQUAL_LENGTH_REANCHOR_AVAILABLE	SEARCH_SHORTER_EXACT_OLD_RECIPE_STEMS_WITH_NONWORSE_VISIBLE_DIRECTION	AVAILABILITY_AUDIT_ONLY__GDT543_CARD_UNCHANGED
18	chepakeo	CH+E+P+A_ADDR+K+E+O	NEW_ATOM_INTERFACE	CH+E+P	ALIGNED_EXACT_OLD_SURFACE_STEM	TARGET_MODE_SET_EQUAL	0	1	1	1	0	NONE	NO_EQUAL_LENGTH_REANCHOR_AVAILABLE	SEARCH_SHORTER_EXACT_OLD_RECIPE_STEMS_WITH_NONWORSE_VISIBLE_DIRECTION	AVAILABILITY_AUDIT_ONLY__GDT543_CARD_UNCHANGED
19	chepos	CH+E+P+O+S	ANCHOR_CONTEXT_MODE_DIFFERENCE	CH+E+P	ALIGNED_EXACT_OLD_SURFACE_STEM	TARGET_MODE_SET_DISJOINT	1	1	1	1	0	NONE	NO_EQUAL_LENGTH_REANCHOR_AVAILABLE	SEARCH_SHORTER_EXACT_OLD_RECIPE_STEMS_WITH_NONWORSE_VISIBLE_DIRECTION	AVAILABILITY_AUDIT_ONLY__GDT543_CARD_UNCHANGED
54	folchol	LOCAL_CHAR_F+OL+OL	ANCHOR_CONTEXT_MODE_DIFFERENCE	OL+OL	NO_EXACT_OLD_SURFACE_STEM	TARGET_MODE_SET_DISJOINT	1	1	1	1	0	NONE	NO_EQUAL_LENGTH_REANCHOR_AVAILABLE	SEARCH_SHORTER_EXACT_OLD_RECIPE_STEMS_WITH_NONWORSE_VISIBLE_DIRECTION	AVAILABILITY_AUDIT_ONLY__GDT543_CARD_UNCHANGED
66	kody	K+O+DY	ANCHOR_CONTEXT_MODE_DIFFERENCE	O+DY	ALIGNED_EXACT_OLD_SURFACE_STEM	TARGET_MODE_SET_DISJOINT	1	1	1	1	0	NONE	NO_EQUAL_LENGTH_REANCHOR_AVAILABLE	SEARCH_SHORTER_EXACT_OLD_RECIPE_STEMS_WITH_NONWORSE_VISIBLE_DIRECTION	AVAILABILITY_AUDIT_ONLY__GDT543_CARD_UNCHANGED
73	ofaram	O+LOCAL_CHAR_F+AR+AM_ADDR	NEW_ATOM_INTERFACE	O+LOCAL_CHAR_F+AR	ALIGNED_EXACT_OLD_SURFACE_STEM	TARGET_MODE_SET_EQUAL	0	1	1	1	0	NONE	NO_EQUAL_LENGTH_REANCHOR_AVAILABLE	SEARCH_SHORTER_EXACT_OLD_RECIPE_STEMS_WITH_NONWORSE_VISIBLE_DIRECTION	AVAILABILITY_AUDIT_ONLY__GDT543_CARD_UNCHANGED
88	qoekedy	CARRIER_Q+O+E+K+E+DY	ANCHOR_CONTEXT_MODE_DIFFERENCE	K+E+DY	ALIGNED_EXACT_OLD_SURFACE_STEM	TARGET_MODE_SET_DISJOINT	1	1	1	1	0	NONE	NO_EQUAL_LENGTH_REANCHOR_AVAILABLE	SEARCH_SHORTER_EXACT_OLD_RECIPE_STEMS_WITH_NONWORSE_VISIBLE_DIRECTION	AVAILABILITY_AUDIT_ONLY__GDT543_CARD_UNCHANGED
