unit_order	unit_id	page	domain	group_count	concrete_reading_de	content_package
1	H1	f10r	HERBAL_RECIPE	14	Von der Bildpflanze die Wurzel nehmen, in Wasser im Gefäß ansetzen und den Auszug trennen. Eine örtliche Portion als Trank verwenden; den Satz verwahren.	M1_MEDICAL_MATERIA_RECIPE
2	H2	f10r	HERBAL_RECIPE	24	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	M1_MEDICAL_MATERIA_RECIPE
3	H3	f11r	HERBAL_RECIPE	17	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.	M1_MEDICAL_MATERIA_RECIPE
4	H4	f55v	HERBAL_RECIPE	18	Blatt in Wein im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Honig binden und als Auflage verwenden.	M1_MEDICAL_MATERIA_RECIPE
5	H5	f56r	HERBAL_RECIPE	27	Frisches Kraut mit Wasser als kurze Waschung oder Auflage ansetzen. Den übrigen Pflanzenstoff in Wein ausziehen, durch Tuch trennen, mit Honig binden und eine örtliche Portion als Trank verwenden.	M1_MEDICAL_MATERIA_RECIPE
6	B1	f81v	BATH_AND_SERVICE	66	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX
7	B2	f82r	BATH_AND_SERVICE	62	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX
8	B3	f83r	BATH_AND_SERVICE	86	Die drei Randbecken zuerst einzeln mit Badwasser füllen, waschen, absetzen und ins Auffangbecken abführen. Danach das sichtbar gekoppelte Hauptpaar mit Badwärme, Tuch, Seihgang und örtlichem Ablauf bedienen; die unverbundene Lücke nicht als Wasserlauf lesen.	M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX
9	B4	f83r	BATH_AND_SERVICE	47	Am gekoppelten Hauptpaar ein Tuch in warmes Badwasser tauchen und als Umschlag an der bezeichneten Körperstelle halten. Danach linke und rechte Dienststation getrennt mit Einlass, Wasserlauf, Seihgang, Auffangbecken und Ablauf bedienen.	M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX
10	B5	f83r	BATH_AND_SERVICE	11	An der linken Dienststation Badwasser oder Arbeitswasser auf Wärme bringen, für die örtliche Dauer halten und am Ablauf abführen. Das Ziel bleibt eine Arbeitsstelle, weil keine Figur sie besitzt.	M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX
11	B6	f83r	BATH_AND_SERVICE	9	An der rechten Dienststation Wasser am Einlass in den örtlichen Lauf geben, durch Tuch und Seihgang führen und an der Arbeitsstelle verwenden. Auch hier bleibt der Zweck technisch, solange keine Figur hinzutritt.	M1_THERAPEUTIC_BATH_WITH_SERVICE_ANNEX
12	A1	f67r2	CELESTIAL_ALMANAC	190	Linkes oder rechtes Wahlrad getrennt öffnen. Einen Himmelssektor oder Sternort wählen, Bedingungsfeld und Ringrubrik zeigen, das Himmelszeichen kopieren und Kalenderzeichen oder Wahlzeichen nur mit dem Ortsschlüssel dieses Rades lesen. Beim Radwechsel neu beginnen.	M1_PRACTICAL_CELESTIAL_ELECTION_WEATHER_ALMANAC
13	A2	f68r1	CELESTIAL_ALMANAC	65	In der mehrteiligen Sterntafel zuerst Paneel oder Zentrum und dann einen Sternort beziehungsweise ein 28er Feld wählen. Das Himmelszeichen kopieren und nur mit dem Ortsschlüssel dieses Paneels lesen; die 28 Felder haben keine festgelegte Reihenfolge.	M1_PRACTICAL_CELESTIAL_ELECTION_WEATHER_ALMANAC
14	A3	f69v	CELESTIAL_ALMANAC	140	Eines der drei Rosettenräder wählen. Links ein ungeordnetes 28er Feld und sein Kalenderzeichen lesen; in der mittleren Rosette Wetterzeichen, in der rechten Licht-, Zeit- oder Eigenschaftszeichen lesen. Zwischen den drei Rädern keinen Wert übertragen.	M1_PRACTICAL_CELESTIAL_ELECTION_WEATHER_ALMANAC
