codex_word_id	domain	source_slot	selected_word_de	role_de	portable_card_or_root_meaning
H_R01	HERBAL	WATER	Wasser	gemeinsames Löse-/Waschmedium	NO__SOURCE_PROGRAM_ONLY
H_R02	HERBAL	WINE	Wein	Auszugsflüssigkeit für H3-H5	NO__SOURCE_PROGRAM_ONLY
H_R03	HERBAL	OIL	Öl	Trägerstoff für H2-H3	NO__SOURCE_PROGRAM_ONLY
H_R04	HERBAL	HONEY	Honig	Bindestoff für H4-H5	NO__SOURCE_PROGRAM_ONLY
H_R05	HERBAL	SEDIMENT	Satz	verwahrter Rückstand in H1	NO__SOURCE_PROGRAM_ONLY
H_R06	HERBAL	DRINK	Trank	dosiertes Mittel in H1/H3/H5	NO__SOURCE_PROGRAM_ONLY
H_R07	HERBAL	SALVE	Salbe	Öl-Auszug in H2	NO__SOURCE_PROGRAM_ONLY
H_R08	HERBAL	RUB	Einreibung	Öl-Auszug in H3	NO__SOURCE_PROGRAM_ONLY
H_R09	HERBAL	WASH	Waschung	geklärter Auszug in H4	NO__SOURCE_PROGRAM_ONLY
H_R10	HERBAL	POULTICE	Auflage	gebundener Pflanzenstoff in H2/H4/H5	NO__SOURCE_PROGRAM_ONLY
H_R11	HERBAL	CLOTH	Tuch	Auswring-/Seihträger	NO__SOURCE_PROGRAM_ONLY
B_B01	BATH_SERVICE	BATHER	Badende	sichtbarer Mensch im Becken	NO__SOURCE_PROGRAM_ONLY
B_B02	BATH_SERVICE	BASIN	Becken	sichtbare lokale Bad-/Arbeitsmulde	NO__SOURCE_PROGRAM_ONLY
B_B03	BATH_SERVICE	BATH_WATER	Badwasser	Flüssigkeit an Figurenstationen	NO__SOURCE_PROGRAM_ONLY
B_B04	BATH_SERVICE	HERBAL_ADDITIVE	Kräuterzusatz	Zusatz aus dem Pflanzenregister	NO__SOURCE_PROGRAM_ONLY
B_B05	BATH_SERVICE	BATH_HEAT	Badwärme	Temperatur an Figurenstationen	NO__SOURCE_PROGRAM_ONLY
B_B06	BATH_SERVICE	BATH_TIME	Badezeit	Dauer an Figurenstationen	NO__SOURCE_PROGRAM_ONLY
B_B07	BATH_SERVICE	BODY_TARGET	Körperstelle	örtliches Ziel bei sichtbarer Figur	NO__SOURCE_PROGRAM_ONLY
B_B08	BATH_SERVICE	PART_BATH	Teilbad	lokale Immersion im Einzelbecken	NO__SOURCE_PROGRAM_ONLY
B_B09	BATH_SERVICE	CLOTH	Tuch	Wasch-, Umschlag- oder Seihträger	NO__SOURCE_PROGRAM_ONLY
B_B10	BATH_SERVICE	COMPRESS	Umschlag	gehaltenes Tuch an B4	NO__SOURCE_PROGRAM_ONLY
B_B11	BATH_SERVICE	STRAINING_PASS	Seihgang	Tuch-/Durchlassoperation	NO__SOURCE_PROGRAM_ONLY
B_B12	BATH_SERVICE	INLET	Einlass	sichtbare oder lokale Zufuhr	NO__SOURCE_PROGRAM_ONLY
B_B13	BATH_SERVICE	OUTLET	Ablauf	sichtbarer oder lokaler Abzug	NO__SOURCE_PROGRAM_ONLY
B_B14	BATH_SERVICE	WATER_RUN	Wasserlauf	lokale Verbindung ohne globalen Kreislauf	NO__SOURCE_PROGRAM_ONLY
B_B15	BATH_SERVICE	RECEIVER	Auffangbecken	örtlicher Empfänger	NO__SOURCE_PROGRAM_ONLY
