tier_rank	support_tier	tier_label_de	record_count	event_count	page_count	register_count	record_ids	surface_examples
1	RECURRENT_STRICT_WHOLE_RECORD	vollständiger Record wiederholt sich bedeutungsgleich	28	30	5	3	G475-R003|G475-R005|G475-R012|G475-R023|G475-R030|G475-R032|G475-R037|G475-R038|G475-R039|G475-R040|G475-R041|G475-R042|G475-R048|G475-R053|G475-R055|G475-R059|G475-R067|G475-R072|G475-R077|G475-R079|G475-R080|G475-R087|G475-R100|G475-R105|G475-R128|G475-R131|G475-R133|G475-R134	chfaly|otchody|ofaom|otaraldy|okeey|ary|ofchdamy|otaraldy|okalar|okal|okaly|okal|okeey|ary
2	RECURRENT_ROLE_WHOLE_RECORD	vollständige Rollenform wiederholt sich	23	25	5	3	G475-R002|G475-R008|G475-R014|G475-R020|G475-R021|G475-R022|G475-R028|G475-R034|G475-R035|G475-R047|G475-R052|G475-R054|G475-R056|G475-R057|G475-R062|G475-R071|G475-R089|G475-R090|G475-R094|G475-R096|G475-R102|G475-R111|G475-R130	char|arom|okaraiin|otalaiin|okalam|ytalshdy|char|alif|otchoshy|okaram|okairy|otar|otal|okam
3	ALL_EVENTS_STRICT_RECURRENT	alle Events besitzen strikte Parallelträger	4	4	3	2	G475-R007|G475-R049|G475-R108|G475-R126	otaiin|orary|otoldy|cheys
4	PARTIAL_STRICT_EVENT_RECURRENT	mindestens ein striktes Parallelevent	19	47	6	4	G475-R001|G475-R009|G475-R011|G475-R019|G475-R024|G475-R025|G475-R063|G475-R064|G475-R065|G475-R066|G475-R069|G475-R075|G475-R078|G475-R082|G475-R085|G475-R097|G475-R110|G475-R112|G475-R121	oteeeon|oiil|otar|ar|aly|opalor|ar|oaiin|ar|ary|otaiin|otain|otalef|ys|ainam|oto|aiin|opoiiinoin|al|ches|ypaiin|alaly|oteey|daiin|opoeey|okaiin|ykolairol|of|o|eeesaly
5	ALL_EVENTS_ROLE_RECURRENT	alle Events besitzen Rollenparallelen	6	9	3	2	G475-R018|G475-R044|G475-R045|G475-R058|G475-R103|G475-R122	chdaiirdainy|otair|dy|okaircham|otam|daramdal|okol|shol|dy
6	PARTIAL_ROLE_EVENT_RECURRENT	mindestens ein Rollenparallelevent	7	16	4	3	G475-R010|G475-R015|G475-R026|G475-R060|G475-R076|G475-R093|G475-R117	opalar|am|dan|otar|shar|ochol|sharam|okarcham|olkalaiin|olalsy|ykaraiin|airal|otolaiin|o|odory|doly
7	SAME_MODEL_COMPONENT_TILE	vollständig aus Komponenten desselben Modells gebaut	42	46	5	3	G475-R004|G475-R006|G475-R013|G475-R016|G475-R017|G475-R027|G475-R029|G475-R031|G475-R033|G475-R036|G475-R043|G475-R046|G475-R050|G475-R051|G475-R061|G475-R068|G475-R070|G475-R074|G475-R081|G475-R083|G475-R084|G475-R088|G475-R091|G475-R092|G475-R095|G475-R098|G475-R099|G475-R104|G475-R106|G475-R107|G475-R109|G475-R113|G475-R114|G475-R115|G475-R116|G475-R118|G475-R120|G475-R124|G475-R127|G475-R129|G475-R132|G475-R135	okolar|alcphy|otalody|sholshdy|oshodady|ofaralar|otchdal|otainy|oklairdy|okealar|oteeary|okeal
8	MODEL_FREE_COMPONENT_BACKOFF	vollständig aus modellübergreifend wiederkehrenden Komponenten gebaut	3	3	3	3	G475-R073|G475-R086|G475-R123	ory|otedy|opchoroiin
9	EXACT_RUNNING_CARRIER	exakte laufende Oberfläche und Rezeptträger	1	1	1	1	G475-R125	sodar
10	LEARNED_LEXICAL_SLOT	funktional erklärt; gelernter Name/Familienname bleibt	2	2	2	1	G475-R101|G475-R119	cheosdy|saloiinsheol
